timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:49:51,34.64,0.00,3.05,0.10,0.05,0.00,0.15,0.00,0.00,62.01,24.20,4380.20,4205.00,0.00,0.00,0.00,74.40,12261.60,0.00,19497.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,148.80,13244680,0,3188460,19.40,27424,1484556,3915752,23.83,1917552,1072944,256328,1478784,70164,4952,7784,31404,0,0,0.00,0,0.00,1,610,3.09,2.37,1.84,0,3.60,0.00,148.80,41.33,0.01,1.78,1.56,0.56,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-22 21:49:56,33.89,0.00,1.56,0.25,0.05,0.00,0.00,0.00,0.00,64.25,15.80,2083.60,2134.20,0.00,0.00,0.00,59.20,10706.60,0.00,3898.40,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,118.40,12975820,0,3457320,21.04,27440,1488796,10200900,62.08,2190372,1066088,260568,1740348,70428,5320,8660,31404,0,0,0.00,0,0.00,1,669,2.93,2.34,1.83,0,2.80,0.00,118.40,42.29,0.08,27.71,20.29,5.68,2.60,2.60,0.28,0.20,0.00,0.00,0.00,0.00
2017-09-22 21:50:01,57.89,0.00,2.58,0.00,0.00,0.00,0.00,0.00,0.00,39.52,22.60,3424.40,3293.60,0.00,0.00,0.00,1098.40,11787.40,0.00,6100.60,0.00,0.00,0.00,0.00,19.80,0.00,19.80,0.00,2196.80,12140960,0,4292180,26.12,27456,1499520,16164364,98.36,2975028,1064592,265824,2560276,71612,5976,10932,31404,0,0,0.00,0,0.00,2,740,3.09,2.39,1.85,0,19.80,0.00,2196.80,110.95,1.13,56.85,2.26,4.48,2.00,2.00,0.23,0.15,0.00,0.00,0.00,0.00
2017-09-22 21:50:06,52.85,0.00,4.40,0.00,0.05,0.00,0.00,0.00,0.00,42.70,0.00,2260.60,1933.60,0.00,0.00,0.00,35.20,495.20,0.00,57220.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,70.40,9218828,0,7214312,43.90,27464,1499736,16164364,98.36,5911368,1064344,266296,5475152,71964,6008,16860,31404,0,0,0.00,0,0.00,3,736,3.00,2.38,1.85,0,0.60,0.00,70.40,117.33,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:50:11,52.36,0.00,1.91,0.00,0.05,0.00,0.00,0.00,0.00,45.67,0.40,2123.00,1695.80,0.00,0.00,0.00,0.00,246.20,0.00,72385.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8466032,0,7967108,48.48,27464,1499760,16164364,98.36,6661016,1064360,266336,6226820,71788,6000,18328,31404,0,0,0.00,0,0.00,2,734,2.92,2.37,1.85,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:50:16,54.51,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00,43.82,0.00,2204.20,1783.40,0.00,0.00,0.00,8.00,227.00,0.00,63028.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,16.00,7815592,0,8617548,52.44,27472,1499788,16164364,98.36,7304328,1064372,266356,6876252,71772,5968,19340,31404,0,0,0.00,0,0.00,4,732,2.85,2.37,1.85,0,1.20,0.00,16.00,13.33,0.01,8.00,2.00,0.24,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:50:21,53.17,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,45.02,0.00,2186.00,1629.60,0.00,0.00,0.00,548.80,227.00,0.00,60548.60,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,1097.60,6971004,0,9462136,57.58,27480,1499812,16164364,98.36,8132460,1064392,263680,7718708,71820,5952,21276,31404,0,0,0.00,0,0.00,2,730,2.78,2.36,1.86,0,6.60,0.00,1097.60,166.30,0.05,7.64,2.06,1.36,2.00,2.00,0.23,0.15,0.00,0.00,0.00,0.00
2017-09-22 21:50:26,52.14,0.00,1.66,8.12,0.00,0.00,0.00,0.00,0.00,38.07,0.00,2124.00,1710.60,0.00,0.00,0.00,8487.20,176.60,0.00,48456.20,0.00,0.00,0.00,0.00,40.60,0.00,40.60,0.00,10316.80,6297668,0,10135472,61.68,27488,1499844,16164364,98.36,8806192,1064412,221412,8390376,72108,5952,22592,31404,0,0,0.00,0,0.00,3,730,2.72,2.36,1.86,1,40.60,0.00,10316.80,254.11,51.03,528.06,8.61,34.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:50:31,52.22,0.00,1.16,29.06,0.00,0.00,0.00,0.00,0.00,17.56,0.00,2111.20,1654.20,0.00,0.00,0.00,9389.60,134.60,0.00,33592.20,0.00,0.00,0.00,0.00,80.40,0.00,80.40,0.00,17675.20,5774504,0,10658636,64.86,27504,1499856,16164364,98.36,9353044,1064420,174752,8910580,71852,5944,23768,31404,0,0,0.00,0,0.00,6,729,2.74,2.37,1.86,1,80.40,0.00,17675.20,219.84,122.55,1828.23,12.44,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:50:36,51.82,0.00,1.47,23.15,0.05,0.00,0.00,0.00,0.00,23.51,0.00,2172.00,1778.00,0.00,0.00,0.00,11402.40,148.00,0.00,38606.00,0.00,0.00,0.00,0.00,93.60,0.00,93.60,0.00,23961.60,5211868,0,11221272,68.28,27504,1499892,16164364,98.36,9887660,1064436,117624,9473848,71996,5944,24860,31404,0,0,0.00,0,0.00,1,728,2.84,2.39,1.87,1,93.60,0.00,23961.60,256.00,144.59,904.85,10.69,100.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
