timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 22:18:41,44.14,0.00,3.67,0.87,0.10,0.00,0.20,0.00,0.00,51.02,30.40,5147.20,4443.80,0.00,0.00,0.00,69.60,18488.40,0.00,15192.20,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,139.20,12887080,0,3546060,21.58,30068,1755200,4366520,26.57,2056616,1282068,260380,1553316,78276,5104,8284,31404,0,0,0.00,0,0.00,2,632,2.10,2.21,2.06,0,3.60,0.00,139.20,38.67,0.04,10.89,10.89,3.92,2.20,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-22 22:18:46,39.46,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,59.28,12.80,2213.60,2251.60,0.00,0.00,0.00,61.60,12672.80,0.00,6493.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,123.20,12600692,0,3832448,23.32,30088,1755348,15938404,96.99,2350460,1272868,260580,1837888,78484,5504,9300,31404,0,0,0.00,0,0.00,2,686,1.93,2.17,2.05,0,2.20,0.00,123.20,56.00,0.00,0.00,0.00,0.00,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-22 22:18:51,57.85,0.00,3.15,0.05,0.05,0.00,0.00,0.00,0.00,38.90,20.00,3355.20,3106.20,0.00,0.00,0.00,3821.60,9619.00,0.00,7755.60,0.00,0.00,0.00,0.00,47.60,0.00,47.60,0.00,7643.20,11275172,0,5157968,31.39,30100,1766176,16134348,98.18,3642188,1271388,252536,3148016,80072,6088,12172,31404,0,0,0.00,0,0.00,3,747,1.94,2.17,2.05,0,47.60,0.00,7643.20,160.57,1.15,24.22,0.57,2.72,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-22 22:18:56,50.56,0.00,1.67,8.19,0.00,0.00,0.00,0.00,0.00,39.59,0.00,2122.20,1778.00,0.00,0.00,0.00,29668.00,197.40,0.00,1939.20,0.00,0.00,0.00,0.00,200.00,0.00,200.00,0.00,51144.00,9543112,0,6890028,41.93,30116,1766212,16134348,98.18,5374172,1271404,104732,4875876,80088,6048,15960,31404,0,0,0.00,0,0.00,5,741,1.94,2.17,2.05,1,200.00,0.00,51144.00,255.72,49.00,90.42,1.71,34.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:19:01,51.34,0.00,0.05,31.35,0.00,0.00,0.00,0.00,0.00,17.26,0.00,2120.80,1616.40,0.00,0.00,0.00,3161.60,24.00,0.00,31.00,0.00,0.00,0.00,0.00,44.00,0.00,44.00,0.00,11264.00,9543028,0,6890112,41.93,30120,1766236,16134348,98.18,5400764,1271408,89008,4875900,80080,6032,15976,31404,0,0,0.00,0,0.00,2,740,2.75,2.33,2.10,3,44.00,0.00,11264.00,256.00,129.43,2893.04,22.73,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:19:06,51.19,0.00,0.20,33.92,0.05,0.00,0.00,0.00,0.00,14.64,0.00,2129.60,1609.00,0.00,0.00,0.00,5743.20,21.60,0.00,1197.80,0.00,0.00,0.00,0.00,45.20,0.00,45.20,0.00,11496.00,9516564,0,6916576,42.09,30128,1766260,16134348,98.18,5426920,1271428,60376,4901984,79976,6008,16028,31404,0,0,0.00,0,0.00,2,737,2.85,2.36,2.11,3,45.20,0.00,11496.00,254.34,97.73,2157.24,22.12,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:19:11,51.19,0.00,0.81,30.92,0.00,0.00,0.00,0.00,0.00,17.08,0.40,2164.00,1670.80,0.00,0.00,0.00,7275.20,128.60,0.00,2397.20,0.00,0.00,0.00,0.00,38.60,0.00,38.60,0.00,9846.40,8940192,0,7492948,45.60,30132,1766284,16134348,98.18,5956108,1271436,24200,5478228,79868,6016,16932,31404,0,0,0.00,0,0.00,2,738,3.02,2.40,2.13,2,38.60,0.00,9846.40,255.09,106.81,2195.17,25.91,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-22 22:19:16,50.99,0.00,0.15,20.99,0.00,0.00,0.00,0.00,0.00,27.87,0.00,2120.20,1534.80,0.00,0.00,0.00,3628.00,24.20,0.00,950.20,0.00,0.00,0.00,0.00,47.60,0.00,47.60,0.00,12092.80,8853688,0,7579452,46.12,30140,1766312,16134348,98.18,6076996,1271448,6040,5564288,79904,6016,17288,31404,0,0,0.00,0,0.00,2,737,3.02,2.41,2.13,1,47.60,0.00,12092.80,254.05,124.64,3148.44,21.01,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:19:21,51.24,0.00,0.10,8.39,0.00,0.00,0.00,0.00,0.00,40.27,0.00,2179.40,1539.00,0.00,0.00,0.00,0.80,12.60,0.00,33.80,0.00,0.00,0.00,0.00,12.60,0.00,12.60,0.00,3110.40,8851664,0,7581476,46.14,30144,1766332,16134348,98.18,6078880,1271456,6080,5566160,79904,5992,17324,31404,0,0,0.00,0,0.00,2,735,2.94,2.40,2.13,0,12.60,0.00,3110.40,246.86,9.87,3173.21,23.30,29.36,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:19:26,50.78,0.00,0.10,3.73,0.05,0.00,0.00,0.00,0.00,45.34,0.00,2071.40,1533.60,0.00,0.00,0.00,1208.80,15.20,0.00,156.20,0.00,0.00,0.00,0.00,19.80,0.00,19.80,0.00,2417.60,8850012,0,7583128,46.15,30152,1766356,16134348,98.18,6092620,1271476,92,5567612,79888,5984,17328,31404,0,0,0.00,0,0.00,2,734,3.34,2.50,2.16,0,19.80,0.00,2417.60,122.10,3.63,183.35,5.05,10.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
