timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 20:09:30,38.87,0.00,1.65,0.05,0.10,0.00,0.00,0.00,0.00,59.33,24.80,1634.00,1854.40,0.00,0.00,0.00,34.40,18643.80,0.00,22932.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,68.80,10647868,0,5785272,35.20,57460,4179272,2986036,18.17,2928944,2570960,280,1267284,153932,4632,7288,31404,0,0,0.00,0,0.00,1,566,0.87,2.23,2.80,0,1.00,0.00,68.80,68.80,0.00,0.00,0.00,0.00,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-20 20:09:35,33.37,0.00,1.66,0.00,0.75,0.00,0.00,0.00,0.00,64.22,31.00,1634.20,1726.20,0.00,0.00,0.00,28.80,19114.40,0.00,16304.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,57.60,10520812,0,5912328,35.98,57460,4174192,3270936,19.90,3063116,2566220,300,1397796,153780,4888,8364,31404,0,0,0.00,0,0.00,1,597,0.88,2.21,2.79,0,2.00,0.00,57.60,28.80,0.00,0.00,0.00,0.00,3.40,3.40,0.40,0.28,0.00,0.00,0.00,0.00
2017-09-20 20:09:40,21.08,0.00,6.50,3.89,0.31,0.00,0.26,0.00,0.00,67.96,5.80,5796.60,5544.00,0.00,0.00,0.00,39340.00,823.80,0.00,11815.60,0.00,0.00,0.00,0.00,319.00,0.00,319.00,0.00,78680.00,9830236,0,6602904,40.18,57472,4720384,3338892,20.32,3414752,2904660,355244,1541756,153864,5000,8608,31404,0,0,0.00,0,0.00,3,609,0.89,2.19,2.78,0,319.00,0.00,78680.00,246.65,23.45,73.52,0.61,19.52,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-20 20:09:45,41.16,0.00,3.36,0.00,0.45,0.00,0.00,0.00,0.00,55.02,19.40,2056.40,2347.80,0.00,0.00,0.00,40.80,15138.60,0.00,17089.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,81.60,9342420,0,7090720,43.15,57488,4754716,4663028,28.38,3961672,2833600,394892,1987192,158812,5456,10388,31404,0,0,0.00,0,0.00,4,675,0.90,2.17,2.77,0,0.60,0.00,81.60,136.00,0.00,1.33,1.33,0.08,3.00,2.80,0.32,0.21,0.00,0.00,0.00,0.00
2017-09-20 20:09:50,54.00,0.00,3.31,0.76,0.56,0.00,0.05,0.00,0.00,41.31,14.00,4119.20,4205.60,0.00,0.00,0.00,17715.20,14042.80,0.00,15154.60,0.00,0.00,0.00,0.00,139.20,0.00,139.20,0.00,35430.40,8484352,0,7948788,48.37,57500,4926188,5838536,35.53,4739096,2915556,483360,2670984,159512,5824,12100,31404,0,0,0.00,0,0.00,1,714,1.22,2.21,2.78,0,139.20,0.00,35430.40,254.53,5.94,42.69,0.35,4.88,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-20 20:09:55,66.16,0.00,7.40,0.46,0.76,0.00,0.71,0.00,0.00,24.52,7.40,11738.60,6430.80,0.00,0.00,21539.20,17684.80,8888.00,0.00,44769.00,0.00,0.00,0.00,0.00,307.40,168.80,138.60,42976.00,35369.60,7231800,0,9201340,55.99,57512,5205008,7138972,43.44,5795804,3104800,571664,3638896,164056,5960,14176,31404,0,0,0.00,0,0.00,9,733,1.21,2.19,2.77,0,307.80,43078.40,35369.60,254.87,7.30,23.71,0.41,12.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 20:10:00,76.20,0.00,7.20,0.00,2.78,0.00,0.40,0.00,0.00,13.41,2.80,7024.40,4906.80,0.00,0.00,3891.20,29.60,5135.00,0.00,78987.00,0.00,0.00,0.00,0.00,31.40,30.80,0.60,7884.80,59.20,5409048,0,11024092,67.08,57520,5220464,9320172,56.72,7567244,3120536,572628,5440636,164100,5984,17440,31404,0,0,0.00,0,0.00,5,733,1.59,2.26,2.79,0,31.00,7782.40,59.20,252.95,0.17,5.42,0.57,1.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 20:10:05,62.47,0.00,2.84,0.00,3.29,0.00,0.05,0.00,0.00,31.36,2.60,1794.60,1739.40,0.00,0.00,0.00,49.60,1733.20,0.00,30711.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,99.20,4707908,0,11725232,71.35,57528,5216408,10362784,63.06,8302980,3116200,573872,6145304,164232,6064,19108,31404,0,0,0.00,0,0.00,2,743,1.94,2.32,2.80,0,0.60,0.00,99.20,165.33,0.00,1.33,1.33,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 20:10:10,55.42,0.00,1.69,0.05,5.57,0.00,0.05,0.00,0.00,37.21,0.20,2236.60,1806.80,0.00,0.00,0.00,98.40,248.40,0.00,793.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,196.80,4678100,0,11755040,71.53,57536,5210832,10362784,63.06,8336392,3111036,573560,6179140,164136,6056,19172,31404,0,0,0.00,0,0.00,2,743,1.95,2.31,2.80,0,2.20,0.00,196.80,89.45,0.01,4.73,1.09,0.24,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 20:10:15,56.42,0.00,2.08,5.21,3.67,0.00,0.05,0.00,0.00,32.57,0.00,1990.62,1947.70,0.00,0.00,0.00,21090.62,381.64,0.00,7537.13,0.00,0.00,0.00,0.00,157.29,0.00,157.29,0.00,36357.68,4550076,0,11883064,72.31,57544,5207568,10249608,62.37,8467968,3107256,470252,6309868,164292,6056,19424,31404,0,0,0.00,0,0.00,3,743,1.95,2.31,2.80,1,157.29,0.00,36357.68,231.16,77.79,214.11,3.49,54.85,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
