timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 02:13:19,39.08,0.00,3.75,0.61,0.10,0.00,0.20,0.00,0.00,56.26,29.80,4823.80,4496.80,0.00,0.00,0.00,95.20,16753.00,0.00,13926.60,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,190.40,12922080,0,3511060,21.37,29160,1756064,4353628,26.49,2031184,1271664,260668,1518148,78752,5048,7904,31404,0,0,0.00,0,0.00,1,632,3.59,3.45,2.82,0,5.40,0.00,190.40,35.26,0.07,13.04,6.67,3.60,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:13:24,34.46,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,64.22,10.00,2104.00,2136.20,0.00,0.00,0.00,38.40,10362.20,0.00,4924.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,76.80,12659320,0,3773820,22.96,29172,1755928,10194316,62.04,2303304,1260812,260592,1779152,78876,5344,9036,31404,0,0,0.00,0,0.00,3,673,3.46,3.42,2.81,0,0.80,0.00,76.80,96.00,0.00,1.00,1.00,0.08,2.40,2.40,0.28,0.19,0.00,0.00,0.00,0.00
2017-09-23 02:13:29,57.27,0.00,2.98,0.00,0.05,0.00,0.00,0.00,0.00,39.71,22.80,3401.00,3175.20,0.00,0.00,0.00,1015.20,11716.20,0.00,5057.60,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,920.00,11889080,0,4544060,27.65,29180,1766652,16160832,98.34,3070784,1259740,266400,2534668,80060,6000,10988,31404,0,0,0.00,0,0.00,2,745,3.42,3.42,2.81,0,3.80,0.00,920.00,242.11,1.68,111.58,14.74,5.60,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:13:34,53.02,0.00,2.57,0.25,0.00,0.00,0.00,0.00,0.00,44.15,0.00,2291.40,2039.40,0.00,0.00,0.00,33.60,1790.00,0.00,3771.00,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,1177.60,10124884,0,6308256,38.39,29188,1766868,16160832,98.34,4805796,1255808,266636,4294216,80680,6056,14532,31404,0,0,0.00,0,0.00,2,741,3.31,3.39,2.81,0,5.20,0.00,1177.60,226.46,1.67,562.31,26.62,13.84,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:13:39,47.43,0.00,0.71,0.00,0.05,0.00,0.00,0.00,0.00,51.82,0.40,2233.20,1714.20,0.00,0.00,0.00,90.40,140.40,0.00,198.80,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,180.80,9612520,0,6820620,41.51,29188,1766904,16160832,98.34,5320072,1255792,266248,4806428,80724,6040,15648,31404,0,0,0.00,0,0.00,2,739,3.20,3.37,2.80,0,10.60,0.00,180.80,17.06,0.02,1.66,0.08,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:13:44,49.14,0.00,0.30,0.05,0.00,0.00,0.00,0.00,0.00,50.50,0.40,2274.40,1940.40,0.00,0.00,0.00,27.20,63.60,0.00,1977.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,54.40,9505032,0,6928108,42.16,29200,1766944,16160832,98.34,5422872,1255808,266392,4913304,80728,6032,15904,31404,0,0,0.00,0,0.00,2,740,3.11,3.35,2.80,0,1.00,0.00,54.40,54.40,0.00,0.00,0.00,0.00,1.20,1.20,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-23 02:13:49,47.71,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,51.79,0.00,2117.60,1598.80,0.00,0.00,0.00,100.80,59.20,0.00,845.60,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,201.60,9147780,0,7285360,44.33,29208,1766968,16160832,98.34,5783468,1255832,266140,5269748,80760,6032,16696,31404,0,0,0.00,0,0.00,2,740,3.02,3.32,2.80,0,5.40,0.00,201.60,37.33,0.03,5.19,2.67,1.44,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 02:13:54,51.29,0.00,0.15,18.32,0.05,0.00,0.00,0.00,0.00,30.19,0.00,2153.80,1970.40,0.00,0.00,0.00,22591.20,15.20,0.00,79.60,0.00,0.00,0.00,0.00,150.80,0.00,150.80,0.00,37497.60,9146068,0,7287072,44.34,29224,1766992,16160832,98.34,5811196,1255856,153992,5270856,80692,6032,16700,31404,0,0,0.00,0,0.00,2,740,3.02,3.32,2.80,1,150.80,0.00,37497.60,248.66,138.63,673.56,6.43,96.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:13:59,42.18,0.00,0.20,26.79,0.00,0.00,0.00,0.00,0.00,30.83,0.00,2190.80,1737.00,0.00,0.00,0.00,7740.00,993.40,0.00,487.60,0.00,0.00,0.00,0.00,63.60,0.00,63.60,0.00,16222.40,9129528,0,7303612,44.44,29232,1767040,16160832,98.34,5825532,1255860,115052,5287248,80696,6032,16732,31404,0,0,0.00,0,0.00,2,740,3.18,3.35,2.81,2,63.60,0.00,16222.40,255.07,116.18,1819.11,15.72,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:14:04,34.19,0.00,0.10,38.77,0.05,0.00,0.00,0.00,0.00,26.89,0.00,2128.20,1583.00,0.00,0.00,0.00,6325.60,11.20,0.00,587.00,0.00,0.00,0.00,0.00,61.00,0.00,61.00,0.00,15206.40,9140136,0,7293004,44.38,29236,1767072,16160832,98.34,5814564,1255868,83652,5276212,80752,6032,16736,31404,0,0,0.00,0,0.00,0,739,3.24,3.36,2.81,4,61.00,0.00,15206.40,249.29,137.17,2323.12,16.39,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
