timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 17:47:05,37.44,0.00,3.16,0.05,0.00,0.00,0.20,0.00,0.00,59.14,24.40,3551.60,3402.80,0.00,0.00,0.00,125.60,12304.60,0.00,20563.20,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,251.20,13535996,0,2897144,17.63,47268,1003200,4220220,25.68,2058320,648512,228652,1656452,61120,4912,8360,31468,0,0,0.00,0,0.00,5,600,4.69,5.16,3.99,0,5.80,0.00,251.20,43.31,0.03,4.69,4.41,2.56,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-23 17:47:10,33.50,0.00,1.67,0.00,0.10,0.00,0.00,0.00,0.00,64.73,15.80,2304.40,2398.80,0.00,0.00,0.00,40.00,12334.40,0.00,4412.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,80.00,13219764,0,3213376,19.55,47276,1035248,10541076,64.15,2351088,669032,260756,1937592,62580,5256,9372,31468,0,0,0.00,0,0.00,3,659,4.47,5.10,3.98,0,0.80,0.00,80.00,100.00,0.00,3.00,1.00,0.08,2.60,2.60,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-23 17:47:15,57.08,0.00,2.79,0.00,0.00,0.00,0.05,0.00,0.00,40.08,23.80,3570.40,3265.60,0.00,0.00,0.00,1015.20,11994.00,0.00,6098.40,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,2030.40,12398604,0,4034536,24.55,47280,1046160,16485328,100.32,3153188,667780,266764,2744144,64252,6000,11704,31468,0,0,0.00,0,0.00,8,736,4.44,5.09,3.98,0,8.40,0.00,2030.40,241.71,2.05,243.90,10.48,8.80,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-23 17:47:20,76.25,0.00,7.50,0.00,0.05,0.00,0.00,0.00,0.00,16.21,0.80,2605.40,2316.20,0.00,0.00,0.00,33.60,560.20,0.00,6453.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,67.20,8686976,0,7746164,47.14,47288,1634828,16485328,100.32,6344572,1182412,855472,5845428,78756,5992,17988,31468,0,0,0.00,0,0.00,6,735,4.40,5.07,3.98,0,0.60,0.00,67.20,112.00,0.00,2.67,1.33,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 17:47:25,10.81,0.00,4.99,63.36,0.00,0.00,0.00,0.00,0.00,20.84,0.00,2340.60,1643.20,0.00,0.00,0.00,13858.40,19750.40,0.00,8876.00,0.00,0.00,0.00,0.00,113.00,0.00,113.00,0.00,23360.00,7715988,0,8717152,53.05,47296,2582452,16485328,100.32,6604360,1867288,1742308,5842176,105712,5968,18020,31468,0,0,0.00,0,0.00,1,732,4.45,5.07,3.99,7,113.00,0.00,23360.00,206.73,131.95,845.23,8.53,96.40,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 17:47:30,1.07,0.00,0.31,80.78,0.00,0.00,0.00,0.00,0.00,17.85,0.20,2195.40,1394.20,0.00,0.00,0.00,7400.00,4323.80,0.00,8443.00,0.00,0.00,0.00,0.00,63.20,0.00,63.20,0.00,16083.20,7746900,0,8686240,52.86,47304,2551224,16485328,100.32,6519308,1922240,1682652,5843048,105124,5960,18028,31468,0,0,0.00,0,0.00,0,731,4.89,5.15,4.02,6,63.20,0.00,16083.20,254.48,84.66,1592.90,15.82,100.00,0.60,0.60,0.06,0.04,0.00,0.00,0.00,0.00
2017-09-23 17:47:35,0.20,0.00,0.15,79.24,0.05,0.00,0.00,0.00,0.00,20.36,0.00,2363.20,1473.40,0.00,0.00,0.00,8240.80,4245.80,0.00,50.60,0.00,0.00,0.00,0.00,57.00,0.00,57.00,0.00,13835.20,7632844,0,8800296,53.55,47312,2662204,16485328,100.32,6601400,1951116,1752668,5843072,107768,5960,18036,31468,0,0,0.00,0,0.00,0,731,4.90,5.15,4.03,9,57.00,0.00,13835.20,242.72,111.75,1479.13,17.54,100.00,1.40,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-23 17:47:40,0.66,0.00,0.15,72.81,0.00,0.00,0.00,0.00,0.00,26.38,0.00,2425.20,1523.40,0.00,0.00,0.00,5813.60,3084.00,0.00,2146.20,0.00,0.00,0.00,0.00,61.00,0.00,61.00,0.00,14864.00,7593988,0,8839152,53.79,47320,2700100,16485328,100.32,6612792,1977464,1773872,5842864,109092,5944,18020,31468,0,0,0.00,0,0.00,0,729,4.91,5.14,4.03,6,61.00,0.00,14864.00,243.67,124.58,2417.15,16.39,100.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 17:47:45,0.10,0.00,0.36,77.39,0.00,0.00,0.00,0.00,0.00,22.15,0.00,2489.00,1553.40,0.00,0.00,0.00,9027.20,9475.60,0.00,17069.80,0.00,0.00,0.00,0.00,54.20,0.00,54.20,0.00,13185.60,7728000,0,8705140,52.97,47328,2569736,16485328,100.32,6447284,2012328,1639456,5842880,105716,5944,18020,31468,0,0,0.00,0,0.00,1,729,4.92,5.14,4.04,6,54.20,0.00,13185.60,243.28,125.21,1670.41,18.45,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 17:47:50,0.25,0.00,0.20,80.70,0.00,0.00,0.00,0.00,0.00,18.84,0.00,2296.80,1441.80,0.00,0.00,0.00,4984.80,6077.60,0.00,2347.20,0.00,0.00,0.00,0.00,69.40,0.00,69.40,0.00,16412.80,7650136,0,8783004,53.45,47336,2645844,16485328,100.32,6502812,2033144,1698984,5842888,107512,5944,18044,31468,0,0,0.00,0,0.00,0,728,5.16,5.19,4.06,7,69.60,0.00,16464.00,236.55,68.44,1826.78,14.37,100.00,0.80,0.80,0.09,0.06,0.00,0.00,0.00,0.00
2017-09-23 17:47:55,0.72,0.00,0.46,73.96,0.05,0.00,0.00,0.00,0.00,24.81,0.00,2635.80,1689.20,0.00,0.00,0.00,13058.40,9671.40,0.00,8877.20,0.00,0.00,0.00,0.00,75.40,0.00,75.40,0.00,19190.40,7587068,0,8846072,53.83,47344,2707120,16485328,100.32,6514848,2082068,1728056,5842872,109068,5928,18012,31468,0,0,0.00,0,0.00,0,727,5.15,5.19,4.06,2,75.20,0.00,19139.20,254.51,144.82,1548.22,13.30,100.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 17:48:00,0.51,0.00,0.15,78.81,0.05,0.00,0.00,0.00,0.00,20.48,0.00,2322.40,1445.80,0.00,0.00,0.00,4250.40,2990.20,0.00,883.20,0.00,0.00,0.00,0.00,46.40,0.00,46.40,0.00,11742.40,7519936,0,8913204,54.24,47352,2789032,16485328,100.32,6543860,2117836,1788972,5826000,111304,5928,18020,31468,0,0,0.00,0,0.00,1,727,5.46,5.25,4.09,9,46.40,0.00,11742.40,253.07,96.29,1910.48,21.55,100.00,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
