timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 15:50:55,38.93,0.00,1.66,0.60,0.00,0.00,0.00,0.00,0.00,58.80,25.60,1826.60,2015.20,0.00,0.00,2340.00,37.60,19980.40,2.20,23581.80,0.00,0.00,0.00,0.00,67.00,65.80,1.20,4680.00,75.20,4678284,0,11754856,71.53,11820,9882848,3186380,19.39,2054244,9224360,392,1384124,347616,4592,7628,31468,0,0,0.00,0,0.00,3,561,2.43,4.67,5.15,0,67.00,4680.00,75.20,70.97,0.09,1.30,0.53,3.52,3.20,3.20,0.25,1.33,0.00,0.00,0.00,0.00
2017-09-24 15:51:00,34.90,0.00,10.04,1.51,0.05,0.00,0.05,0.00,0.00,53.45,43.80,2484.40,2603.40,0.00,0.00,3657.60,200.80,20034.40,17.80,519732.80,0.00,0.00,0.00,0.00,155.80,149.80,6.00,7315.20,401.60,14578596,0,1854544,11.29,12344,102848,3619688,22.03,1620832,49932,2992,1556060,52412,4712,9044,31468,0,0,0.00,0,0.00,1,596,2.23,4.59,5.12,0,155.80,7315.20,401.60,49.53,0.10,0.67,0.43,6.64,7.40,7.40,0.72,1.04,0.00,0.00,0.00,0.00
2017-09-24 15:51:05,37.15,0.00,1.01,0.96,0.00,0.00,0.00,0.00,0.00,60.88,14.60,1978.80,2097.20,0.00,0.00,2574.40,123.20,7513.80,0.00,6836.00,0.00,0.00,0.00,0.00,128.20,125.80,2.40,5148.80,246.40,14369280,0,2063860,12.56,12356,110836,3912908,23.81,1824936,54104,3840,1755904,52624,5392,9804,31468,0,0,0.00,0,0.00,1,657,2.21,4.55,5.11,0,128.20,5148.80,246.40,42.08,0.11,0.84,0.49,6.24,2.60,3.00,0.30,0.31,0.00,0.00,0.00,0.00
2017-09-24 15:51:10,84.45,0.00,3.01,0.00,0.00,0.00,0.00,0.00,0.00,12.54,25.20,2915.20,1968.60,0.00,0.00,847.20,52.00,20442.40,0.00,7353.60,0.00,0.00,0.00,0.00,10.40,9.80,0.60,1694.40,104.00,13818052,0,2615088,15.91,12400,110580,5081492,30.92,2368376,53204,4384,2302732,53948,6080,12260,31468,0,0,0.00,0,0.00,18,755,2.68,4.61,5.12,0,10.40,1694.40,104.00,172.92,0.03,2.46,0.38,0.40,3.20,2.80,0.30,0.26,0.00,0.00,0.00,0.00
2017-09-24 15:51:15,89.46,0.00,4.37,3.82,0.00,0.00,0.45,0.00,0.00,1.91,10.20,4756.00,3718.60,0.00,0.00,67728.00,1018.40,3668.00,0.00,2479.60,0.00,0.00,0.00,0.00,563.20,521.20,42.00,129516.80,2036.80,12956240,0,3476900,21.16,12416,524420,5114228,31.12,2899400,386280,80836,2749224,54608,6368,13440,31468,0,0,0.00,0,0.00,0,782,3.26,4.70,5.15,4,563.20,129516.80,2036.80,233.58,21.16,33.39,0.58,32.48,0.60,0.60,0.06,0.11,0.00,0.00,0.00,0.00
2017-09-24 15:51:20,75.57,0.00,12.42,5.38,0.05,0.00,0.10,0.00,0.00,6.49,18.00,4492.80,2847.00,0.00,0.00,40828.00,44.00,4223.80,0.00,41173.80,0.00,0.00,0.00,0.00,346.80,345.60,1.20,87595.20,88.00,12433196,0,3999944,24.34,12432,1159872,5122772,31.17,3211856,585988,517924,2624836,65532,6368,12956,31468,0,0,0.00,0,0.00,3,760,3.88,4.80,5.18,0,346.80,87595.20,88.00,252.84,44.63,135.50,1.37,47.52,0.40,0.40,0.02,0.06,0.00,0.00,0.00,0.00
2017-09-24 15:51:25,89.19,0.00,3.25,0.00,0.00,0.00,0.10,0.00,0.00,7.45,22.60,3229.60,2314.20,0.00,0.00,10775.20,52.00,18062.80,0.00,44423.20,0.00,0.00,0.00,0.00,86.80,86.00,0.80,20782.40,104.00,12560764,0,3872376,23.56,12460,1208580,5063056,30.81,3037520,634336,517996,2450524,65304,6200,12624,31468,0,0,0.00,0,0.00,12,767,4.05,4.82,5.18,0,87.20,20884.80,104.00,240.70,0.33,3.81,0.39,3.44,2.60,2.60,0.26,0.25,0.00,0.00,0.00,0.00
2017-09-24 15:51:30,93.40,0.00,6.30,0.00,0.00,0.00,0.20,0.00,0.00,0.10,12.20,5450.80,3720.00,0.00,0.00,71085.60,19823.20,3810.60,0.00,21300.60,0.00,0.00,0.00,0.00,754.60,586.20,168.40,141403.20,39646.40,11944860,0,4488280,27.31,12488,1704172,4814920,29.30,3297556,984472,564332,2565764,69536,6456,12768,31468,0,0,0.00,0,0.00,7,762,4.45,4.89,5.20,0,754.60,141403.20,39646.40,239.93,10.56,13.98,0.34,25.76,0.20,0.20,0.01,0.08,0.00,0.00,0.00,0.00
2017-09-24 15:51:35,83.32,0.00,11.15,2.81,0.00,0.00,0.15,0.00,0.00,2.56,29.60,4082.60,3096.40,0.00,0.00,27125.60,64547.20,11894.00,0.00,61786.40,0.00,0.00,0.00,0.00,707.00,230.60,476.40,55787.20,121107.20,11936956,0,4496184,27.36,12524,2206548,5034292,30.63,3169560,1115188,614048,2065792,77068,6152,11392,31468,0,0,0.00,0,0.00,11,751,4.49,4.89,5.20,1,706.60,55684.80,121107.20,250.20,66.00,89.38,0.84,59.04,1.40,1.40,0.14,0.19,0.00,0.00,0.00,0.00
2017-09-24 15:51:40,96.25,0.00,3.60,0.00,0.00,0.00,0.15,0.00,0.00,0.00,6.80,3595.80,2938.60,0.00,0.00,27691.20,19392.80,13330.80,0.00,8064.20,0.00,0.00,0.00,0.00,413.00,229.20,183.80,55382.40,46772.80,11285900,0,5147240,31.32,12540,2422844,5050468,30.73,3682552,1248584,600476,2496168,79020,6272,12880,31468,0,0,0.00,0,0.00,9,772,4.85,4.96,5.22,0,413.00,55382.40,46772.80,247.35,34.59,90.68,0.80,33.12,2.00,2.00,0.20,0.20,0.00,0.00,0.00,0.00
2017-09-24 15:51:45,91.64,0.00,7.81,0.00,0.00,0.00,0.30,0.00,0.00,0.25,15.40,5928.40,3196.60,0.00,0.00,74266.40,45.60,5589.80,0.00,22059.80,0.00,0.00,0.00,0.00,600.80,599.80,1.00,147715.20,91.20,10439840,0,5993300,36.47,12556,3093664,5096308,31.01,4153416,1612628,905680,2662864,87636,6344,13148,31468,0,0,0.00,0,0.00,8,778,5.10,5.01,5.24,0,600.80,147715.20,91.20,246.02,7.35,12.23,0.54,32.16,0.80,0.80,0.07,0.17,0.00,0.00,0.00,0.00
2017-09-24 15:51:50,88.81,0.00,8.73,0.00,0.00,0.00,0.10,0.00,0.00,2.36,28.00,3565.40,2351.80,0.00,0.00,9497.60,73.60,16254.20,0.00,64380.80,0.00,0.00,0.00,0.00,79.60,78.00,1.60,19812.80,147.20,10582496,0,5850644,35.60,12584,3265324,5075548,30.89,3962028,1654812,1034724,2345400,91372,6112,12140,31468,0,0,0.00,0,0.00,10,757,5.34,5.06,5.25,0,79.60,19812.80,147.20,250.75,0.30,3.82,0.32,2.56,1.00,1.00,0.09,0.16,0.00,0.00,0.00,0.00
2017-09-24 15:51:55,94.79,0.00,4.95,0.00,0.00,0.00,0.15,0.00,0.00,0.10,9.40,3940.80,2764.20,0.00,0.00,28518.40,25.60,8658.80,0.00,5834.60,0.00,0.00,0.00,0.00,227.60,227.00,0.60,57036.80,51.20,9798388,0,6634752,40.37,12600,3644188,5124524,31.18,4607268,1792420,1276388,2743600,98088,6376,13188,31468,0,0,0.00,0,0.00,9,788,5.71,5.14,5.28,0,227.60,57036.80,51.20,250.83,0.89,3.92,0.38,8.72,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-24 15:52:00,90.45,0.00,8.65,0.35,0.00,0.00,0.35,0.00,0.00,0.20,12.20,5442.60,4620.40,0.00,0.00,73005.60,52675.20,7275.00,0.00,23721.60,0.00,0.00,0.00,0.00,991.80,594.00,397.80,146011.20,98844.80,9027916,0,7405224,45.06,12632,4400904,5128280,31.21,5003636,2152116,1409852,2744960,109652,6376,13348,31468,0,0,0.00,0,0.00,10,783,5.73,5.16,5.28,2,992.00,146011.20,98896.00,246.88,42.24,40.58,0.52,51.20,1.00,1.00,0.09,0.18,0.00,0.00,0.00,0.00
2017-09-24 15:52:05,91.57,0.00,6.42,0.05,0.00,0.00,0.10,0.00,0.00,1.86,27.60,4355.20,3018.20,0.00,0.00,24773.60,16437.60,16382.60,0.00,63906.80,0.00,0.00,0.00,0.00,361.00,205.60,155.40,49446.40,39380.80,9204232,0,7228908,43.99,12664,4479768,5071528,30.86,4710576,2271432,1287428,2490396,109460,6152,12584,31468,0,0,0.00,0,0.00,6,760,5.83,5.19,5.29,0,361.20,49547.20,39329.60,246.06,28.72,85.03,0.80,28.80,2.20,2.20,0.21,0.26,0.00,0.00,0.00,0.00
2017-09-24 15:52:10,93.80,0.00,5.60,0.05,0.00,0.00,0.15,0.00,0.00,0.40,16.80,4173.80,3483.20,0.00,0.00,34785.60,97610.40,7317.80,0.00,21967.60,0.00,0.00,0.00,0.00,1005.20,272.00,733.20,68852.80,187283.20,8774184,0,7658956,46.61,12700,4697496,5106660,31.08,4968944,2440568,848804,2699544,111620,6296,13188,31468,0,0,0.00,0,0.00,11,773,6.09,5.25,5.31,2,1004.80,68752.00,187283.20,254.81,120.88,119.72,0.83,83.20,0.60,0.60,0.06,0.09,0.00,0.00,0.00,0.00
2017-09-24 15:52:15,86.87,0.00,9.87,0.85,0.05,0.00,0.15,0.00,0.00,2.21,11.60,4157.00,3570.20,0.00,0.00,48626.40,66200.80,5039.60,0.00,29135.80,0.00,0.00,0.00,0.00,938.20,387.60,550.60,98072.00,140339.20,8101260,0,8331880,50.70,12724,5407568,4863460,29.60,5390320,2678724,990100,2648656,125152,6352,12816,31468,0,0,0.00,0,0.00,8,752,6.32,5.31,5.33,0,938.20,98072.00,140339.20,254.12,131.16,140.44,0.85,80.00,3.20,3.40,0.43,0.83,0.00,0.00,0.00,0.00
2017-09-24 15:52:20,93.10,0.00,6.15,0.10,0.00,0.00,0.05,0.00,0.00,0.60,21.20,3892.80,2523.40,0.00,0.00,24344.80,64.00,17998.40,0.00,39881.20,0.00,0.00,0.00,0.00,203.60,202.40,1.20,48689.60,128.00,7898712,0,8534428,51.93,12756,5697952,5179080,31.52,5472588,2794924,1163600,2557172,130088,6200,12916,31468,0,0,0.00,0,0.00,7,765,6.22,5.31,5.33,0,203.60,48689.60,128.00,239.77,0.95,4.64,0.39,7.92,3.00,2.60,0.27,0.25,0.00,0.00,0.00,0.00
2017-09-24 15:52:25,93.68,0.00,5.61,0.00,0.00,0.00,0.25,0.00,0.00,0.45,16.00,5568.20,4164.40,0.00,0.00,70631.20,44.00,7674.20,0.00,23151.00,0.00,0.00,0.00,0.00,588.80,587.80,1.00,141262.40,88.00,7333320,0,9099820,55.37,12780,6053924,5176060,31.50,5688440,3142816,1171872,2765312,131104,6304,13384,31468,0,0,0.00,0,0.00,9,775,6.04,5.29,5.32,0,588.80,141262.40,88.00,240.07,2.68,4.56,0.38,22.64,0.80,0.80,0.08,0.10,0.00,0.00,0.00,0.00
