timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 16:07:50,37.39,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,61.31,25.60,1675.20,1920.20,0.00,0.00,0.00,46.40,19459.80,0.00,23332.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,92.80,11112616,0,5320524,32.38,16424,3641920,3269352,19.89,1747432,3312920,284,1402056,131736,4544,7680,31468,0,0,0.00,0,0.00,3,555,2.52,3.39,4.52,0,2.00,0.00,92.80,46.40,0.00,0.00,0.00,0.00,3.20,3.20,0.25,0.56,0.00,0.00,0.00,0.00
2017-09-24 16:07:55,35.26,0.00,1.61,0.05,0.05,0.00,0.00,0.00,0.00,63.02,31.80,1781.40,1878.20,0.00,0.00,0.00,40.00,21674.20,0.00,17991.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,80.00,10963368,0,5469772,33.29,16432,3641948,3558952,21.66,1896020,3312860,328,1550312,131576,4800,8944,31468,0,0,0.00,0,0.00,1,588,2.48,3.37,4.51,0,1.00,0.00,80.00,80.00,0.00,0.80,0.80,0.08,11.60,12.00,0.91,3.99,0.00,0.00,0.00,0.00
2017-09-24 16:08:00,21.11,0.00,5.66,5.15,0.05,0.00,0.10,0.00,0.00,67.92,2.80,4599.00,4445.40,0.00,0.00,1.60,39264.00,501.40,0.00,10157.20,0.00,0.00,0.00,0.00,310.20,0.40,309.80,3.20,78528.00,10421020,0,6012120,36.59,16448,4035436,3638344,22.14,2399372,3340284,197848,1688740,142040,4856,9252,31468,0,0,0.00,0,0.00,0,590,2.36,3.33,4.49,0,310.20,3.20,78528.00,253.16,29.82,96.12,0.75,23.36,2.60,2.60,0.19,0.61,0.00,0.00,0.00,0.00
2017-09-24 16:08:05,35.70,0.00,3.66,0.00,0.05,0.00,0.05,0.00,0.00,60.54,14.80,2979.20,3064.60,0.00,0.00,0.00,56.80,10022.60,0.00,15356.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,113.60,9898596,0,6534544,39.76,16472,4232624,4423248,26.92,2822500,3432304,395136,2005708,149188,5120,10076,31468,0,0,0.00,0,0.00,0,632,2.41,3.32,4.48,0,1.00,0.00,113.60,113.60,0.00,0.80,0.80,0.08,4.40,4.40,0.42,0.82,0.00,0.00,0.00,0.00
2017-09-24 16:08:10,40.11,0.00,2.07,0.00,0.05,0.00,0.00,0.00,0.00,57.77,16.00,1856.60,1919.80,0.00,0.00,0.00,44.00,12632.80,0.00,6731.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,88.00,9447812,0,6985328,42.51,16484,4232856,5608240,34.13,3269584,3430984,395388,2451232,150288,5632,12040,31468,0,0,0.00,0,0.00,3,693,2.22,3.27,4.46,0,1.40,0.00,88.00,62.86,0.00,0.00,0.00,0.00,5.60,5.60,0.50,0.99,0.00,0.00,0.00,0.00
2017-09-24 16:08:15,53.94,0.00,5.17,3.22,0.05,0.00,0.05,0.00,0.00,37.56,10.20,9981.20,4135.60,0.00,0.00,0.80,35359.20,11053.20,0.00,13217.00,0.00,0.00,0.00,0.00,277.40,0.20,277.20,1.60,70718.40,8602100,0,7831040,47.65,16504,4585748,6187404,37.65,3928848,3605816,571772,2932476,160356,5768,13060,31468,0,0,0.00,0,0.00,9,710,2.12,3.23,4.44,0,277.40,1.60,70718.40,254.94,23.92,86.23,0.67,18.72,8.20,8.20,0.60,1.89,0.00,0.00,0.00,0.00
2017-09-24 16:08:20,90.48,0.00,8.37,0.10,0.00,0.00,0.60,0.00,0.00,0.45,2.80,7097.80,4118.00,0.00,0.00,0.00,194.40,12547.00,0.00,16567.00,0.00,0.00,0.00,0.00,15.40,0.00,15.40,0.00,388.80,7429060,0,9004080,54.79,16512,4926960,7332920,44.62,4776420,3919480,917816,3753240,169888,5832,14600,31468,0,0,0.00,0,0.00,4,715,2.35,3.26,4.44,0,15.40,0.00,388.80,25.25,0.05,3.17,0.16,0.24,2.80,2.80,0.23,0.57,0.00,0.00,0.00,0.00
2017-09-24 16:08:25,82.02,0.00,11.97,3.46,0.00,0.00,0.85,0.00,0.00,1.70,3.20,7358.20,7337.20,0.00,0.00,31.20,56624.80,25091.20,0.40,41870.60,0.00,0.00,0.00,0.00,437.20,1.60,435.60,62.40,106955.20,6075084,0,10358056,63.03,16764,5304240,8318764,50.62,5723240,4314724,1017740,4718028,181084,5824,16192,31468,0,0,0.00,0,0.00,5,714,2.56,3.29,4.45,2,437.40,62.40,107006.40,244.78,31.02,68.98,0.56,24.56,4.40,4.40,0.34,1.04,0.00,0.00,0.00,0.00
2017-09-24 16:08:30,69.58,0.00,10.59,10.99,0.05,0.00,0.75,0.00,0.00,8.03,2.40,8349.20,6968.40,0.00,0.00,824.80,92421.60,11736.80,0.00,54315.20,0.00,0.00,0.00,0.00,748.20,7.40,740.80,1649.60,183201.60,5095788,0,11337352,68.99,16816,5684960,9243408,56.25,6343944,4660352,938420,5303592,191064,5824,17768,31468,0,0,0.00,0,0.00,7,714,2.92,3.35,4.46,1,748.20,1649.60,183201.60,247.06,139.46,187.16,1.34,100.00,2.80,2.80,0.23,0.59,0.00,0.00,0.00,0.00
2017-09-24 16:08:35,81.51,0.00,11.31,0.30,0.00,0.00,0.60,0.00,0.00,6.28,2.40,6028.60,8041.20,0.00,0.00,3.20,57560.00,33549.20,0.20,56355.80,0.00,0.00,0.00,0.00,483.40,0.60,482.80,6.40,123056.00,4252120,0,12181020,74.12,16892,5977508,9737388,59.25,6901912,4937340,948276,5847348,199672,5856,18252,31468,0,0,0.00,0,0.00,8,718,3.09,3.38,4.46,0,483.20,6.40,123004.80,254.58,93.74,194.56,1.39,67.12,8.20,8.20,0.60,1.84,0.00,0.00,0.00,0.00
