timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 17:44:41,36.65,0.00,1.66,0.40,0.00,0.00,0.00,0.00,0.00,61.29,25.40,1764.40,1977.80,0.00,0.00,1919.20,39.20,20034.40,2.40,23476.20,0.00,0.00,0.00,0.00,61.00,59.80,1.20,3838.40,78.40,4458528,0,11974612,72.87,6052,10195352,3009536,18.31,2036696,9489052,324,1324444,320736,4584,7428,31468,0,0,0.00,0,0.00,2,566,2.81,4.58,4.69,0,61.00,3838.40,78.40,64.21,0.06,1.05,0.43,2.64,3.00,3.00,0.24,0.50,0.00,0.00,0.00,0.00
2017-09-24 17:44:46,38.18,0.00,10.08,1.52,0.05,0.00,0.05,0.00,0.00,50.13,35.00,2597.40,2545.20,0.00,0.00,10074.40,184.80,16274.40,14.80,500154.00,0.00,0.00,0.00,0.00,209.00,202.60,6.40,20148.80,369.60,14045916,0,2387224,14.53,6624,792976,3149280,19.16,1463596,732148,2528,1396252,60868,4760,8580,31468,0,0,0.00,0,0.00,0,581,2.59,4.51,4.67,0,209.00,20148.80,369.60,98.17,0.46,2.19,0.41,8.48,7.60,7.60,0.71,1.10,0.00,0.00,0.00,0.00
2017-09-24 17:44:51,39.51,0.00,1.77,1.16,0.05,0.00,0.00,0.00,0.00,57.50,31.80,2436.20,2685.20,0.00,0.00,2166.40,57.60,11291.40,0.40,7153.00,0.00,0.00,0.00,0.00,125.00,123.00,2.00,4332.80,115.20,13781312,0,2651828,16.14,6656,800292,3788584,23.05,1722484,735456,3308,1651108,61432,5464,9600,31468,0,0,0.00,0,0.00,0,671,2.54,4.47,4.65,0,125.00,4332.80,115.20,35.58,0.09,0.71,0.49,6.08,3.60,3.60,0.41,0.28,0.00,0.00,0.00,0.00
2017-09-24 17:44:56,63.55,0.00,2.56,0.05,0.00,0.00,0.00,0.00,0.00,33.84,23.60,2548.00,1729.60,0.00,0.00,1287.20,49.60,20222.20,0.00,10765.00,0.00,0.00,0.00,0.00,15.40,14.80,0.60,2574.40,99.20,13280800,0,3152340,19.18,6684,802220,4920264,29.94,2213568,736784,3964,2143696,63120,6168,11980,31468,0,0,0.00,0,0.00,7,759,2.74,4.48,4.65,0,15.40,2574.40,99.20,173.61,0.03,1.87,0.31,0.48,2.80,2.80,0.27,0.29,0.00,0.00,0.00,0.00
2017-09-24 17:45:01,96.25,0.00,3.20,0.00,0.00,0.00,0.40,0.00,0.00,0.15,11.20,4872.80,3209.80,0.00,0.00,52524.80,40.00,5922.40,0.00,2868.40,0.00,0.00,0.00,0.00,391.40,389.40,2.00,99110.40,80.00,12498196,0,3934944,23.95,6700,1059716,4985244,30.34,2738852,993592,4456,2666660,64612,6472,13280,31468,0,0,0.00,0,0.00,7,794,3.08,4.52,4.67,4,391.60,99161.60,80.00,253.43,4.30,7.57,0.43,16.88,0.20,0.20,0.01,0.08,0.00,0.00,0.00,0.00
2017-09-24 17:45:06,91.17,0.00,3.86,3.16,0.00,0.00,0.15,0.00,0.00,1.65,0.40,3895.40,2783.80,0.00,0.00,54740.00,16.80,300.40,0.20,1888.60,0.00,0.00,0.00,0.00,455.60,455.20,0.40,115419.20,33.60,11910316,0,4522824,27.52,6832,1641036,4985244,30.34,3055100,1263096,316872,2670596,67520,6440,13308,31468,0,0,0.00,0,0.00,5,789,3.39,4.56,4.68,0,455.40,115368.00,33.60,253.41,28.77,66.09,0.88,40.08,0.00,0.20,0.00,0.06,0.00,0.00,0.00,0.00
2017-09-24 17:45:11,89.65,0.00,7.45,0.05,0.00,0.00,0.00,0.00,0.00,2.85,12.00,2153.80,1633.20,0.00,0.00,845.60,291.20,2324.00,0.00,20194.40,0.00,0.00,0.00,0.00,25.60,6.80,18.80,1691.20,582.40,11568912,0,4864228,29.60,6848,2195872,4985252,30.34,3383936,1262172,871360,2443660,80800,6296,12724,31468,0,0,0.00,0,0.00,6,791,3.52,4.57,4.68,0,25.60,1691.20,582.40,88.81,0.08,3.25,0.25,0.64,0.60,0.40,0.04,0.11,0.00,0.00,0.00,0.00
2017-09-24 17:45:16,91.92,0.00,5.02,0.00,0.00,0.00,0.00,0.00,0.00,3.06,28.60,3241.80,2089.20,0.00,0.00,1228.80,300.80,20611.00,0.00,66771.60,0.00,0.00,0.00,0.00,25.80,9.60,16.20,2457.60,601.60,12155088,0,4278052,26.03,6876,1873980,4965596,30.22,2802028,1263040,547600,2186292,74988,6256,12144,31468,0,0,0.00,0,0.00,9,773,3.88,4.62,4.70,0,25.80,2457.60,601.60,118.57,0.19,7.22,0.28,0.72,3.20,3.20,0.30,0.39,0.00,0.00,0.00,0.00
2017-09-24 17:45:21,96.35,0.00,3.25,0.00,0.00,0.00,0.25,0.00,0.00,0.15,9.20,5555.60,3758.20,0.00,0.00,69508.00,264.00,4235.00,0.00,3401.60,0.00,0.00,0.00,0.00,553.40,544.40,9.00,139016.00,528.00,11326628,0,5106512,31.07,6892,2216708,4998652,30.42,3283132,1604916,546864,2669116,76000,6552,13284,31468,0,0,0.00,0,0.00,13,805,4.13,4.66,4.71,0,553.40,139016.00,528.00,252.16,2.53,4.58,0.41,22.56,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-24 17:45:26,95.75,0.00,3.90,0.00,0.00,0.00,0.25,0.00,0.00,0.10,0.80,3426.80,2625.40,0.00,0.00,35324.80,40.80,104.00,0.00,768.40,0.00,0.00,0.00,0.00,277.00,276.00,1.00,70649.60,81.60,10779944,0,5653196,34.40,6900,2758580,4998652,30.42,3656836,1776128,917096,2667592,82792,6536,13308,31468,0,0,0.00,0,0.00,6,804,4.12,4.65,4.71,0,277.00,70649.60,81.60,255.35,1.30,4.69,0.40,11.20,0.20,0.20,0.01,0.06,0.00,0.00,0.00,0.00
