timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 00:13:33,39.43,0.00,3.52,0.05,0.10,0.00,0.15,0.00,0.00,56.75,30.40,4967.40,4842.40,0.00,0.00,0.00,80.80,16473.00,0.00,13031.60,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,161.60,10660204,0,5772936,35.13,36128,3713748,4431136,26.96,2686132,2817252,260560,1757808,135592,5416,8756,31404,0,0,0.00,0,0.00,2,664,1.89,2.61,2.66,0,3.60,0.00,161.60,44.89,0.02,4.44,3.33,1.20,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-20 00:13:38,35.05,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,63.65,12.00,2207.00,2172.80,0.00,0.00,0.00,22.40,9629.60,0.00,3996.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,44.80,10400648,0,6032492,36.71,36136,3713864,15801788,96.16,2950860,2808236,260680,2011164,135896,5760,9796,31404,0,0,0.00,0,0.00,2,713,1.82,2.58,2.65,0,0.40,0.00,44.80,112.00,0.00,0.00,0.00,0.00,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-20 00:13:43,64.00,0.00,3.25,0.00,0.10,0.00,0.00,0.00,0.00,32.66,21.20,4086.00,3143.80,0.00,0.00,0.00,1006.40,10161.80,0.00,4737.60,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,2012.80,9244164,0,7188976,43.75,36136,3724696,16240528,98.83,4088176,2806916,266536,3156792,136840,6360,12168,31404,0,0,0.00,0,0.00,7,781,2.00,2.61,2.66,0,9.80,0.00,2012.80,205.39,5.81,592.41,24.00,23.52,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-20 00:13:48,83.93,0.00,3.38,0.00,0.00,0.00,0.05,0.00,0.00,12.64,1.20,2958.20,2424.80,0.00,0.00,0.00,48.80,2372.20,0.00,8166.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,97.60,7027472,0,9405668,57.24,36144,3726400,16378460,99.67,6322188,2806992,268344,5366688,137104,6376,17012,31404,0,0,0.00,0,0.00,1,782,2.48,2.69,2.68,0,0.60,0.00,97.60,162.67,0.01,14.67,8.00,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:13:53,58.60,0.00,1.32,0.05,0.00,0.00,0.00,0.00,0.00,40.02,0.00,3855.00,3609.00,0.00,0.00,0.00,128.80,813.20,0.00,15904.00,0.00,0.00,0.00,0.00,12.80,0.00,12.80,0.00,257.60,6634856,0,9798284,59.63,36152,3735572,16378460,99.67,6708800,2811592,277028,5748492,137380,6352,17756,31404,0,0,0.00,0,0.00,2,780,2.44,2.68,2.68,0,12.80,0.00,257.60,20.12,0.03,2.38,0.19,0.24,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:13:58,62.21,0.00,1.68,0.71,0.10,0.00,0.05,0.00,0.00,35.25,2.40,4637.60,3695.00,0.00,0.00,0.00,121.60,1594.00,0.00,23999.20,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,243.20,6055628,0,10377512,63.15,36160,3747688,16378460,99.67,7271300,2817244,289616,6312928,137844,6440,18944,31404,0,0,0.00,0,0.00,2,791,2.40,2.67,2.68,0,3.00,0.00,243.20,81.07,0.04,14.40,3.47,1.04,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:14:03,53.88,0.00,1.17,1.43,0.05,0.00,0.05,0.00,0.00,43.42,0.00,4134.20,3814.80,0.00,0.00,0.00,5462.40,947.40,0.00,6484.80,0.00,0.00,0.00,0.00,15.20,0.00,15.20,0.00,3462.40,5685340,0,10747800,65.40,36168,3761640,16378460,99.67,7636424,2824344,276960,6668772,138296,6440,19588,31404,0,0,0.00,0,0.00,10,791,2.37,2.66,2.67,1,15.20,0.00,3462.40,227.79,42.77,533.05,20.26,30.80,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-20 00:14:08,2.84,0.00,0.15,44.79,0.05,0.00,0.00,0.00,0.00,52.16,0.40,2992.80,2068.60,0.00,0.00,0.00,4433.60,123.80,0.00,120.20,0.00,0.00,0.00,0.00,35.40,0.00,35.40,0.00,8700.80,5684560,0,10748580,65.41,36176,3761556,16378460,99.67,7642948,2823980,255192,6669208,138248,6432,19640,31404,0,0,0.00,0,0.00,2,792,2.66,2.72,2.69,2,35.40,0.00,8700.80,245.79,92.87,3526.01,28.25,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:14:13,52.63,0.00,1.33,17.54,0.00,0.00,0.00,0.00,0.00,28.51,0.00,4040.80,3709.00,0.00,0.00,0.00,4096.00,1005.60,0.00,4664.40,0.00,0.00,0.00,0.00,32.00,0.00,32.00,0.00,7843.20,5452356,0,10980784,66.82,36188,3775404,16378460,99.67,7867416,2830996,248680,6886348,138796,6448,19988,31404,0,0,0.00,0,0.00,2,792,2.69,2.72,2.69,2,32.00,0.00,7843.20,245.10,145.00,2581.05,31.25,100.00,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-20 00:14:18,24.87,0.00,0.56,52.53,0.05,0.00,0.05,0.00,0.00,21.94,0.00,3436.60,2396.00,0.00,0.00,0.00,6028.80,382.60,0.00,2602.60,0.00,0.00,0.00,0.00,50.80,0.00,50.80,0.00,12251.20,5359552,0,11073588,67.39,36208,3780692,16378460,99.67,7956452,2834424,224348,6973388,138932,6440,20184,31404,0,0,0.00,0,0.00,5,790,2.87,2.76,2.71,2,50.80,0.00,12251.20,241.17,124.03,3505.12,19.69,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
