timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 18:05:26,28.09,0.00,1.56,4.74,0.20,0.00,0.00,0.00,0.00,65.41,24.60,2376.20,2209.80,0.00,0.00,9493.60,36.80,16187.00,37.20,20952.80,0.00,0.00,0.00,0.00,520.80,519.60,1.20,18987.20,73.60,11526960,0,4906180,29.86,12128,3194656,2923224,17.79,2224240,2314788,276,1334456,238284,4664,7232,31404,0,0,0.00,0,0.00,1,570,1.28,3.75,4.44,0,520.80,18987.20,73.60,36.60,0.43,0.82,0.47,24.40,1.00,1.00,0.18,0.16,0.00,0.00,0.00,0.00
2017-09-22 18:05:31,29.33,0.00,4.23,5.48,0.25,0.00,0.00,0.00,0.00,60.71,28.20,2518.60,2625.80,0.00,0.00,12436.80,60.80,19612.80,52.40,135276.60,0.00,0.00,0.00,0.00,589.20,586.40,2.80,24873.60,121.60,13738916,0,2694224,16.40,14256,953544,2977944,18.12,1756876,660664,316,1449468,147896,4736,8588,31404,0,0,0.00,0,0.00,4,588,1.42,3.74,4.44,0,589.20,24873.60,121.60,42.42,0.47,0.79,0.36,21.44,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-22 18:05:36,24.30,0.00,4.12,2.76,0.55,0.00,0.00,0.00,0.00,68.27,3.40,1881.20,2037.60,0.00,0.00,24700.00,188.00,2367.80,0.00,34201.60,0.00,0.00,0.00,0.00,479.00,467.60,11.40,49400.00,376.00,13971268,0,2461872,14.98,14264,613488,3241876,19.73,2001888,199040,143748,1573740,132732,4944,8960,31404,0,0,0.00,0,0.00,1,604,1.39,3.69,4.42,0,479.00,49400.00,376.00,103.92,0.43,0.91,0.64,30.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 18:05:41,19.23,0.00,6.36,5.49,0.31,0.00,0.21,0.00,0.00,68.41,13.60,6236.80,5894.80,0.00,0.00,8286.40,39303.20,5774.00,0.60,21457.00,0.00,0.00,0.00,0.00,410.20,100.40,309.80,16572.80,78606.40,13258344,0,3174796,19.32,14312,1097320,3772424,22.96,2401080,512088,395084,1801552,133184,5176,9560,31404,0,0,0.00,0,0.00,1,634,1.36,3.65,4.40,0,410.20,16572.80,78606.40,232.03,30.31,73.90,0.74,30.16,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-22 18:05:46,33.59,0.00,1.61,0.20,0.30,0.00,0.00,0.00,0.00,64.30,9.80,1553.00,1703.40,0.00,0.00,1426.40,30.40,10766.60,1.80,6634.60,0.00,0.00,0.00,0.00,36.00,35.40,0.60,2852.80,60.80,12905476,0,3527664,21.47,14464,1099308,4609536,28.05,2745516,507272,395420,2149360,133664,5464,10660,31404,0,0,0.00,0,0.00,1,674,1.41,3.62,4.39,0,36.00,2852.80,60.80,80.93,0.10,2.87,0.33,1.20,3.00,3.00,0.35,0.24,0.00,0.00,0.00,0.00
2017-09-22 18:05:51,55.06,0.00,4.55,1.47,0.46,0.00,0.10,0.00,0.00,38.36,16.20,8419.60,4301.00,0.00,0.00,17524.80,18125.60,15061.20,0.00,18759.40,0.00,0.00,0.00,0.00,269.40,156.00,113.40,35049.60,28929.60,12119944,0,4313196,26.25,14484,1358164,5469028,33.28,3326316,717148,481836,2671552,134876,5912,12508,31404,0,0,0.00,0,0.00,0,722,1.62,3.63,4.39,2,269.80,35049.60,29032.00,237.52,8.22,26.59,0.58,15.68,2.60,2.60,0.31,0.22,0.00,0.00,0.00,0.00
2017-09-22 18:05:56,40.18,0.00,4.00,25.78,0.15,0.00,0.15,0.00,0.00,29.73,4.00,5195.60,5293.40,0.00,0.00,77753.60,17217.60,3657.40,0.20,6594.00,0.00,0.00,0.00,0.00,1061.80,898.40,163.40,150532.80,41756.80,10991532,0,5441608,33.11,14496,1918472,6380372,38.83,4025740,1143896,572036,3237244,134844,5992,13640,31404,0,0,0.00,0,0.00,1,735,2.05,3.68,4.40,5,1061.60,150556.80,41654.40,181.06,80.90,75.35,0.66,69.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 18:06:01,14.71,0.00,1.50,50.15,0.21,0.00,0.10,0.00,0.00,33.33,2.00,5164.00,4683.00,0.00,0.00,92153.60,28.80,465.00,0.00,2761.60,0.00,0.00,0.00,0.00,875.20,874.60,0.60,183137.60,57.60,10078040,0,6355100,38.67,14504,2373692,6694308,40.74,4478008,1599772,572112,3697520,134868,6024,14412,31404,0,0,0.00,0,0.00,1,739,2.28,3.71,4.40,4,875.00,183113.60,57.60,209.34,113.64,129.73,1.14,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 18:06:06,42.81,0.00,3.61,25.22,0.56,0.00,0.36,0.00,0.00,27.45,1.40,5423.80,5172.80,0.00,0.00,90064.80,81.60,966.40,0.00,1820.40,0.00,0.00,0.00,0.00,855.80,853.40,2.40,183124.80,57.60,9374796,0,7058344,42.95,14560,2976688,7051288,42.91,4625612,2162480,728864,3798136,134948,6048,14752,31404,0,0,0.00,0,0.00,1,742,2.50,3.73,4.41,7,856.00,183176.00,57.60,214.06,66.03,78.30,0.92,79.04,1.40,1.40,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-22 18:06:11,33.47,0.00,5.48,45.11,0.31,0.00,0.10,0.00,0.00,15.53,0.60,4413.60,4422.40,0.00,0.00,92183.20,29423.20,14315.60,0.00,17996.60,0.00,0.00,0.00,0.00,1362.80,1146.00,216.80,183200.00,51528.00,8010400,0,8422740,51.25,14568,3712708,8037364,48.91,5250144,2898844,862876,4422696,135308,6048,15968,31404,0,0,0.00,0,0.00,0,742,2.78,3.77,4.41,8,1362.60,183148.80,51528.00,172.23,177.25,127.72,0.73,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
