timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:24:48,16.13,0.00,2.03,0.03,0.05,0.00,0.08,0.00,0.00,81.69,25.80,5582.20,5370.20,0.00,0.00,0.00,75.20,11820.00,0.00,13919.80,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,147.20,59203592,0,3712756,5.90,27136,1184772,7192276,11.43,2408408,824096,343676,2035292,71524,5408,9272,110332,0,0,0.00,0,0.00,0,668,2.85,2.62,1.34,2,4.40,0.00,147.20,33.45,0.01,1.45,1.09,0.48,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-22 21:24:53,19.51,0.00,1.06,0.23,0.00,0.00,0.03,0.00,0.00,79.18,17.60,2507.40,2551.60,0.00,0.00,0.00,66.40,13418.00,0.00,5720.40,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,209.60,58678556,0,4237792,6.74,27140,1230632,23175920,36.84,2905608,858784,389068,2510528,73408,5944,10892,110332,0,0,0.00,0,0.00,1,734,2.94,2.64,1.36,0,9.80,0.00,209.60,21.39,0.02,2.53,0.82,0.80,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-22 21:24:58,35.70,0.00,1.77,0.00,0.05,0.00,0.00,0.00,0.00,62.48,39.20,4061.60,4278.00,0.00,0.00,0.00,56.00,22902.40,0.00,8467.40,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,112.00,57615296,0,5301052,8.43,27152,1230876,67173948,106.77,3964620,855916,389384,3564724,75116,6896,14000,110332,0,0,0.00,0,0.00,1,872,3.10,2.68,1.38,0,2.60,0.00,112.00,43.08,0.00,0.62,0.31,0.08,2.40,2.40,0.28,0.19,0.00,0.00,0.00,0.00
2017-09-22 21:25:03,35.32,0.00,1.72,7.91,0.00,0.00,0.00,0.00,0.00,55.04,13.20,4097.40,4118.80,0.00,0.00,0.00,11928.80,7455.60,0.00,6570.40,0.00,0.00,0.00,0.00,72.20,0.00,72.20,0.00,16772.80,55794852,0,7121496,11.32,27160,1252116,67410692,107.14,5706528,861800,351512,5360776,76652,7408,17068,110332,0,0,0.00,0,0.00,4,912,3.26,2.72,1.40,1,72.20,0.00,16772.80,232.31,101.18,930.04,9.94,71.76,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:25:08,50.15,0.00,4.29,11.40,0.00,0.00,0.00,0.00,0.00,34.16,0.00,3350.20,2972.60,0.00,0.00,0.00,7566.40,876.00,0.00,87705.20,0.00,0.00,0.00,0.00,62.00,0.00,62.00,0.00,15561.60,50067740,0,12848608,20.42,27172,1252144,67410692,107.14,11382104,861812,313856,11077500,76652,7384,29120,110332,0,0,0.00,0,0.00,4,908,3.32,2.74,1.41,1,62.00,0.00,15561.60,250.99,109.28,1822.86,16.13,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:25:13,46.24,0.00,3.09,11.10,0.05,0.00,0.00,0.00,0.00,39.52,6.20,4364.40,4116.20,0.00,0.00,0.00,8352.00,7313.00,0.00,9001.40,0.00,0.00,0.00,0.00,69.60,0.00,69.60,0.00,17736.00,46128148,0,16788200,26.68,27180,1252212,67565776,107.39,15393092,861244,272228,15007876,76924,7576,36700,110332,0,0,0.00,0,0.00,4,933,3.61,2.81,1.44,0,69.60,0.00,17736.00,254.83,115.93,1758.53,14.37,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:25:18,51.61,0.00,0.71,0.71,0.03,0.00,0.03,0.00,0.00,46.93,0.40,3959.60,3765.40,0.00,0.00,0.00,4766.40,956.00,0.00,5926.00,0.00,0.00,0.00,0.00,34.00,0.00,34.00,0.00,8164.80,45538548,0,17377800,27.62,27188,1252304,67565776,107.39,15958552,861256,249188,15595676,77336,7568,38292,110332,0,0,0.00,0,0.00,4,932,3.64,2.83,1.46,1,34.00,0.00,8164.80,240.14,18.85,1073.44,7.20,24.48,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-22 21:25:23,35.23,0.00,0.56,20.29,0.00,0.00,0.00,0.00,0.00,43.92,0.20,3461.00,3114.40,0.00,0.00,0.00,12572.00,145.80,0.00,3361.80,0.00,0.00,0.00,0.00,98.00,0.00,98.00,0.00,24251.20,45244520,0,17671828,28.09,27196,1252348,67565776,107.39,16229732,861276,187316,15889320,77356,7568,38872,110332,0,0,0.00,0,0.00,4,933,3.67,2.85,1.47,1,98.00,0.00,24251.20,247.46,118.93,1029.62,10.20,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:25:28,47.08,0.00,0.61,14.60,0.03,0.00,0.03,0.00,0.00,37.66,0.40,3683.40,3503.40,0.00,0.00,0.00,11584.80,2394.00,0.00,11706.40,0.00,0.00,0.00,0.00,104.80,0.00,104.80,0.00,23913.60,44726872,0,18189476,28.91,27208,1252420,67725636,107.64,16800556,861156,129312,16404692,77468,7584,40000,110332,0,0,0.00,0,0.00,7,934,3.94,2.92,1.50,2,105.00,0.00,23964.80,228.24,130.53,1227.79,9.52,100.00,1.80,1.80,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-22 21:25:33,47.84,0.00,0.13,22.68,0.00,0.00,0.00,0.00,0.00,29.35,0.00,2913.40,2582.00,0.00,0.00,0.00,11364.80,62.60,0.00,1461.60,0.00,0.00,0.00,0.00,92.00,0.00,92.00,0.00,22803.20,44744012,0,18172336,28.88,27212,1252448,67725636,107.64,16805292,861164,72920,16386808,77468,7584,40020,110332,0,0,0.00,0,0.00,0,934,4.10,2.97,1.52,1,91.80,0.00,22752.00,247.84,145.19,1591.93,10.89,100.00,1.60,1.60,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:25:38,29.52,0.00,0.56,17.56,0.05,0.00,0.00,0.00,0.00,52.31,1.20,4398.60,3989.40,0.00,0.00,0.00,14009.60,973.60,0.00,3652.80,0.00,0.00,0.00,0.00,108.00,0.00,108.00,0.00,27072.00,44446124,0,18470224,29.36,27220,1255396,67725636,107.64,17085456,863716,6076,16678532,77664,7608,40532,110332,0,0,0.00,0,0.00,2,938,4.17,3.00,1.54,1,108.00,0.00,27072.00,250.67,129.16,1091.59,9.26,100.00,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-22 21:25:43,28.43,0.00,0.76,15.07,0.00,0.00,0.03,0.00,0.00,55.72,0.40,3758.40,3194.20,0.00,0.00,0.00,579.20,129.60,0.00,2173.60,0.00,0.00,0.00,0.00,36.60,0.00,36.60,0.00,9172.80,43684420,0,19231928,30.57,27228,1252636,67725636,107.64,17757476,860964,1060,17440948,77764,7616,40852,110332,0,0,0.00,0,0.00,4,938,4.16,3.02,1.56,0,36.60,0.00,9172.80,250.62,37.25,2005.44,13.29,48.64,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:25:48,51.08,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,45.31,0.00,3277.20,3227.60,0.00,0.00,0.00,40.80,881.00,0.00,239418.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,81.60,40932952,0,21983396,34.94,27236,1252664,67725636,107.64,20552644,860984,1184,20189032,77664,7600,47392,110332,0,0,0.00,0,0.00,4,934,4.15,3.03,1.57,0,0.60,0.00,81.60,136.00,0.00,0.00,0.00,0.00,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-22 21:25:53,33.21,0.00,0.63,0.08,0.03,0.00,0.00,0.00,0.00,66.06,0.00,4003.00,3499.20,0.00,0.00,0.00,51.20,143.20,0.00,3829.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,102.40,40224868,0,22691480,36.07,27248,1252692,67787076,107.74,21302548,861008,1048,20895980,77724,7560,48824,110332,0,0,0.00,0,0.00,0,931,3.90,3.00,1.57,0,1.40,0.00,102.40,73.14,0.00,3.43,3.43,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
