timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 00:39:43,17.52,0.00,1.95,0.05,0.05,0.00,0.10,0.00,0.00,80.32,28.80,4670.60,4706.00,0.00,0.00,0.00,68.80,13001.40,0.00,21565.00,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,137.60,58876404,0,4039944,6.42,96080,1293000,7167068,11.39,2836840,708480,260284,2156688,101584,5408,9688,110396,0,0,0.00,0,0.00,1,666,2.79,2.72,3.68,0,3.60,0.00,137.60,38.22,0.04,11.11,10.67,3.84,2.00,2.00,0.23,0.22,0.00,0.00,0.00,0.00
2017-09-24 00:39:48,19.47,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,79.60,15.60,2298.00,2401.60,0.00,0.00,0.00,42.40,14676.00,0.00,6716.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,84.80,58375120,0,4541228,7.22,96092,1293596,23160640,36.81,3342396,697408,260928,2654244,100880,5976,11588,110396,0,0,0.00,0,0.00,3,731,2.65,2.69,3.67,0,0.80,0.00,84.80,106.00,0.00,1.00,1.00,0.08,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-24 00:39:53,37.53,0.00,1.64,0.48,0.03,0.00,0.00,0.00,0.00,60.32,38.60,4140.00,4455.20,0.00,0.00,0.00,21174.40,20512.60,0.00,6773.40,0.00,0.00,0.00,0.00,181.40,0.00,181.40,0.00,42348.80,57333580,0,5582768,8.87,96096,1293864,67126648,106.69,4379172,694964,155692,3688408,102640,6976,14904,110396,0,0,0.00,0,0.00,3,865,2.84,2.73,3.67,0,181.40,0.00,42348.80,233.46,9.54,52.61,0.41,7.52,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-24 00:39:58,45.57,0.00,3.37,0.89,0.05,0.00,0.00,0.00,0.00,50.13,13.60,5059.40,5654.20,0.00,0.00,0.00,33107.20,8178.60,0.00,22680.40,0.00,0.00,0.00,0.00,266.80,0.00,266.80,0.00,66214.40,53709068,0,9207280,14.63,96100,1315080,67382620,107.10,7989544,700716,11896,7283332,103500,7384,21920,110396,0,0,0.00,0,0.00,10,909,2.69,2.70,3.66,0,266.80,0.00,66214.40,248.18,16.71,62.62,0.48,12.88,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 00:40:03,51.13,0.00,2.97,0.03,0.03,0.00,0.00,0.00,0.00,45.85,0.00,3123.80,3067.60,0.00,0.00,0.00,41.60,2946.20,0.00,7423.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,83.20,50230560,0,12685788,20.16,96104,1474512,67382620,107.10,11300016,841192,171452,10595732,103484,7352,28676,110396,0,0,0.00,0,0.00,3,905,2.88,2.74,3.67,0,0.60,0.00,83.20,138.67,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 00:40:08,45.18,0.00,2.40,0.00,0.00,0.00,0.03,0.00,0.00,52.40,1.40,3646.20,3562.60,0.00,0.00,0.00,41.60,11308.60,0.00,10632.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,83.20,47618544,0,15297804,24.31,96112,1487492,67682288,107.58,13836884,839904,184492,13187392,104568,7360,33716,110396,0,0,0.00,0,0.00,3,906,3.77,2.93,3.72,0,0.60,0.00,83.20,138.67,0.00,1.33,1.33,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:40:13,41.57,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,56.61,0.00,3009.60,2833.40,0.00,0.00,0.00,4.80,445.20,0.00,43033.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,45591892,0,17324456,27.54,96116,1487516,67682288,107.58,15883520,839864,184528,15211468,104520,7352,37544,110396,0,0,0.00,0,0.00,3,905,3.71,2.93,3.72,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.80,1.80,0.19,0.20,0.00,0.00,0.00,0.00
2017-09-24 00:40:18,47.49,0.00,1.54,0.00,0.03,0.00,0.03,0.00,0.00,50.92,0.20,3287.00,2882.20,0.00,0.00,0.00,0.00,4940.80,0.00,6469.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44148632,0,18767716,29.83,96116,1487552,67719592,107.63,17347380,808056,184564,16651680,104108,7360,40572,110396,0,0,0.00,0,0.00,4,906,3.49,2.90,3.70,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 00:40:23,58.42,0.00,4.53,0.00,0.03,0.00,0.00,0.00,0.00,37.02,0.00,3242.00,2831.40,0.00,0.00,0.00,52.80,1095.80,0.00,165935.40,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,105.60,41544220,0,21372128,33.97,96124,1487576,67719592,107.63,19993480,807996,184532,19252712,103980,7360,44972,110396,0,0,0.00,0,0.00,4,906,3.45,2.90,3.70,0,3.20,0.00,105.60,33.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:40:28,58.49,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,40.58,0.00,3086.00,2763.40,0.00,0.00,0.00,2435.20,612.20,0.00,839.00,0.00,0.00,0.00,0.00,33.80,0.00,33.80,0.00,4870.40,41068796,0,21847552,34.72,96128,1569396,67719592,107.63,20432868,877360,254288,19647380,103996,7360,46448,110396,0,0,0.00,0,0.00,4,905,3.57,2.93,3.71,0,33.80,0.00,4870.40,144.09,0.53,15.76,0.33,1.12,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
