timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 02:14:19,18.66,0.00,1.97,0.03,0.05,0.00,0.08,0.00,0.00,79.21,33.00,5368.40,5230.80,0.00,0.00,0.00,100.80,16225.00,0.00,19817.20,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,201.60,58417184,0,4499164,7.15,30132,1892428,8337608,13.25,2634332,1371024,260696,2089040,92956,5792,9656,110332,0,0,0.00,0,0.00,3,698,3.84,4.01,3.92,0,3.80,0.00,201.60,53.05,0.00,1.26,1.26,0.48,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-23 02:14:24,16.63,0.00,0.93,0.20,0.00,0.00,0.00,0.00,0.00,82.24,17.80,2347.80,2459.00,0.00,0.00,0.00,44.80,14692.60,0.00,7345.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,89.60,57896480,0,5019868,7.98,30144,1892464,52120844,82.84,3166536,1361944,260816,2605800,93352,5888,11044,110332,0,0,0.00,0,0.00,3,776,3.53,3.94,3.90,0,0.80,0.00,89.60,112.00,0.02,22.00,11.00,0.88,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-23 02:14:29,39.04,0.00,1.82,0.00,0.03,0.00,0.00,0.00,0.00,59.11,34.20,4293.20,4499.00,0.00,0.00,0.00,100.80,21144.20,0.00,8540.20,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,201.60,56857000,0,6059348,9.63,30152,1892872,66995560,106.48,4200580,1359576,260908,3637176,95232,7160,14748,110332,0,0,0.00,0,0.00,2,892,3.41,3.91,3.89,0,9.00,0.00,201.60,22.40,0.05,5.16,0.27,0.24,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-23 02:14:34,49.97,0.00,4.52,0.10,0.03,0.00,0.00,0.00,0.00,45.38,10.20,4352.80,4508.60,0.00,0.00,0.00,2082.40,4880.60,0.00,157963.80,0.00,0.00,0.00,0.00,19.60,0.00,19.60,0.00,4164.80,51355044,0,11561304,18.38,30160,1914028,67220692,106.84,9563092,1365604,272188,9109364,96272,7472,24512,110332,0,0,0.00,0,0.00,4,918,3.45,3.91,3.89,0,19.60,0.00,4164.80,212.49,0.32,16.57,0.78,1.52,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:14:39,39.59,0.00,3.72,0.00,0.03,0.00,0.00,0.00,0.00,56.66,0.60,2944.80,2672.80,0.00,0.00,0.00,4.00,730.40,0.00,371.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,44764656,0,18151692,28.85,30168,1914056,67220692,106.84,16256200,1365612,272220,15685908,96260,7464,38484,110332,0,0,0.00,0,0.00,1,919,3.50,3.92,3.89,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:14:44,50.43,0.00,8.97,0.00,0.00,0.00,0.00,0.00,0.00,40.60,0.20,3635.40,3358.20,0.00,0.00,0.00,23.20,4868.80,0.00,539726.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,46.40,37708908,0,25207440,40.07,30176,1914088,67220692,106.84,23245532,1362512,272300,22727280,96328,7424,51984,110332,0,0,0.00,0,0.00,12,913,5.30,4.28,4.01,0,0.40,0.00,46.40,116.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:14:49,48.80,0.00,0.35,0.00,0.03,0.00,0.00,0.00,0.00,50.82,3.40,3279.60,3137.60,0.00,0.00,0.00,68.80,381.60,0.00,2122.80,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,137.60,37604152,0,25312196,40.23,30176,1914124,67220692,106.84,23414276,1362304,272020,22832468,96332,7552,52612,110332,0,0,0.00,0,0.00,4,930,5.20,4.28,4.01,0,3.00,0.00,137.60,45.87,0.00,0.00,0.00,0.00,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:14:54,51.34,0.00,0.38,2.86,0.00,0.00,0.00,0.00,0.00,45.42,0.00,2847.80,2891.20,0.00,0.00,0.00,52026.40,13.60,0.00,64.80,0.00,0.00,0.00,0.00,411.00,0.00,411.00,0.00,104052.80,37604000,0,25312348,40.23,30192,1914148,67220692,106.84,23414372,1362316,12144,22832512,96328,7552,52612,110332,0,0,0.00,0,0.00,4,930,5.10,4.27,4.01,0,411.00,0.00,104052.80,253.17,35.75,86.99,0.63,25.84,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:14:59,51.37,0.00,0.15,0.78,0.00,0.00,0.00,0.00,0.00,47.70,0.00,2820.40,2470.80,0.00,0.00,0.00,83.20,14.60,0.00,82.20,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,166.40,37604332,0,25312016,40.23,30200,1914176,67220692,106.84,23413432,1362344,12008,22831520,96320,7552,52612,110332,0,0,0.00,0,0.00,4,930,5.01,4.27,4.01,0,8.00,0.00,166.40,20.80,0.07,8.90,7.20,5.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:15:04,51.47,0.00,0.10,0.00,0.03,0.00,0.00,0.00,0.00,48.40,0.40,2862.40,2481.80,0.00,0.00,0.00,2380.00,180.20,0.00,88.40,0.00,0.00,0.00,0.00,33.20,0.00,33.20,0.00,4760.00,37603892,0,25312456,40.23,30208,1914204,67251428,106.89,23413356,1362364,260,22831400,96340,7536,52612,110332,0,0,0.00,0,0.00,4,928,4.93,4.26,4.01,0,33.20,0.00,4760.00,143.37,0.47,14.29,0.27,0.88,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
