timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:41:53,16.40,0.00,2.03,0.00,0.05,0.00,0.05,0.00,0.00,81.47,30.60,5801.40,5487.20,0.00,0.00,0.00,92.80,13209.40,0.00,13903.00,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,185.60,57957968,0,4958380,7.88,28488,2393656,8321360,13.23,2674088,1782876,260312,2034872,107288,5600,9356,110332,0,0,0.00,0,0.00,1,699,3.36,3.78,2.81,0,4.60,0.00,185.60,40.35,0.00,0.87,0.52,0.24,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 22:41:58,16.36,0.00,0.90,0.10,0.00,0.00,0.00,0.00,0.00,82.63,13.20,2147.20,2109.40,0.00,0.00,0.00,44.80,11122.00,0.00,4635.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,89.60,57496536,0,5419812,8.61,28500,2393968,23079196,36.68,3140480,1771928,260716,2492208,107420,6104,10832,110332,0,0,0.00,0,0.00,2,754,3.17,3.73,2.80,0,0.80,0.00,89.60,112.00,0.01,12.00,6.00,0.48,2.40,2.40,0.27,0.19,0.00,0.00,0.00,0.00
2017-09-19 22:42:03,38.54,0.00,1.87,0.00,0.05,0.00,0.00,0.00,0.00,59.54,38.80,4159.20,4497.20,0.00,0.00,0.00,30.40,23972.20,0.00,9781.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,60.80,56406888,0,6509460,10.35,28508,2394256,67026112,106.53,4227140,1769208,261048,3573620,109492,7272,14552,110332,0,0,0.00,0,0.00,3,891,3.08,3.70,2.80,0,0.60,0.00,60.80,101.33,0.00,2.67,1.33,0.08,2.80,2.80,0.32,0.22,0.00,0.00,0.00,0.00
2017-09-19 22:42:08,63.00,0.00,2.42,0.03,0.00,0.00,0.00,0.00,0.00,34.55,14.00,4875.60,4809.80,0.00,0.00,0.00,2027.20,6439.40,0.00,5585.80,0.00,0.00,0.00,0.00,18.40,0.00,18.40,0.00,4054.40,54455932,0,8460416,13.45,28516,2457764,67263144,106.91,6133692,1807660,314648,5459124,111080,7608,18352,110332,0,0,0.00,0,0.00,13,937,3.55,3.79,2.83,0,18.40,0.00,4054.40,220.35,0.24,13.04,0.96,1.76,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 22:42:13,75.28,0.00,3.55,0.00,0.00,0.00,0.00,0.00,0.00,21.17,2.00,4824.15,4873.05,0.00,0.00,0.00,101.40,9006.59,0.00,63835.93,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,202.79,51056280,0,11860068,18.85,28524,2488644,67493004,107.27,9494856,1831612,345852,8815232,112668,7648,24944,110332,0,0,0.00,0,0.00,18,942,4.15,3.91,2.87,0,1.00,0.00,202.79,203.20,0.01,5.60,5.60,0.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:42:18,67.78,0.00,2.78,0.18,0.05,0.00,0.05,0.00,0.00,29.16,3.60,5541.40,5592.00,0.00,0.00,0.00,332.80,10390.60,0.00,10787.40,0.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,665.60,47741088,0,15175260,24.12,28532,2565092,67493004,107.27,12723888,1886588,421408,12042412,114568,7752,31408,110332,0,0,0.00,0,0.00,4,954,3.98,3.88,2.87,0,18.00,0.00,665.60,36.98,0.10,5.51,0.76,1.36,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:42:23,50.16,0.00,2.56,0.99,0.03,0.00,0.05,0.00,0.00,46.22,0.40,4523.60,4527.80,0.00,0.00,0.00,26447.20,12901.60,0.00,13087.80,0.00,0.00,0.00,0.00,209.40,0.00,209.40,0.00,52894.40,46207856,0,16708492,26.56,28616,2809492,67493004,107.27,14026356,2069180,535168,13320620,121860,7752,33788,110332,0,0,0.00,0,0.00,5,955,3.82,3.85,2.87,0,209.40,0.00,52894.40,252.60,10.47,49.99,0.42,8.88,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 22:42:28,49.92,0.00,2.83,1.49,0.03,0.00,0.05,0.00,0.00,45.68,0.00,4665.60,4679.80,0.00,0.00,0.00,25972.00,11463.80,0.00,11204.20,0.00,0.00,0.00,0.00,197.40,0.00,197.40,0.00,48862.40,44497852,0,18418496,29.27,28712,3004804,67493004,107.27,15627628,2214536,602028,14829712,128216,7752,36432,110332,0,0,0.00,0,0.00,13,955,3.67,3.82,2.86,0,197.40,0.00,48862.40,247.53,29.50,91.06,1.45,28.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:42:33,53.57,0.00,1.38,0.15,0.03,0.00,0.00,0.00,0.00,44.87,0.00,3588.00,3421.60,0.00,0.00,0.00,244.80,4097.00,0.00,4188.60,0.00,0.00,0.00,0.00,22.20,0.00,22.20,0.00,3571.20,43240064,0,19676284,31.27,28744,3089344,67493004,107.27,16822544,2285500,686204,15996356,130336,7744,39056,110332,0,0,0.00,0,0.00,2,954,3.54,3.79,2.86,0,22.20,0.00,3571.20,160.86,4.74,732.68,7.50,16.64,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-19 22:42:38,68.91,0.00,3.74,0.53,0.03,0.00,0.08,0.00,0.00,26.72,0.00,6360.80,5681.40,0.00,0.00,0.00,2368.80,4955.60,0.00,96599.60,0.00,0.00,0.00,0.00,20.60,0.00,20.60,0.00,4737.60,41159080,0,21757268,34.58,28764,3157532,67531156,107.33,18847544,2328008,743200,18003716,132524,7744,43240,110332,0,0,0.00,0,0.00,12,953,3.58,3.79,2.86,0,20.60,0.00,4737.60,229.98,0.47,22.64,1.24,2.56,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
