timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 19:19:20,72.35,0.00,2.42,0.00,0.20,0.00,0.00,0.00,0.00,25.03,17.40,1329.40,1270.20,0.00,0.00,0.00,29.60,13447.00,0.00,12027.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,59.20,13153872,0,2512248,16.04,60456,856828,3353132,21.40,1743060,591248,280,1417020,59748,4472,7620,30304,0,0,0.00,0,0.00,0,548,0.78,2.38,2.73,0,1.00,0.00,59.20,59.20,0.00,0.80,0.80,0.08,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-21 19:19:25,73.17,0.00,5.41,0.10,0.30,0.00,0.00,0.00,0.00,21.02,50.80,1494.20,1191.40,0.00,0.00,0.00,64.00,28984.80,0.00,24813.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,128.00,13177504,0,2488616,15.89,60464,854104,3390440,21.64,1720396,588780,4872,1394632,59784,4592,8988,30304,0,0,0.00,0,0.00,3,560,1.12,2.42,2.74,0,1.00,0.00,128.00,128.00,0.00,0.80,0.80,0.08,5.20,5.20,0.61,0.44,0.00,0.00,0.00,0.00
2017-09-21 19:19:30,70.26,0.00,2.92,0.00,0.20,0.00,0.10,0.00,0.00,26.51,20.00,1718.00,1466.60,0.00,0.00,0.00,103.20,9209.40,0.00,5043.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,206.40,12964880,0,2701240,17.24,60476,855044,3742320,23.89,1931108,589400,6004,1604968,60208,4840,9756,30304,0,0,0.00,0,0.00,4,591,1.03,2.38,2.73,0,7.00,0.00,206.40,29.49,0.01,1.03,0.80,0.56,2.80,2.80,0.32,0.22,0.00,0.00,0.00,0.00
2017-09-21 19:19:35,82.51,0.00,1.91,0.10,0.00,0.00,0.10,0.00,0.00,15.38,13.80,1620.80,1461.60,0.00,0.00,0.00,28.00,6479.60,0.00,4330.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,56.00,12807260,0,2858860,18.25,60484,855144,4042816,25.81,2087152,589372,6120,1760908,60272,5112,10168,30304,0,0,0.00,0,0.00,0,655,1.19,2.39,2.73,0,1.40,0.00,56.00,40.00,0.00,1.71,1.14,0.16,4.80,4.80,0.47,0.34,0.00,0.00,0.00,0.00
2017-09-21 19:19:40,70.95,0.00,2.91,0.00,0.10,0.00,0.00,0.00,0.00,26.03,10.60,1732.40,1165.40,0.00,0.00,0.00,121.60,9450.60,0.00,4186.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,243.20,12565024,0,3101096,19.79,60492,855456,4590948,29.30,2326776,589568,6120,2000456,60912,5640,11404,30304,0,0,0.00,0,0.00,3,691,1.41,2.42,2.73,0,15.00,0.00,243.20,16.21,0.05,3.15,0.16,0.24,3.40,3.40,0.28,0.23,0.00,0.00,0.00,0.00
2017-09-21 19:19:45,96.70,0.00,3.00,0.00,0.00,0.00,0.10,0.00,0.00,0.20,5.60,1933.00,1048.40,0.00,0.00,0.00,0.00,4493.20,0.00,2352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12294796,0,3371324,21.52,60492,855720,4653088,29.70,2593952,589804,6384,2269584,61104,5792,12044,30304,0,0,0.00,0,0.00,5,710,1.70,2.46,2.75,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-21 19:19:50,98.90,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1698.00,993.20,0.00,0.00,0.00,56.80,52.20,0.00,217.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,113.60,12282648,0,3383472,21.60,60504,865700,4653088,29.70,2608908,589856,16176,2272700,61136,5784,12060,30304,0,0,0.00,0,0.00,2,709,1.72,2.45,2.74,0,2.00,0.00,113.60,56.80,0.00,0.00,0.00,0.00,1.60,1.60,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-21 19:19:55,88.58,0.00,3.81,0.00,0.10,0.00,0.00,0.00,0.00,7.52,16.60,1968.40,1097.60,0.00,0.00,0.00,39.20,9606.40,0.00,28085.60,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,78.40,12534264,0,3131856,19.99,60524,884876,4646864,29.66,2358096,589656,35332,2002432,61080,5696,11424,30304,0,0,0.00,0,0.00,6,698,1.99,2.50,2.76,0,2.20,0.00,78.40,35.64,0.00,0.36,0.36,0.08,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-21 19:20:00,96.90,0.00,3.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,6.00,1927.60,1085.80,0.00,0.00,0.00,1091.20,4701.00,0.00,2580.60,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,2182.40,12264028,0,3402092,21.72,60536,885148,4646864,29.66,2626788,589916,30508,2271080,61224,5864,12068,30304,0,0,0.00,0,0.00,4,719,1.99,2.49,2.75,0,25.00,0.00,2182.40,87.30,0.29,11.46,0.29,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 19:20:05,98.90,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1729.80,1140.20,0.00,0.00,0.00,94.40,64.40,0.00,370.00,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,188.80,12251208,0,3414912,21.80,60548,895676,4646864,29.66,2639840,589956,40920,2273532,61116,5864,12084,30304,0,0,0.00,0,0.00,2,719,1.99,2.48,2.75,0,5.60,0.00,188.80,33.71,0.00,0.86,0.29,0.16,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 19:20:10,86.51,0.00,3.80,0.00,0.00,0.00,0.10,0.00,0.00,9.59,15.40,1910.60,1112.20,0.00,0.00,0.00,68.00,9576.20,0.00,28446.20,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,136.00,12507120,0,3159000,20.16,60564,914268,4609328,29.42,2384688,589736,59440,1999668,60820,5728,11404,30304,0,0,0.00,0,0.00,4,702,1.99,2.47,2.74,0,1.60,0.00,136.00,85.00,0.00,1.00,1.00,0.16,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-21 19:20:15,97.09,0.00,2.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,1969.40,1044.60,0.00,0.00,0.00,115.20,3272.80,0.00,1893.60,0.00,0.00,0.00,0.00,11.20,0.00,11.20,0.00,230.40,12250436,0,3415684,21.80,60576,914540,4671048,29.82,2640552,589996,59304,2255420,61092,5880,12024,30304,0,0,0.00,0,0.00,2,721,1.99,2.47,2.74,0,11.20,0.00,230.40,20.57,0.02,1.86,0.14,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 19:20:20,98.40,0.00,1.50,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1562.20,912.80,0.00,0.00,0.00,18.40,47.80,0.00,234.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,36.80,12229284,0,3436836,21.94,60584,933568,4671048,29.82,2661960,590060,78408,2257856,61104,5880,12036,30304,0,0,0.00,0,0.00,3,721,1.99,2.46,2.74,0,0.60,0.00,36.80,61.33,0.00,1.33,1.33,0.08,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 19:20:25,79.60,0.00,3.32,0.00,0.00,0.00,0.00,0.00,0.00,17.09,14.80,1931.60,1071.00,0.00,0.00,0.00,5930.40,9174.80,0.00,27022.80,0.00,0.00,0.00,0.00,48.40,0.00,48.40,0.00,11860.80,12479132,0,3186988,20.34,60604,943648,4650400,29.68,2412856,589828,59020,1998508,60968,5704,11416,30304,0,0,0.00,0,0.00,4,699,2.07,2.47,2.74,0,48.40,0.00,11860.80,245.06,4.20,86.88,0.83,4.00,1.40,1.40,0.14,0.11,0.00,0.00,0.00,0.00
2017-09-21 19:20:30,96.80,0.00,3.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,5.60,1954.60,1012.60,0.00,0.00,0.00,69.60,2250.80,0.00,788.40,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,139.20,12218216,0,3447904,22.01,60616,943920,4650400,29.68,2672368,590084,59376,2257908,61220,5840,12024,30304,0,0,0.00,0,0.00,2,716,2.07,2.46,2.73,0,3.80,0.00,139.20,36.63,0.00,0.21,0.21,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 19:20:35,98.90,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1580.40,938.20,0.00,0.00,0.00,30.40,51.40,0.00,206.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,60.80,12197836,0,3468284,22.14,60624,959760,4650400,29.68,2693252,590120,75200,2263008,61252,5848,12040,30304,0,0,0.00,0,0.00,3,717,2.14,2.47,2.73,0,1.00,0.00,60.80,60.80,0.00,0.80,0.80,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
