timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 00:11:12,71.46,0.00,3.42,0.00,0.20,0.00,0.00,0.00,0.00,24.92,18.00,1338.60,1261.00,0.00,0.00,0.00,76.80,14392.40,0.00,20829.80,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,153.60,3858572,0,11807548,75.37,104628,9956744,2602724,16.61,3327656,8052656,404,1318860,306096,4712,7564,30304,0,0,0.00,0,0.00,1,563,0.67,2.55,2.83,0,2.60,0.00,153.60,59.08,0.00,0.92,0.62,0.16,1.00,1.00,0.11,0.07,0.00,0.00,0.00,0.00
2017-09-22 00:11:17,80.56,0.00,11.62,0.00,0.20,0.00,0.00,0.00,0.00,7.62,32.80,1488.00,1172.80,0.00,0.00,0.00,127.20,21138.60,0.00,211382.40,0.00,0.00,0.00,0.00,6.20,0.00,6.20,0.00,254.40,7746084,0,7920036,50.56,104640,5994984,3026464,19.32,3266656,4313224,764,1480320,218460,4784,8788,30304,0,0,0.00,0,0.00,3,581,0.78,2.54,2.83,0,6.20,0.00,254.40,41.03,0.00,0.52,0.13,0.08,8.80,8.60,1.18,1.65,0.00,0.00,0.00,0.00
2017-09-22 00:11:22,69.16,0.00,1.62,5.36,0.00,0.00,0.00,0.00,0.00,23.86,1.40,1646.80,1553.80,0.00,0.00,0.00,1991.20,1855.00,0.00,1703.00,0.00,0.00,0.00,0.00,183.40,0.00,183.40,0.00,3982.40,7626660,0,8039460,51.32,106140,5992836,3064788,19.56,3387912,4311276,2056,1600596,218360,4816,8880,30304,0,0,0.00,0,0.00,2,588,0.95,2.55,2.83,0,183.40,0.00,3982.40,21.71,0.17,0.91,0.80,14.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 00:11:27,67.54,0.00,3.01,2.30,0.20,0.00,0.20,0.00,0.00,26.75,5.60,2499.00,1631.00,0.00,0.00,0.00,935.20,3142.20,0.00,1646.00,0.00,0.00,0.00,0.00,86.60,0.00,86.60,0.00,1870.40,7546220,0,8119900,51.83,106244,6005788,3095828,19.76,3455972,4322940,18540,1667240,218280,4872,9276,30304,0,0,0.00,0,0.00,3,600,1.20,2.58,2.84,0,86.60,0.00,1870.40,21.60,0.08,0.91,0.79,6.88,2.60,2.40,0.38,0.66,0.00,0.00,0.00,0.00
2017-09-22 00:11:32,75.81,0.00,3.23,0.00,0.10,0.00,0.00,0.00,0.00,20.87,19.20,1669.20,1480.80,0.00,0.00,0.00,54.40,10980.60,0.00,7017.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,108.80,7367208,0,8298912,52.97,106260,6018252,3523832,22.49,3622280,4334564,36468,1832412,218504,5104,9960,30304,0,0,0.00,0,0.00,2,633,1.10,2.53,2.82,0,1.40,0.00,108.80,77.71,0.00,0.57,0.57,0.08,4.40,4.60,0.52,0.38,0.00,0.00,0.00,0.00
2017-09-22 00:11:37,71.49,0.00,3.01,0.00,0.00,0.00,0.00,0.00,0.00,25.50,20.40,1959.20,1468.40,0.00,0.00,0.00,32.00,6635.00,0.00,2056.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,64.00,7193400,0,8472720,54.08,106268,6013596,4246452,27.11,3797076,4330148,36968,2009492,218676,5576,10884,30304,0,0,0.00,0,0.00,4,718,1.17,2.52,2.82,0,1.40,0.00,64.00,45.71,0.00,0.00,0.00,0.00,2.40,2.20,0.25,0.18,0.00,0.00,0.00,0.00
2017-09-22 00:11:42,97.40,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,1667.40,1002.80,0.00,0.00,0.00,66.40,6371.60,0.00,4161.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,132.80,7015568,0,8650552,55.22,106268,6008564,4277088,27.30,3980608,4325516,36920,2191364,219024,5896,11364,30304,0,0,0.00,0,0.00,6,724,1.24,2.52,2.81,0,1.00,0.00,132.80,132.80,0.00,1.60,0.80,0.08,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-22 00:11:47,96.60,0.00,3.20,0.00,0.00,0.00,0.10,0.00,0.00,0.10,7.00,2275.00,1152.80,0.00,0.00,0.00,48.80,3596.40,0.00,1453.00,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,97.60,6964284,0,8701836,55.55,106272,6006020,4339124,27.70,4032292,4321868,39428,2244072,219288,6064,11524,30304,0,0,0.00,0,0.00,5,744,1.30,2.51,2.81,0,3.60,0.00,97.60,27.11,0.00,0.22,0.22,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 00:11:52,94.41,0.00,5.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,5245.80,1013.60,0.00,0.00,0.00,261.60,157.20,0.00,2629.20,0.00,0.00,0.00,0.00,23.40,0.00,23.40,0.00,523.20,6917820,0,8748300,55.84,106276,6060960,4339124,27.70,4029040,4373928,98624,2235868,219388,6064,11564,30304,0,0,0.00,0,0.00,4,744,1.52,2.53,2.81,0,23.40,0.00,523.20,22.36,0.13,5.40,0.17,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 00:11:57,93.60,0.00,5.90,0.00,0.10,0.00,0.40,0.00,0.00,0.00,0.00,6163.40,1025.80,0.00,0.00,0.00,42.40,70.20,0.00,2378.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,84.80,6839800,0,8826320,56.34,106280,6138112,4339124,27.70,4033708,4446716,180696,2236260,219380,6048,11548,30304,0,0,0.00,0,0.00,2,742,1.64,2.54,2.81,0,1.80,0.00,84.80,47.11,0.00,0.44,0.44,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 00:12:02,93.19,0.00,6.31,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,6036.80,1710.60,0.00,0.00,0.00,7002.40,63.40,0.00,2475.40,0.00,0.00,0.00,0.00,60.20,0.00,60.20,0.00,14004.80,6763368,0,8902752,56.83,106288,6214620,4339124,27.70,4037980,4519096,227472,2236496,219380,6048,11556,30304,0,0,0.00,0,0.00,6,742,1.67,2.53,2.81,0,60.20,0.00,14004.80,232.64,5.51,91.47,0.80,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 00:12:07,88.16,0.00,5.92,0.00,0.10,0.00,0.40,0.00,0.00,5.42,13.20,5143.60,1309.00,0.00,0.00,0.00,67.20,3293.60,0.00,18527.20,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,134.40,6968600,0,8697520,55.52,106304,6267464,3989132,25.46,3784732,4568916,285424,1979836,218888,5896,10352,30304,0,0,0.00,0,0.00,8,707,1.69,2.52,2.81,0,3.20,0.00,134.40,42.00,0.00,1.00,1.00,0.32,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-22 00:12:12,97.10,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.80,1710.20,1080.80,0.00,0.00,0.00,84.00,9019.40,0.00,4314.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,168.00,6761960,0,8904160,56.84,106316,6262668,4298080,27.44,3994544,4564408,285444,2189996,219068,5944,11324,30304,0,0,0.00,0,0.00,6,732,1.80,2.53,2.81,0,1.60,0.00,168.00,105.00,0.00,0.50,0.50,0.08,1.40,1.40,0.14,0.11,0.00,0.00,0.00,0.00
2017-09-22 00:12:17,97.40,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.10,7.39,2340.92,1098.20,0.00,0.00,0.00,75.05,3506.59,0.00,1859.68,0.00,0.00,0.00,0.00,2.59,0.00,2.59,0.00,150.10,6720572,0,8945548,57.10,106324,6260644,4328952,27.63,4036372,4562540,288356,2232044,219236,6128,11788,30304,0,0,0.00,0,0.00,7,752,1.89,2.54,2.81,0,2.59,0.00,150.10,57.85,0.00,1.54,0.92,0.24,2.20,2.20,0.34,0.65,0.00,0.00,0.00,0.00
2017-09-22 00:12:22,95.10,0.00,4.70,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,4762.60,1614.40,0.00,0.00,0.00,52872.80,417.40,0.00,2051.00,0.00,0.00,0.00,0.00,415.60,0.00,415.60,0.00,105745.60,6666980,0,8999140,57.44,106340,6309684,4328952,27.63,4044340,4608728,78272,2237536,219348,6128,11804,30304,0,0,0.00,0,0.00,3,752,2.30,2.61,2.83,0,415.60,0.00,105745.60,254.44,80.69,194.16,1.41,58.80,0.40,0.60,0.04,0.05,0.00,0.00,0.00,0.00
2017-09-22 00:12:27,94.59,0.00,5.01,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,5928.40,1286.80,0.00,0.00,0.00,72.00,133.40,0.00,3003.20,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,144.00,6603092,0,9063028,57.85,106344,6385744,4328952,27.63,4037388,4679688,158364,2225484,219444,6112,11672,30304,0,0,0.00,0,0.00,9,748,2.36,2.62,2.83,0,10.00,0.00,144.00,14.40,0.02,1.60,0.16,0.16,0.60,0.60,0.05,0.05,0.00,0.00,0.00,0.00
2017-09-22 00:12:32,93.51,0.00,5.99,0.00,0.10,0.00,0.40,0.00,0.00,0.00,0.00,5935.60,1277.00,0.00,0.00,0.00,17.60,50.60,0.00,2336.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,35.20,6528920,0,9137200,58.32,106352,6460172,4328952,27.63,4041288,4750144,237736,2225396,219400,6072,11524,30304,0,0,0.00,0,0.00,4,745,2.33,2.61,2.83,0,1.00,0.00,35.20,35.20,0.00,0.00,0.00,0.00,0.20,0.20,0.02,0.02,0.00,0.00,0.00,0.00
2017-09-22 00:12:37,92.09,0.00,4.80,0.00,0.10,0.00,0.40,0.00,0.00,2.60,8.80,5184.20,1491.80,0.00,0.00,0.00,4105.60,3422.00,0.00,10387.40,0.00,0.00,0.00,0.00,34.60,0.00,34.60,0.00,8211.20,6564872,0,9101248,58.10,106356,6513356,4272264,27.27,3955340,4800428,276128,2136256,219140,5976,11240,30304,0,0,0.00,0,0.00,5,733,2.38,2.61,2.83,0,34.60,0.00,8211.20,237.32,2.33,67.45,0.83,2.88,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
