timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 07:15:42,76.51,0.00,6.55,0.00,0.00,0.00,0.30,0.00,0.00,16.63,20.60,3616.40,2011.20,0.00,0.00,0.00,60.80,12211.60,0.00,10921.00,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,121.60,8524040,0,7142080,45.59,141520,5156376,3532728,22.55,2980144,3831024,131328,1513616,210912,4896,7548,30304,0,0,0.00,0,0.00,1,594,1.20,1.06,1.06,0,2.40,0.00,121.60,50.67,0.00,0.67,0.67,0.16,1.60,1.60,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-23 07:15:47,68.69,0.00,4.26,0.20,0.10,0.00,0.20,0.00,0.00,26.55,13.57,2597.60,2314.57,0.00,0.00,0.00,80.64,7820.16,0.00,3413.97,0.00,0.00,0.00,0.00,3.39,0.00,3.39,0.00,161.28,8224124,0,7441996,47.50,141532,5285600,4154316,26.52,3157196,3949776,260548,1679832,214708,5120,8372,30304,0,0,0.00,0,0.00,4,628,1.19,1.06,1.06,0,3.39,0.00,161.28,47.53,0.01,1.65,1.18,0.40,2.79,2.79,0.34,0.23,0.00,0.00,0.00,0.00
2017-09-23 07:15:52,74.65,0.00,3.04,1.42,0.00,0.00,0.00,0.00,0.00,20.89,14.20,2126.40,1689.60,0.00,0.00,0.00,9633.60,9078.20,0.00,3698.40,0.00,0.00,0.00,0.00,86.40,0.00,86.40,0.00,19267.20,7851336,0,7814784,49.88,141540,5286020,11944820,76.25,3530748,3945924,212988,2049204,215444,5520,9544,30304,0,0,0.00,0,0.00,1,678,1.33,1.09,1.07,0,86.40,0.00,19267.20,223.00,7.66,88.71,0.77,6.64,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 07:15:57,64.13,0.00,4.46,20.06,0.00,0.00,0.00,0.00,0.00,11.35,1.80,2060.20,1927.60,0.00,0.00,0.00,43039.20,2157.00,0.00,5182.80,0.00,0.00,0.00,0.00,345.60,0.00,345.60,0.00,86078.40,6597180,0,9068940,57.89,141556,5291232,11975700,76.44,4771692,3944144,3372,3295332,215684,5552,11968,30304,0,0,0.00,0,0.00,4,679,1.47,1.12,1.08,0,345.60,0.00,86078.40,249.07,86.35,249.86,1.88,65.04,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 07:16:02,83.81,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,14.07,0.80,2042.00,1446.00,0.00,0.00,0.00,34.40,5571.40,0.00,4434.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,68.80,6219684,0,9446436,60.30,141560,5311032,12010088,76.66,5137600,3962240,23252,3651228,216164,5552,12636,30304,0,0,0.00,0,0.00,3,682,1.51,1.13,1.08,0,0.60,0.00,68.80,114.67,0.00,2.67,1.33,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 07:16:07,97.80,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,1696.00,1278.80,0.00,0.00,0.00,47.20,408.00,0.00,18795.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,94.40,5729396,0,9936724,63.43,141564,5310992,12010088,76.66,5608456,3962052,23384,4140480,216248,5560,13592,30304,0,0,0.00,0,0.00,3,681,1.63,1.17,1.09,0,0.60,0.00,94.40,157.33,0.00,2.67,1.33,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 07:16:12,99.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1690.80,1220.60,0.00,0.00,0.00,4.80,145.60,0.00,546.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,5706380,0,9959740,63.58,141572,5311020,12010088,76.66,5653864,3962064,23420,4163344,216248,5544,13804,30304,0,0,0.00,0,0.00,3,679,1.66,1.18,1.10,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 07:16:17,99.20,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1777.00,1247.80,0.00,0.00,0.00,13.60,44.20,0.00,60.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,27.20,5641480,0,10024640,63.99,141580,5327144,12010088,76.66,5695984,3974888,39548,4212416,216648,5544,13884,30304,0,0,0.00,0,0.00,4,679,1.69,1.19,1.10,0,0.40,0.00,27.20,68.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 07:16:22,99.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1720.00,1231.00,0.00,0.00,0.00,112.80,206.80,0.00,218.80,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,225.60,5600008,0,10066112,64.25,141588,5334972,12010088,76.66,5740016,3981792,46984,4245288,216796,5536,13964,30304,0,0,0.00,0,0.00,3,678,1.71,1.21,1.11,0,12.00,0.00,225.60,18.80,0.07,5.87,0.13,0.16,1.60,1.60,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-23 07:16:27,98.80,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1668.20,1214.00,0.00,0.00,0.00,667.20,58.00,0.00,9771.20,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,1334.40,5397132,0,10268988,65.55,141596,5343288,12010088,76.66,5936868,3987780,52056,4439760,217112,5528,14344,30304,0,0,0.00,0,0.00,3,677,1.73,1.22,1.11,0,8.20,0.00,1334.40,162.73,0.10,12.29,0.59,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
