timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 02:00:30,77.31,0.00,5.22,0.10,0.00,0.00,0.10,0.00,0.00,17.27,18.76,2621.36,1654.89,0.00,0.00,0.00,39.12,11812.97,0.00,10027.15,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,78.24,13329032,0,2337088,14.92,27304,800444,3496440,22.32,1680080,491048,86644,1343540,46800,4504,7036,30304,0,0,0.00,0,0.00,3,549,1.32,1.15,1.02,0,1.80,0.00,78.24,43.56,0.00,1.33,0.89,0.16,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-23 02:00:35,68.40,0.00,5.30,0.00,0.10,0.00,0.20,0.00,0.00,25.99,11.20,3103.40,2159.40,0.00,0.00,0.00,59.20,5713.20,0.00,3929.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,118.40,12978852,0,2687268,17.15,27316,974304,4161820,26.57,1861000,654316,260488,1513692,52300,4640,7796,30304,0,0,0.00,0,0.00,3,567,1.38,1.17,1.02,0,2.60,0.00,118.40,45.54,0.00,0.00,0.00,0.00,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-23 02:00:40,72.23,0.00,2.92,0.91,0.00,0.00,0.00,0.00,0.00,23.94,12.20,1952.80,1591.00,0.00,0.00,0.00,10678.40,8212.00,0.00,2814.00,0.00,0.00,0.00,0.00,97.60,0.00,97.60,0.00,21356.80,12689044,0,2977076,19.00,27316,974428,11869288,75.76,2152832,650260,207208,1801344,52804,5032,8776,30304,0,0,0.00,0,0.00,7,622,1.43,1.18,1.03,0,97.60,0.00,21356.80,218.82,8.94,91.56,0.75,7.36,1.80,1.80,0.20,0.14,0.00,0.00,0.00,0.00
2017-09-23 02:00:45,82.88,0.00,3.02,6.14,0.00,0.00,0.10,0.00,0.00,7.85,5.80,2291.00,1864.80,0.00,0.00,0.00,29365.60,5632.80,0.00,7793.40,0.00,0.00,0.00,0.00,207.20,0.00,207.20,0.00,51563.20,11996760,0,3669360,23.42,27332,979936,11974552,76.44,2846500,645920,66288,2485148,53208,5128,10236,30304,0,0,0.00,0,0.00,5,627,1.39,1.18,1.03,1,207.20,0.00,51563.20,248.86,56.13,193.25,1.92,39.84,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:00:50,3.35,0.00,0.20,48.22,0.00,0.00,0.00,0.00,0.00,48.22,0.20,1740.60,1041.00,0.00,0.00,0.00,4950.40,52.20,0.00,296.40,0.00,0.00,0.00,0.00,34.80,0.00,34.80,0.00,8875.20,11998564,0,3667556,23.41,27340,979960,11974552,76.44,2844044,645904,41872,2482644,53208,5112,10240,30304,0,0,0.00,0,0.00,1,626,1.60,1.23,1.04,2,34.80,0.00,8875.20,255.03,91.36,2960.39,28.74,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:00:55,92.56,0.00,1.61,1.21,0.00,0.00,0.00,0.00,0.00,4.62,0.60,2076.80,1495.20,0.00,0.00,0.00,4084.00,4062.40,0.00,2312.80,0.00,0.00,0.00,0.00,37.20,0.00,37.20,0.00,9523.20,11716872,0,3949248,25.21,27340,984972,11974552,76.44,3106972,650024,26336,2758892,53440,5136,10716,30304,0,0,0.00,0,0.00,3,628,1.95,1.30,1.07,2,37.20,0.00,9574.40,257.38,146.46,2262.11,26.88,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 02:01:00,44.96,0.00,0.71,54.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1821.80,1150.00,0.00,0.00,0.00,3656.00,52.00,0.00,2145.60,0.00,0.00,0.00,0.00,42.20,0.00,42.20,0.00,10691.20,11559516,0,4106604,26.21,27352,1000800,11974552,76.44,3260720,663624,24248,2900640,53708,5128,11108,30304,0,0,0.00,0,0.00,3,627,2.28,1.38,1.10,1,42.20,0.00,10640.00,252.13,93.37,3435.45,23.70,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 02:01:05,98.20,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,1814.60,1303.80,0.00,0.00,0.00,15.20,122.20,0.00,421.80,0.00,0.00,0.00,0.00,14.20,0.00,14.20,0.00,3489.60,11013804,0,4652316,29.70,27360,1021796,11974552,76.44,3791764,681360,45488,3424244,54308,5128,12056,30304,0,0,0.00,0,0.00,5,627,2.26,1.39,1.10,0,14.20,0.00,3489.60,245.75,13.29,2001.30,26.54,37.68,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:01:10,98.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,1900.20,1356.60,0.00,0.00,0.00,34.40,66.80,0.00,5048.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,68.80,10665624,0,5000496,31.92,27368,1048768,11974552,76.44,4093032,704416,72432,3743840,55228,5128,12500,30304,0,0,0.00,0,0.00,3,627,2.39,1.44,1.12,0,1.80,0.00,68.80,38.22,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:01:15,98.90,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1847.40,1307.60,0.00,0.00,0.00,756.00,25.20,0.00,332.80,0.00,0.00,0.00,0.00,17.20,0.00,17.20,0.00,1512.00,10540844,0,5125276,32.72,27376,1080644,11974552,76.44,4212348,731608,100632,3835948,56120,5120,12980,30304,0,0,0.00,0,0.00,3,626,2.36,1.45,1.12,0,17.20,0.00,1512.00,87.91,0.11,6.23,0.28,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
