timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 20:13:25,77.78,0.00,5.51,0.10,0.10,0.00,0.20,0.00,0.00,16.32,18.40,2465.60,1647.00,0.00,0.00,0.00,87.20,12025.60,0.00,9975.00,0.00,0.00,0.00,0.00,8.80,0.00,8.80,0.00,174.40,13132836,0,2533284,16.17,59612,754380,3919056,25.02,1952716,411012,72200,1550020,49644,4640,7988,30368,0,0,0.00,0,0.00,8,566,1.80,1.73,1.65,0,8.80,0.00,174.40,19.82,0.01,0.64,0.18,0.16,1.80,1.80,0.21,0.14,0.00,0.00,0.00,0.00
2017-09-23 20:13:30,70.70,0.00,7.43,0.00,0.00,0.00,0.31,0.00,0.00,21.57,11.00,3173.60,2172.00,0.00,0.00,0.00,71.20,6432.40,0.00,5120.20,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,142.40,12760428,0,2905692,18.55,59624,942496,4614940,29.46,2141556,588860,260436,1728424,53976,4768,8776,30368,0,0,0.00,0,0.00,4,582,1.74,1.72,1.65,0,3.00,0.00,142.40,47.47,0.00,0.80,0.80,0.24,3.20,2.80,0.32,0.28,0.00,0.00,0.00,0.00
2017-09-23 20:13:35,63.12,0.00,2.23,0.00,0.00,0.00,0.10,0.00,0.00,34.55,9.60,1890.60,1396.40,0.00,0.00,0.00,39.20,8290.60,0.00,3176.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,78.40,12537396,0,3128724,19.97,59632,942620,12310960,78.58,2367764,583812,260544,1949328,54496,5104,9588,30368,0,0,0.00,0,0.00,3,624,1.76,1.73,1.65,0,1.60,0.00,78.40,49.00,0.00,0.00,0.00,0.00,1.20,1.20,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-23 20:13:40,75.69,0.00,4.27,0.00,0.10,0.00,0.00,0.00,0.00,19.94,9.00,2488.00,1794.20,0.00,0.00,0.00,534.40,2897.40,0.00,6119.40,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,1068.80,11763080,0,3903040,24.91,59636,948128,12405388,79.19,3142056,579864,263544,2716200,54996,5288,11060,30368,0,0,0.00,0,0.00,3,647,1.70,1.71,1.64,0,5.20,0.00,1068.80,205.54,0.04,8.62,0.77,0.40,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 20:13:45,89.03,0.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,5.63,0.00,2417.20,1883.40,0.00,0.00,0.00,0.00,2786.80,0.00,571.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11095936,0,4570184,29.17,59636,1027908,12405388,79.19,3742876,644440,343376,3300176,56812,5264,12308,30368,0,0,0.00,0,0.00,3,644,1.72,1.72,1.65,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 20:13:50,74.40,0.00,4.64,0.00,0.00,0.00,0.00,0.00,0.00,20.97,0.60,2219.80,1698.40,0.00,0.00,0.00,25.60,8706.20,0.00,6712.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,51.20,10449220,0,5216900,33.30,59640,1069624,12405388,79.19,4331828,680804,385104,3901796,58420,5280,13408,30368,0,0,0.00,0,0.00,2,646,1.67,1.71,1.64,0,2.00,0.00,51.20,25.60,0.00,1.60,0.40,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 20:13:55,65.59,0.00,2.73,1.52,0.00,0.00,0.00,0.00,0.00,30.16,0.00,1834.60,1384.40,0.00,0.00,0.00,8214.40,193.40,0.00,22046.20,0.00,0.00,0.00,0.00,36.40,0.00,36.40,0.00,9056.00,9891444,0,5774676,36.86,59644,1069648,12405388,79.19,4948184,627952,344188,4459128,58552,5272,14620,30368,0,0,0.00,0,0.00,3,645,1.61,1.70,1.64,1,36.60,0.00,9107.20,248.83,4.50,70.10,0.87,3.20,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 20:14:00,66.36,0.00,3.23,5.45,0.00,0.00,0.00,0.00,0.00,24.95,0.00,1699.40,1408.60,0.00,0.00,0.00,18092.00,192.60,0.00,31771.40,0.00,0.00,0.00,0.00,170.80,0.00,170.80,0.00,43556.80,9144088,0,6522032,41.63,59652,1069676,12405388,79.19,5754720,579572,253828,5204960,58484,5272,16036,30368,0,0,0.00,0,0.00,3,644,1.56,1.68,1.64,0,170.60,0.00,43505.60,255.02,17.99,116.79,0.87,14.88,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 20:14:05,76.39,0.00,2.72,4.54,0.00,0.00,0.00,0.00,0.00,16.35,0.20,1969.60,1696.40,0.00,0.00,0.00,25836.00,5402.60,0.00,4275.80,0.00,0.00,0.00,0.00,217.40,0.00,217.40,0.00,51672.00,9056188,0,6609932,42.19,59664,1116700,12436364,79.38,5840704,579244,171712,5243704,59688,5272,16200,30368,0,0,0.00,0,0.00,3,645,1.52,1.67,1.63,0,217.40,0.00,51672.00,237.68,23.47,107.97,0.82,17.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 20:14:10,73.19,0.00,1.31,0.00,0.10,0.00,0.00,0.00,0.00,25.40,0.00,1808.00,1373.20,0.00,0.00,0.00,72.80,1912.60,0.00,4150.20,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,145.60,8841700,0,6824420,43.56,59668,1140148,12436364,79.38,6037596,579124,195220,5431236,60200,5264,16464,30368,0,0,0.00,0,0.00,3,644,1.48,1.66,1.63,0,5.20,0.00,145.60,28.00,0.01,2.15,0.15,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
