timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 19:32:31,78.57,0.00,4.63,0.00,0.00,0.00,0.20,0.00,0.00,16.60,18.80,2374.80,1679.40,0.00,0.00,0.00,32.80,12092.20,0.00,10128.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,19.20,12152004,0,3514116,22.43,220940,1410880,3966048,25.32,2747644,518088,66664,1634296,127648,4608,8052,30368,0,0,0.00,0,0.00,4,568,1.21,1.29,1.54,2,1.20,0.00,65.60,54.67,0.00,0.67,0.67,0.08,1.40,1.40,0.16,0.18,0.00,0.00,0.00,0.00
2017-09-24 19:32:36,68.93,0.00,6.50,0.41,0.10,0.00,0.30,0.00,0.00,23.76,11.20,3368.80,2399.80,0.00,0.00,0.00,11256.00,6312.20,0.00,5234.20,0.00,0.00,0.00,0.00,99.40,0.00,99.40,0.00,22558.40,11784908,0,3881212,24.77,220944,1604752,4658812,29.74,2930272,700676,204272,1805248,127984,4792,8848,30368,0,0,0.00,0,0.00,5,586,1.36,1.32,1.54,0,99.20,0.00,22512.00,226.94,9.13,92.08,0.78,7.76,2.40,2.40,0.29,0.20,0.00,0.00,0.00,0.00
2017-09-24 19:32:41,74.57,0.00,3.44,0.30,0.00,0.00,0.00,0.00,0.00,21.68,12.80,2113.60,1659.00,0.00,0.00,0.00,13216.80,7629.40,0.00,2236.40,0.00,0.00,0.00,0.00,84.00,0.00,84.00,0.00,20054.40,11477020,0,4189100,26.74,220952,1604880,12369084,78.95,3241444,696092,137556,2111700,128564,5088,9776,30368,0,0,0.00,0,0.00,10,636,1.49,1.35,1.55,0,84.20,0.00,20054.40,238.18,9.80,95.67,0.82,6.88,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-24 19:32:46,71.18,0.00,3.03,4.75,0.10,0.00,0.00,0.00,0.00,20.93,5.80,2237.60,1864.60,0.00,0.00,0.00,28203.20,3114.40,0.00,7186.00,0.00,0.00,0.00,0.00,246.80,0.00,246.80,0.00,62785.60,10835800,0,4830320,30.83,220952,1614888,12477068,79.64,3881196,695656,8036,2741324,128676,5312,11140,30368,0,0,0.00,0,0.00,2,650,1.45,1.34,1.55,0,246.60,0.00,62785.60,254.61,41.38,174.87,1.34,33.12,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 19:32:51,50.56,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,46.41,0.00,1702.60,1012.00,0.00,0.00,0.00,29.60,103.80,0.00,62.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,59.20,9972776,0,5693344,36.34,220952,1658716,12477068,79.64,4705380,732296,51940,3558028,129136,5296,12760,30368,0,0,0.00,0,0.00,4,647,1.41,1.33,1.55,0,0.60,0.00,59.20,98.67,0.00,2.67,1.33,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 19:32:56,51.67,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,45.29,0.00,1745.40,1014.40,0.00,0.00,0.00,4.00,105.60,0.00,6184.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,9301792,0,6364328,40.62,220952,1703132,12477068,79.64,5337608,769096,96356,4182896,130252,5280,14036,30368,0,0,0.00,0,0.00,1,646,1.46,1.35,1.55,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 19:33:01,51.47,0.00,0.91,0.10,0.00,0.00,0.00,0.00,0.00,47.52,0.00,1696.40,958.00,0.00,0.00,0.00,4.00,16.60,0.00,37.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,9217888,0,6448232,41.16,220952,1750956,12477068,79.64,5380356,808976,144188,4217556,131452,5264,14072,30368,0,0,0.00,0,0.00,3,644,1.42,1.34,1.55,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 19:33:06,51.72,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,47.17,0.00,1686.60,952.80,0.00,0.00,0.00,5.60,12.60,0.00,25.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,9169140,0,6496980,41.47,220956,1798368,12477068,79.64,5388352,848392,191600,4217592,132664,5264,14140,30368,0,0,0.00,0,0.00,1,644,1.39,1.33,1.54,0,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 19:33:11,56.46,0.00,3.94,0.10,0.00,0.00,0.00,0.00,0.00,39.49,0.20,1786.80,1105.40,0.00,0.00,0.00,125.60,11121.60,0.00,11287.20,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,251.20,9133304,0,6532816,41.70,220960,1829876,12477068,79.64,5365420,905616,222556,4220236,134348,5264,14144,30368,0,0,0.00,0,0.00,2,644,1.36,1.33,1.54,0,13.00,0.00,251.20,19.32,0.04,2.95,0.12,0.16,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 19:33:16,54.89,0.00,0.61,0.00,0.10,0.00,0.00,0.00,0.00,44.40,0.00,1732.60,1107.40,0.00,0.00,0.00,98.40,134.40,0.00,68.00,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,196.80,9131460,0,6534660,41.71,220964,1829896,12477068,79.64,5422064,850640,222364,4221860,134356,5256,14148,30368,0,0,0.00,0,0.00,2,643,1.33,1.32,1.54,0,4.60,0.00,196.80,42.78,0.00,0.17,0.17,0.08,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
