timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 18:00:59,78.05,0.00,5.04,0.10,0.00,0.00,0.10,0.00,0.00,16.72,18.40,2468.40,1793.60,0.00,0.00,0.00,39.20,12302.60,0.00,8983.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,78.40,12268248,0,3397872,21.69,218048,1375412,3907744,24.94,2634260,521744,63144,1562848,121784,4648,8020,30368,0,0,0.00,0,0.00,3,567,1.90,1.95,1.62,0,1.80,0.00,78.40,43.56,0.00,1.78,1.33,0.24,1.60,1.60,0.17,0.12,0.00,0.00,0.00,0.00
2017-09-24 18:01:04,72.73,0.00,7.66,0.00,0.00,0.00,0.41,0.00,0.00,19.20,12.40,3612.80,2493.60,0.00,0.00,0.00,111.20,7454.40,0.00,6288.00,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,222.40,11887312,0,3778808,24.12,218048,1573116,4560404,29.11,2825384,706844,260688,1741140,124896,4784,8792,30368,0,0,0.00,0,0.00,4,591,2.07,1.99,1.63,0,4.40,0.00,222.40,50.55,0.00,0.18,0.18,0.08,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-24 18:01:09,75.00,0.00,2.94,0.00,0.10,0.00,0.10,0.00,0.00,21.86,15.00,2214.00,1682.40,0.00,0.00,0.00,21.60,8798.00,0.00,3176.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,43.20,11526004,0,4140116,26.43,218048,1573240,12279940,78.39,3184820,703312,260820,2100948,125356,5240,9852,30368,0,0,0.00,0,0.00,4,645,2.06,1.99,1.64,0,0.40,0.00,43.20,108.00,0.00,0.00,0.00,0.00,1.80,1.80,0.20,0.14,0.00,0.00,0.00,0.00
2017-09-24 18:01:14,78.62,0.00,3.24,0.00,0.00,0.00,0.00,0.00,0.00,18.14,3.00,2248.60,1716.00,0.00,0.00,0.00,526.40,2529.80,0.00,3789.40,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,1052.80,10962840,0,4703280,30.02,218048,1578812,12341352,78.78,3749416,699096,263928,2655772,125588,5328,11072,30368,0,0,0.00,0,0.00,5,652,1.98,1.97,1.63,0,4.80,0.00,1052.80,219.33,0.04,8.33,0.83,0.40,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 18:01:19,93.16,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.60,2065.40,1463.80,0.00,0.00,0.00,127.20,3950.20,0.00,2003.20,0.00,0.00,0.00,0.00,10.80,0.00,10.80,0.00,254.40,10652740,0,5013380,32.00,218048,1583764,12404224,79.18,4046724,703296,268596,2960496,125720,5336,11620,30368,0,0,0.00,0,0.00,4,653,2.06,1.99,1.64,0,10.80,0.00,254.40,23.56,0.02,1.78,0.15,0.16,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 18:01:24,97.30,0.00,2.00,0.00,0.00,0.00,0.10,0.00,0.00,0.60,0.00,1924.20,1389.00,0.00,0.00,0.00,0.00,144.40,0.00,1855.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10180172,0,5485948,35.02,218048,1615660,12404224,79.18,4488952,730540,300492,3400120,126524,5328,12548,30368,0,0,0.00,0,0.00,3,652,2.21,2.02,1.65,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 18:01:29,98.70,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1878.60,1330.60,0.00,0.00,0.00,64.80,114.80,0.00,249.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,129.60,9752504,0,5913616,37.75,218052,1647396,12404224,79.18,4902000,757540,331992,3794216,127156,5320,13400,30368,0,0,0.00,0,0.00,4,651,2.20,2.02,1.65,0,2.60,0.00,129.60,49.85,0.00,0.31,0.31,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 18:01:34,97.90,0.00,1.80,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0.00,2018.60,1667.00,0.00,0.00,0.00,26278.40,101.40,0.00,5630.60,0.00,0.00,0.00,0.00,207.80,0.00,207.80,0.00,52556.80,9473984,0,6192136,39.53,218056,1679148,12404224,79.18,5152068,784988,232608,4039660,128168,5320,13876,30368,0,0,0.00,0,0.00,5,651,2.18,2.02,1.66,0,207.80,0.00,52556.80,252.92,23.97,115.37,0.87,18.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 18:01:39,98.90,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,1886.60,1514.60,0.00,0.00,0.00,25809.60,46.00,0.00,56.40,0.00,0.00,0.00,0.00,209.40,0.00,209.40,0.00,51619.20,9407980,0,6258140,39.95,218064,1711180,12404224,79.18,5189868,812052,135840,4072896,129072,5320,13940,30368,0,0,0.00,0,0.00,8,651,2.25,2.04,1.66,0,209.40,0.00,51619.20,246.51,23.42,111.86,0.84,17.68,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 18:01:44,98.50,0.00,1.20,0.00,0.00,0.00,0.10,0.00,0.00,0.20,0.00,1952.40,1308.40,0.00,0.00,0.00,640.80,31.20,0.00,31.00,0.00,0.00,0.00,0.00,6.20,0.00,6.20,0.00,1281.60,9374732,0,6291388,40.16,218064,1743036,12404224,79.18,5195072,839384,164736,4073192,130004,5312,13940,30368,0,0,0.00,0,0.00,3,650,2.23,2.03,1.67,0,6.20,0.00,1281.60,206.71,0.06,9.55,0.77,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
