timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:51:48,76.44,0.00,5.64,0.10,0.00,0.00,0.10,0.00,0.00,17.72,18.80,2793.40,2104.60,0.00,0.00,0.00,48.80,11404.60,0.00,9247.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,97.60,12836856,0,2829264,18.06,27924,1062336,3947908,25.20,1953268,700672,90564,1564068,55036,4656,7588,30304,0,0,0.00,0,0.00,3,574,3.48,2.10,1.38,0,1.80,0.00,97.60,54.22,0.00,2.22,2.22,0.40,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-19 22:51:53,65.75,0.00,5.28,0.00,0.10,0.00,0.41,0.00,0.00,28.46,11.20,3063.80,2184.20,0.00,0.00,0.00,72.80,6418.60,0.00,4301.60,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,145.60,12495720,0,3170400,20.24,27936,1232360,4620888,29.50,2129300,860788,260580,1729836,59996,4840,8396,30304,0,0,0.00,0,0.00,5,592,3.44,2.12,1.39,0,2.80,0.00,145.60,52.00,0.00,1.14,1.14,0.32,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-19 22:51:58,75.45,0.00,2.93,0.10,0.00,0.00,0.00,0.00,0.00,21.52,14.80,2122.20,1534.80,0.00,0.00,0.00,34.40,7737.00,0.00,1556.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,68.80,12160812,0,3505308,22.38,27944,1232488,12336020,78.74,2465520,856488,260712,2061572,60660,5144,9312,30304,0,0,0.00,0,0.00,1,645,3.41,2.13,1.39,0,1.00,0.00,68.80,68.80,0.01,5.60,5.60,0.56,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-19 22:52:03,67.82,0.00,6.82,0.00,0.00,0.00,0.00,0.00,0.00,25.36,3.60,2167.00,1613.80,0.00,0.00,0.00,519.20,6060.60,0.00,15760.60,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,1038.40,10063548,0,5602572,35.76,27952,1237992,12397424,79.14,4562024,852540,263768,4148616,60984,5352,13620,30304,0,0,0.00,0,0.00,2,655,3.21,2.11,1.39,0,4.40,0.00,1038.40,236.00,0.05,10.91,1.45,0.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:52:08,55.42,0.00,3.65,0.00,0.00,0.00,0.00,0.00,0.00,40.93,0.00,1708.00,1135.20,0.00,0.00,0.00,87.20,215.60,0.00,37952.40,0.00,0.00,0.00,0.00,11.40,0.00,11.40,0.00,174.40,9230608,0,6435512,41.08,27960,1238016,12397424,79.14,5389004,852556,263396,4979676,60996,5328,15216,30304,0,0,0.00,0,0.00,2,652,3.04,2.09,1.39,0,11.40,0.00,174.40,15.30,0.02,1.61,0.07,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:52:13,53.56,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00,44.51,0.00,1687.20,1154.60,0.00,0.00,0.00,12.00,95.60,0.00,15563.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,24.00,8716068,0,6950052,44.36,27968,1238040,12397424,79.14,5887788,852568,263420,5492792,61008,5320,16228,30304,0,0,0.00,0,0.00,2,651,2.87,2.08,1.39,0,1.20,0.00,24.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:52:18,54.56,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,43.71,0.00,1723.40,1284.80,0.00,0.00,0.00,56.00,119.00,0.00,15832.60,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,112.00,8202976,0,7463144,47.64,27968,1238064,12397424,79.14,6402220,852572,263176,6005140,61000,5304,17092,30304,0,0,0.00,0,0.00,2,649,2.72,2.06,1.39,0,3.00,0.00,112.00,37.33,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 22:52:23,53.97,0.00,1.93,6.42,0.10,0.00,0.00,0.00,0.00,37.58,0.00,1711.20,1422.40,0.00,0.00,0.00,26242.40,79.00,0.00,11827.40,0.00,0.00,0.00,0.00,206.00,0.00,206.00,0.00,52484.80,7761724,0,7904396,50.46,27976,1238088,12397424,79.14,6842592,852592,132128,6445508,61116,5304,18060,30304,0,0,0.00,0,0.00,5,649,2.58,2.04,1.38,0,206.00,0.00,52484.80,254.78,32.25,156.57,1.34,27.52,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-19 22:52:28,52.94,0.00,2.33,6.78,0.00,0.00,0.00,0.00,0.00,37.96,0.00,1692.80,1351.80,0.00,0.00,0.00,25807.20,94.00,0.00,15752.60,0.00,0.00,0.00,0.00,211.40,0.00,211.40,0.00,51614.40,7283720,0,8382400,53.51,27988,1238112,12397424,79.14,7327968,852616,3272,6922672,61060,5296,18984,30304,0,0,0.00,0,0.00,3,648,2.46,2.02,1.38,0,211.40,0.00,51614.40,244.16,24.36,115.22,0.87,18.32,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 22:52:33,53.30,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,44.87,0.00,1670.40,1060.00,0.00,0.00,0.00,622.40,80.20,0.00,10515.00,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,1244.80,6797420,0,8868700,56.61,27996,1238136,12397424,79.14,7798472,852632,348,7407500,61068,5288,19936,30304,0,0,0.00,0,0.00,2,647,2.34,2.01,1.38,0,5.80,0.00,1244.80,214.62,0.09,15.03,3.03,1.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
