timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 05:19:39,35.29,0.00,2.01,0.00,0.10,0.00,0.00,0.00,0.00,62.60,27.40,1617.00,1830.00,0.00,0.00,0.00,121.60,15922.80,0.00,23433.60,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,243.20,22468832,0,8947368,28.48,77804,6862536,4262116,13.57,3459544,5037692,660,1556940,238856,4944,7916,56976,0,0,0.00,0,0.00,2,604,3.47,4.03,3.85,0,3.00,0.00,243.20,81.07,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.07,0.00,0.00,0.00,0.00
2017-09-21 05:19:44,38.57,0.00,1.95,0.00,0.75,0.00,0.00,0.00,0.00,58.73,28.40,1624.60,1842.40,0.00,0.00,0.00,14.40,22463.20,0.00,21411.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,28.80,22312320,0,9103880,28.98,77804,6842856,4396000,13.99,3633744,5019060,716,1732088,238024,5192,9192,56976,0,0,0.00,0,0.00,1,636,3.43,4.02,3.84,0,0.80,0.00,28.80,36.00,0.00,0.00,0.00,0.00,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-21 05:19:49,21.90,0.00,4.63,2.32,0.25,0.00,0.00,0.00,0.00,70.90,1.20,1368.80,1711.40,0.00,0.00,0.00,39357.60,1357.60,0.00,1502.80,0.00,0.00,0.00,0.00,322.00,0.00,322.00,0.00,78715.20,22075892,0,9340308,29.73,77812,7038960,4531296,14.42,3869924,5019072,380,1772256,238120,5224,9292,56976,0,0,0.00,0,0.00,4,642,3.24,3.97,3.83,0,322.00,0.00,78715.20,244.46,16.21,50.36,0.38,12.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 05:19:54,39.61,0.00,6.79,0.05,0.26,0.00,0.31,0.00,0.00,52.99,14.40,5968.80,5728.20,0.00,0.00,0.00,50.40,9585.80,0.00,24900.60,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,100.80,21317056,0,10099144,32.15,77820,7433504,5552232,17.67,4340924,5297048,394760,2126764,246876,5448,10376,56976,0,0,0.00,0,0.00,3,673,3.06,3.92,3.81,0,4.20,0.00,100.80,24.00,0.00,0.57,0.57,0.24,1.80,1.80,0.22,0.16,0.00,0.00,0.00,0.00
2017-09-21 05:19:59,41.43,0.00,2.07,0.00,0.30,0.00,0.00,0.00,0.00,56.20,17.20,1814.20,1957.80,0.00,0.00,0.00,58.40,14830.40,0.00,5494.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,116.80,20785332,0,10630868,33.84,77828,7433748,7777356,24.76,4867000,5294992,395220,2654456,247512,5984,12324,56976,0,0,0.00,0,0.00,3,734,2.81,3.85,3.79,0,1.00,0.00,116.80,116.80,0.00,0.80,0.80,0.08,3.80,3.80,0.45,0.31,0.00,0.00,0.00,0.00
2017-09-21 05:20:04,45.64,0.00,1.20,0.90,0.40,0.00,0.05,0.00,0.00,51.81,6.40,2025.20,2187.80,0.00,0.00,0.00,1405.60,7765.40,0.00,5637.20,0.00,0.00,0.00,0.00,124.00,0.00,124.00,0.00,2811.20,20501864,0,10914336,34.74,79040,7435700,7967484,25.36,5150748,5297656,395456,2934204,247676,6024,12972,56976,0,0,0.00,0,0.00,3,742,2.75,3.82,3.78,0,124.00,0.00,2811.20,22.67,0.11,0.90,0.75,9.28,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-21 05:20:09,35.98,0.00,1.20,1.66,1.91,0.00,0.00,0.00,0.00,59.26,1.80,2176.40,2424.60,0.00,0.00,0.00,1731.20,2976.00,0.00,4304.40,0.00,0.00,0.00,0.00,151.40,0.00,151.40,0.00,3462.40,20451920,0,10964280,34.90,80344,7437668,7967484,25.36,5198476,5299360,395936,2979868,247820,6056,13076,56976,0,0,0.00,0,0.00,1,743,2.61,3.77,3.77,0,151.40,0.00,3462.40,22.87,0.11,0.75,0.70,10.56,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-21 05:20:14,50.68,0.00,4.26,1.56,1.96,0.00,0.15,0.00,0.00,41.39,1.20,9164.20,3331.40,0.00,0.00,0.00,23064.00,6802.40,0.00,9412.80,0.00,0.00,0.00,0.00,163.60,0.00,163.60,0.00,39267.20,20171756,0,11244444,35.79,80448,7613808,8040568,25.59,5384276,5387260,457552,3077584,252424,6104,13272,56976,0,0,0.00,0,0.00,0,749,2.64,3.76,3.76,2,164.00,0.00,39369.60,240.06,9.29,51.37,0.41,6.80,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 05:20:19,77.17,0.00,6.19,0.76,0.10,0.00,0.00,0.00,0.00,15.78,4.20,2902.20,3072.40,0.00,0.00,0.00,12397.60,4111.00,0.00,9729.00,0.00,0.00,0.00,0.00,125.80,0.00,125.80,0.00,31656.00,17414308,0,14001892,44.57,80452,7824220,11958424,38.06,8016972,5501140,605920,5614580,258716,6240,17868,56976,0,0,0.00,0,0.00,7,766,2.59,3.73,3.76,0,125.40,0.00,31553.60,251.62,5.91,54.09,0.38,4.72,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 05:20:24,89.54,0.00,8.81,0.30,0.55,0.00,0.10,0.00,0.00,0.70,2.40,2291.80,2383.40,0.00,0.00,38.40,39739.20,6300.60,0.00,7559.80,0.00,0.00,0.00,0.00,327.60,0.40,327.20,76.80,79478.40,12335856,0,19080344,60.73,80488,7892644,15495688,49.32,12996928,5574932,477352,10611052,261176,6280,28132,56976,0,0,0.00,0,0.00,5,771,2.86,3.77,3.77,0,327.60,76.80,79478.40,242.84,16.64,50.79,0.39,12.88,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
