timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 16:45:59,35.71,0.00,1.66,0.10,0.15,0.00,0.00,0.00,0.00,62.38,24.60,1589.40,1753.20,0.00,0.00,0.00,33.60,16596.40,0.00,24323.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,67.20,25854772,0,5561428,17.70,46752,3638360,4247180,13.52,2879492,2329264,280,1523592,143072,4648,7660,56976,0,0,0.00,0,0.00,2,566,1.03,2.81,3.03,0,1.00,0.00,67.20,67.20,0.00,1.60,0.80,0.08,1.00,1.00,0.11,0.07,0.00,0.00,0.00,0.00
2017-09-20 16:46:04,31.92,0.00,2.98,0.00,0.25,0.00,0.00,0.00,0.00,64.85,47.60,1869.60,1911.00,0.00,0.00,0.00,23.20,26758.00,0.00,27463.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,46.40,25762920,0,5653280,17.99,46760,3664308,4373284,13.92,2936196,2354488,31356,1580016,148612,4704,9140,56976,0,0,0.00,0,0.00,1,577,1.03,2.78,3.02,0,0.80,0.00,46.40,58.00,0.00,2.00,2.00,0.16,5.20,5.20,0.61,0.44,0.00,0.00,0.00,0.00
2017-09-20 16:46:09,32.49,0.00,4.67,0.66,0.15,0.00,0.05,0.00,0.00,61.98,42.80,3545.40,3621.00,0.00,0.00,0.00,3121.60,5579.60,0.00,3904.80,0.00,0.00,0.00,0.00,56.40,0.00,56.40,0.00,6243.20,25354692,0,6061508,19.29,46896,3819900,4373284,13.92,3157048,2506040,206888,1795996,185072,4792,9744,56976,0,0,0.00,0,0.00,0,585,0.94,2.73,3.00,1,56.40,0.00,6243.20,110.70,0.62,10.95,0.52,2.96,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 16:46:14,31.68,0.00,2.08,0.15,0.15,0.00,0.10,0.00,0.00,65.84,29.80,3305.40,3333.60,0.00,0.00,0.00,97.60,8982.20,0.00,6229.00,0.00,0.00,0.00,0.00,12.40,0.00,12.40,0.00,195.20,25030748,0,6385452,20.33,46908,3919376,4964124,15.80,3385660,2599124,311500,2018672,186228,5008,10516,56976,0,0,0.00,0,0.00,1,617,0.95,2.70,2.99,0,12.40,0.00,195.20,15.74,0.01,0.71,0.58,0.72,3.40,3.40,0.40,0.28,0.00,0.00,0.00,0.00
2017-09-20 16:46:19,28.50,0.00,1.11,0.15,0.10,0.00,0.00,0.00,0.00,70.14,36.40,2639.20,2667.20,0.00,0.00,0.00,3048.00,7009.40,0.00,4755.20,0.00,0.00,0.00,0.00,50.60,0.00,50.60,0.00,6096.00,24967900,0,6448300,20.53,46936,3914528,5190144,16.52,3450768,2594564,296912,2083408,186256,5592,10836,56976,0,0,0.00,0,0.00,1,702,0.87,2.66,2.97,0,50.60,0.00,6096.00,120.47,1.40,27.60,0.28,1.44,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-20 16:46:24,21.25,0.00,3.83,0.20,0.35,0.00,0.05,0.00,0.00,74.32,21.80,2087.20,2118.80,0.00,0.00,0.00,1727.20,10924.40,0.00,44589.00,0.00,0.00,0.00,0.00,18.20,0.00,18.20,0.00,3454.40,25555828,0,5860372,18.65,46976,3666220,5120928,16.30,3145556,2354920,62212,1789084,144296,5016,8692,56976,0,0,0.00,0,0.00,2,618,0.88,2.63,2.96,0,18.20,0.00,3454.40,189.80,0.22,12.18,0.35,0.64,3.80,3.80,0.45,0.31,0.00,0.00,0.00,0.00
2017-09-20 16:46:29,34.19,0.00,3.07,0.00,0.15,0.00,0.00,0.00,0.00,62.59,49.60,1989.60,2092.80,0.00,0.00,0.00,96.00,28248.20,0.00,44984.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,192.00,25833524,0,5582676,17.77,46988,3627180,4346460,13.84,2904300,2318916,28120,1549120,146384,4984,9300,56976,0,0,0.00,0,0.00,1,591,0.89,2.61,2.95,0,2.20,0.00,192.00,87.27,0.00,1.09,1.09,0.24,5.20,5.20,0.61,0.44,0.00,0.00,0.00,0.00
2017-09-20 16:46:34,31.93,0.00,4.97,0.91,0.15,0.00,0.00,0.00,0.00,62.04,44.20,3794.60,3557.20,0.00,0.00,0.00,3119.20,5847.40,0.00,4691.00,0.00,0.00,0.00,0.00,55.60,0.00,55.60,0.00,6238.40,25382744,0,6033456,19.20,47040,3795808,4346460,13.84,3150204,2482628,208440,1789920,185300,4912,9740,56976,0,0,0.00,0,0.00,0,599,0.82,2.56,2.94,0,55.60,0.00,6238.40,112.20,0.59,10.63,0.55,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 16:46:39,30.23,0.00,2.02,0.15,0.15,0.00,0.15,0.00,0.00,67.29,27.00,3469.20,3373.40,0.00,0.00,0.00,119.20,7407.40,0.00,5300.40,0.00,0.00,0.00,0.00,13.40,0.00,13.40,0.00,238.40,25082816,0,6333384,20.16,47052,3894648,5071864,16.14,3357056,2575356,312336,1991012,185932,5080,10408,56976,0,0,0.00,0,0.00,1,623,0.91,2.55,2.93,0,13.40,0.00,238.40,17.79,0.00,0.36,0.36,0.48,3.00,3.00,0.35,0.24,0.00,0.00,0.00,0.00
2017-09-20 16:46:44,25.68,0.00,0.91,0.00,0.05,0.00,0.05,0.00,0.00,73.31,24.80,2204.60,2333.40,0.00,0.00,0.00,156.00,5495.00,0.00,4510.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,312.00,24906068,0,6510132,20.72,47068,3889616,5251240,16.72,3535580,2570588,312016,2169516,186352,5624,11032,56976,0,0,0.00,0,0.00,1,689,0.84,2.51,2.92,0,3.60,0.00,312.00,86.67,0.00,0.22,0.22,0.08,2.40,2.40,0.28,0.19,0.00,0.00,0.00,0.00
