timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 19:59:01,42.08,0.00,4.65,0.05,0.05,0.00,0.31,0.00,0.00,52.86,28.20,4204.80,4130.80,0.00,0.00,0.00,67.20,14010.60,0.00,14434.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,134.40,28200488,0,3215712,10.24,66864,1101456,5832136,18.56,2236004,699820,260432,1767624,67896,4928,8644,57040,0,0,0.00,0,0.00,1,611,1.87,1.69,1.69,0,3.60,0.00,134.40,37.33,0.00,1.11,1.11,0.40,2.20,2.20,0.25,0.24,0.00,0.00,0.00,0.00
2017-09-23 19:59:06,46.26,0.00,2.22,0.00,0.00,0.00,0.05,0.00,0.00,51.47,15.60,2176.80,2232.40,0.00,0.00,0.00,40.80,13401.60,0.00,3828.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,81.60,27757592,0,3658608,11.65,66868,1101636,30505648,97.10,2687736,688400,260664,2207676,68468,5368,10508,57040,0,0,0.00,0,0.00,4,676,1.80,1.67,1.69,0,0.80,0.00,81.60,102.00,0.00,0.00,0.00,0.00,2.60,2.60,0.28,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:59:11,66.06,0.00,2.93,0.05,0.05,0.00,0.00,0.00,0.00,30.91,18.60,3327.60,3107.20,0.00,0.00,0.00,1017.60,9126.60,0.00,5519.20,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2035.20,26844588,0,4571612,14.55,66868,1112456,30704948,97.74,3579372,686856,266576,3105352,69804,5960,12360,57040,0,0,0.00,0,0.00,3,731,1.98,1.71,1.70,0,8.60,0.00,2035.20,236.65,0.09,9.95,0.56,0.48,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-23 19:59:16,50.66,0.00,4.23,0.00,0.00,0.00,0.00,0.00,0.00,45.11,0.00,2313.60,1809.60,0.00,0.00,0.00,30.40,559.80,0.00,21512.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,60.80,23473100,0,7943100,25.28,66872,1112484,30704948,97.74,6936356,686772,266636,6470400,69780,5928,18992,57040,0,0,0.00,0,0.00,5,726,1.98,1.72,1.70,0,0.60,0.00,60.80,101.33,0.00,2.67,1.33,0.08,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 19:59:21,49.75,0.00,5.35,0.00,0.05,0.00,0.00,0.00,0.00,44.85,0.00,2163.60,1586.80,0.00,0.00,0.00,21.60,550.40,0.00,97509.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,43.20,20296396,0,11119804,35.40,66876,1112508,30704948,97.74,10082496,686784,266620,9641092,69748,5904,24960,57040,0,0,0.00,0,0.00,2,724,1.98,1.72,1.70,0,1.60,0.00,43.20,27.00,0.00,0.50,0.50,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:59:26,51.31,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,46.61,0.40,2132.80,1591.60,0.00,0.00,0.00,36.00,241.60,0.00,68166.00,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,72.00,19485916,0,11930284,37.97,66880,1112532,30704948,97.74,10920100,686784,266568,10450032,69788,5896,27056,57040,0,0,0.00,0,0.00,3,723,1.98,1.73,1.70,0,2.60,0.00,72.00,27.69,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:59:31,64.53,0.00,2.34,0.00,0.00,0.00,0.05,0.00,0.00,33.08,3.80,2951.00,2446.80,0.00,0.00,0.00,619.20,5522.00,0.00,44838.20,0.00,0.00,0.00,0.00,16.40,0.00,16.40,0.00,1238.40,18742956,0,12673244,40.34,66880,1112596,30735920,97.83,11684268,686204,263512,11191000,69896,6032,28508,57040,0,0,0.00,0,0.00,2,740,1.98,1.73,1.70,0,16.40,0.00,1238.40,75.51,0.06,3.85,0.20,0.32,2.00,2.00,0.23,0.22,0.00,0.00,0.00,0.00
2017-09-23 19:59:36,51.97,0.00,0.56,3.69,0.05,0.00,0.00,0.00,0.00,43.72,0.00,2343.20,2259.40,0.00,0.00,0.00,51565.60,466.00,0.00,3157.40,0.00,0.00,0.00,0.00,407.80,0.00,407.80,0.00,103131.20,18776988,0,12639212,40.23,66892,1112636,30735920,97.83,11649520,686224,6288,11156256,70172,6024,28508,57040,0,0,0.00,0,0.00,3,739,1.98,1.74,1.71,0,407.80,0.00,103131.20,252.90,24.81,60.83,0.46,18.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:59:41,51.80,0.00,0.30,0.00,0.00,0.00,0.05,0.00,0.00,47.85,0.20,2402.40,1815.60,0.00,0.00,0.00,123.20,506.40,0.00,2278.20,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,246.40,18768484,0,12647716,40.26,66892,1112664,30735920,97.83,11658880,686220,6104,11165592,69940,6024,28536,57040,0,0,0.00,0,0.00,2,739,1.99,1.74,1.71,0,4.60,0.00,246.40,53.57,0.00,0.17,0.17,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:59:46,52.56,0.00,0.30,0.05,0.00,0.00,0.00,0.00,0.00,47.09,0.00,2394.20,1899.20,0.00,0.00,0.00,1124.80,176.00,0.00,1843.00,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,2249.60,18756860,0,12659340,40.30,66900,1112708,30735920,97.83,11667268,686240,784,11176000,70012,6016,28560,57040,0,0,0.00,0,0.00,2,738,1.99,1.75,1.71,0,9.80,0.00,2249.60,229.55,0.10,9.80,0.41,0.40,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
