timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 08:31:36,35.65,0.00,1.86,0.00,0.05,0.00,0.00,0.00,0.00,62.44,25.40,1653.00,1817.60,0.00,0.00,0.00,80.80,17582.40,0.00,25003.20,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,161.60,27436572,0,3979628,12.67,258232,1877132,4384736,13.96,2845372,744656,304,1458748,175396,4632,7736,57040,0,0,0.00,0,0.00,2,566,2.98,3.12,3.58,0,2.80,0.00,161.60,57.71,0.00,0.29,0.29,0.08,3.40,3.40,0.27,0.64,0.00,0.00,0.00,0.00
2017-09-24 08:31:41,36.48,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,61.71,31.60,1739.60,1910.00,0.00,0.00,0.00,35.20,20940.60,0.00,18291.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,70.40,27257112,0,4159088,13.24,258236,1877164,4561156,14.52,3027076,744664,344,1635996,175304,4872,9104,57040,0,0,0.00,0,0.00,1,598,2.82,3.09,3.56,0,1.20,0.00,70.40,58.67,0.00,0.67,0.67,0.08,10.00,10.20,0.83,2.61,0.00,0.00,0.00,0.00
2017-09-24 08:31:46,23.19,0.00,4.54,2.42,0.00,0.00,0.05,0.00,0.00,69.81,1.60,1720.40,1985.60,0.00,0.00,0.00,39248.80,1247.40,0.00,2784.80,0.00,0.00,0.00,0.00,307.80,0.00,307.80,0.00,78497.60,26997648,0,4418552,14.06,258236,2100624,4592000,14.62,3260304,769920,27888,1672396,175336,4920,9240,57040,0,0,0.00,0,0.00,2,606,2.67,3.05,3.55,0,307.80,0.00,78497.60,255.03,16.13,52.41,0.38,11.84,1.80,1.80,0.12,0.42,0.00,0.00,0.00,0.00
2017-09-24 08:31:51,38.29,0.00,6.56,0.00,0.05,0.00,0.31,0.00,0.00,54.79,12.40,4954.20,4713.40,0.00,0.00,0.00,44.00,10023.40,0.00,25787.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,88.00,26275864,0,5140336,16.36,258244,2467812,5634152,17.93,3721444,1023776,394948,2019172,180680,5120,10304,57040,0,0,0.00,0,0.00,1,628,2.46,3.00,3.53,0,2.40,0.00,88.00,36.67,0.00,0.00,0.00,0.00,3.80,3.80,0.32,0.80,0.00,0.00,0.00,0.00
2017-09-24 08:31:56,43.17,0.00,2.27,0.00,0.05,0.00,0.00,0.00,0.00,54.51,18.20,1833.20,2003.40,0.00,0.00,0.00,95.20,14475.80,0.00,5135.20,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,190.40,25780840,0,5635360,17.94,258252,2468048,7856996,25.01,4209892,1020688,395164,2510584,181592,5656,11988,57040,0,0,0.00,0,0.00,1,696,2.26,2.95,3.51,0,8.20,0.00,190.40,23.22,0.01,1.17,0.20,0.16,6.40,6.40,0.59,1.25,0.00,0.00,0.00,0.00
2017-09-24 08:32:01,45.75,0.00,6.41,2.14,0.05,0.00,0.05,0.00,0.00,45.60,8.20,9329.40,5513.40,0.00,0.00,0.00,35343.20,15392.20,0.00,20857.00,0.00,0.00,0.00,0.00,277.20,0.00,277.20,0.00,70686.40,24894160,0,6522040,20.76,258256,2820836,8187896,26.06,4917940,1196560,571636,3035696,187840,5752,12912,57040,0,0,0.00,0,0.00,5,710,2.16,2.92,3.50,0,277.20,0.00,70686.40,255.00,15.61,56.33,0.42,11.60,9.20,9.20,0.67,2.04,0.00,0.00,0.00,0.00
2017-09-24 08:32:06,89.66,0.00,3.71,0.00,0.05,0.00,0.05,0.00,0.00,6.52,2.80,2411.60,2182.40,0.00,0.00,0.00,82.40,3343.40,0.00,40225.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,164.80,23476032,0,7940168,25.27,258256,2820968,10195496,32.45,6320100,1195852,571612,4451060,188796,5880,15708,57040,0,0,0.00,0,0.00,5,721,2.23,2.92,3.49,0,1.40,0.00,164.80,117.71,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 08:32:11,93.04,0.00,2.00,0.00,0.00,0.00,0.05,0.00,0.00,4.90,0.00,4114.80,1737.40,0.00,0.00,0.00,19.20,692.60,0.00,27802.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,38.40,22214256,0,9201944,29.29,258260,2820996,12123976,38.59,7593500,1195860,571604,5710316,188980,5872,18576,57040,0,0,0.00,0,0.00,4,720,2.69,3.01,3.52,0,1.40,0.00,38.40,27.43,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 08:32:16,95.10,0.00,4.65,0.00,0.00,0.00,0.05,0.00,0.00,0.20,0.00,3268.40,1813.40,0.00,0.00,0.00,29.60,1110.40,0.00,71816.60,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,59.20,20892440,0,10523760,33.50,258264,2821016,12867948,40.96,8908324,1195832,571576,7028988,188756,5848,21156,57040,0,0,0.00,0,0.00,9,717,3.04,3.07,3.54,0,1.80,0.00,59.20,32.89,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-24 08:32:21,96.20,0.00,1.00,0.00,0.00,0.00,0.05,0.00,0.00,2.75,0.00,4734.40,1907.40,0.00,0.00,0.00,39563.20,247.40,0.00,161.80,0.00,0.00,0.00,0.00,310.40,0.00,310.40,0.00,79126.40,20554236,0,10861964,34.57,258268,2821044,13673692,43.52,9235900,1195848,373912,7366808,188860,5848,21416,57040,0,0,0.00,0,0.00,4,717,3.43,3.16,3.56,0,310.40,0.00,79126.40,254.92,17.13,55.20,0.41,12.64,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 08:32:26,95.85,0.00,3.95,0.00,0.00,0.00,0.05,0.00,0.00,0.15,0.00,1855.00,2055.80,0.00,0.00,0.00,39468.80,1457.20,0.00,62338.40,0.00,0.00,0.00,0.00,344.00,0.00,344.00,0.00,78937.60,19203796,0,12212404,38.87,258276,2821064,14407640,45.86,10541736,1195860,176684,8715600,188752,5848,23912,57040,0,0,0.00,0,0.00,8,717,3.80,3.24,3.58,0,344.00,0.00,78937.60,229.47,18.33,53.27,0.38,13.12,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 08:32:31,99.30,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5718.60,1496.20,0.00,0.00,0.00,25.60,160.20,0.00,6596.60,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,51.20,18875692,0,12540508,39.92,258276,2821100,14935616,47.54,10926472,1195880,176748,9043204,188748,5848,25016,57040,0,0,0.00,0,0.00,9,717,4.14,3.32,3.61,0,3.80,0.00,51.20,13.47,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 08:32:36,90.69,0.00,1.20,0.05,0.00,0.00,0.10,0.00,0.00,7.96,0.00,1326.60,1753.40,0.00,0.00,0.00,35281.60,671.60,0.00,14212.60,0.00,0.00,0.00,0.00,276.40,0.00,276.40,0.00,70563.20,18549984,0,12866216,40.95,258280,2821124,16103204,51.26,11227160,1195888,472,9368216,188704,5848,25156,57040,0,0,0.00,0,0.00,9,717,4.45,3.39,3.63,0,276.40,0.00,70563.20,255.29,17.60,63.69,0.47,13.12,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 08:32:41,98.80,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.40,1177.80,1506.80,0.00,0.00,0.00,48.80,145.00,0.00,24703.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,97.60,18130396,0,13285804,42.29,258280,2821152,15933232,50.72,11669872,1195880,336,9786368,188648,5840,26528,57040,0,0,0.00,0,0.00,5,715,4.41,3.40,3.63,0,1.20,0.00,97.60,81.33,0.00,0.67,0.67,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 08:32:46,99.85,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,981.40,1435.40,0.00,0.00,0.00,27.20,13.20,0.00,33.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,54.40,18130500,0,13285700,42.29,258284,2821180,15933232,50.72,11669808,1195896,380,9786236,188628,5824,26528,57040,0,0,0.00,0,0.00,5,714,4.46,3.43,3.64,0,1.20,0.00,54.40,45.33,0.00,0.67,0.67,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 08:32:51,99.65,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1066.20,1459.80,0.00,0.00,0.00,8.80,37.80,0.00,46.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,17.60,18126620,0,13289580,42.30,258284,2825684,15933232,50.72,11669868,1199556,4888,9786080,188596,5800,26528,57040,0,0,0.00,0,0.00,5,711,4.42,3.44,3.64,0,0.60,0.00,17.60,29.33,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 08:32:56,98.45,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,1038.60,1483.40,0.00,0.00,0.00,21.60,19.00,0.00,46.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,43.20,17986036,0,13430164,42.75,258284,2963752,15933232,50.72,11687312,1320040,142968,9786228,191776,5768,26528,57040,0,0,0.00,0,0.00,5,707,4.39,3.45,3.65,0,1.40,0.00,43.20,30.86,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 08:33:01,97.60,0.00,2.00,0.00,0.00,0.00,0.15,0.00,0.00,0.25,2.00,1905.80,1828.80,0.00,0.00,0.00,66.40,810.60,0.00,31062.80,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,132.80,17505644,0,13910556,44.28,258288,3004296,16367752,52.10,12101800,1355664,183308,10221336,193472,5840,27048,57040,0,0,0.00,0,0.00,6,715,4.36,3.46,3.65,0,5.60,0.00,132.80,23.71,0.00,0.29,0.14,0.08,3.20,3.20,0.28,0.60,0.00,0.00,0.00,0.00
2017-09-24 08:33:06,95.70,0.00,4.05,0.00,0.00,0.00,0.10,0.00,0.00,0.15,0.40,2045.20,1860.00,0.00,0.00,0.00,19.20,880.20,0.00,86485.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,38.40,15996368,0,15419832,49.08,258296,3004320,17563976,55.91,13629640,1355680,183416,11726796,193468,5832,29972,57040,0,0,0.00,0,0.00,6,715,4.33,3.47,3.65,0,0.80,0.00,38.40,48.00,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 08:33:11,97.95,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,4151.00,1511.00,0.00,0.00,0.00,19.20,2890.80,0.00,27689.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,38.40,15310460,0,16105740,51.27,258308,3004352,18027004,57.38,14314236,1355692,183492,12413424,193420,5832,31680,57040,0,0,0.00,0,0.00,9,715,4.62,3.54,3.67,0,1.00,0.00,38.40,38.40,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 08:33:16,95.30,0.00,0.90,0.05,0.00,0.00,0.10,0.00,0.00,3.65,0.00,1767.80,1707.40,0.00,0.00,0.00,48.80,192.00,0.00,11502.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,97.60,15172400,0,16243800,51.71,258308,3004376,18018472,57.35,14443084,1355704,183364,12550436,193500,5808,31908,57040,0,0,0.00,0,0.00,4,712,4.65,3.57,3.68,0,1.20,0.00,97.60,81.33,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 08:33:21,98.30,0.00,1.45,0.00,0.00,0.00,0.10,0.00,0.00,0.15,0.00,1252.00,1615.00,0.00,0.00,0.00,9245.60,101.00,0.00,14889.40,0.00,0.00,0.00,0.00,73.00,0.00,73.00,0.00,18491.20,14881504,0,16534696,52.63,258312,3004404,18018472,57.35,14747544,1355708,137268,12840548,193276,5808,32524,57040,0,0,0.00,0,0.00,5,712,4.60,3.57,3.68,0,73.00,0.00,18491.20,253.30,3.05,41.78,0.41,2.96,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 08:33:26,99.90,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1009.40,1668.20,0.00,0.00,0.00,27460.00,16.40,0.00,216.20,0.00,0.00,0.00,0.00,222.20,0.00,222.20,0.00,54920.00,14884664,0,16531536,52.62,258316,3004428,18018472,57.35,14744228,1355720,136,12837200,193264,5768,32524,57040,0,0,0.00,0,0.00,5,707,4.55,3.58,3.68,0,222.20,0.00,54920.00,247.16,11.20,50.43,0.39,8.72,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 08:33:31,99.90,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,955.80,1401.40,0.00,0.00,0.00,17.60,16.80,0.00,29.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,14884648,0,16531552,52.62,258320,3004452,18018472,57.35,14744232,1355716,264,12837232,193280,5768,32524,57040,0,0,0.00,0,0.00,5,707,4.51,3.59,3.68,0,0.40,0.00,35.20,88.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 08:33:36,99.10,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,972.00,1405.00,0.00,0.00,0.00,12.80,58.60,0.00,3424.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,14717912,0,16698288,53.15,258320,3070064,18270728,58.16,14855656,1409844,65904,12938176,194400,5768,32720,57040,0,0,0.00,0,0.00,4,707,4.47,3.59,3.69,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,2.80,2.80,0.22,0.24,0.00,0.00,0.00,0.00
2017-09-24 08:33:41,88.49,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,10.31,0.00,1089.80,1411.40,0.00,0.00,0.00,6.40,243.00,0.00,6576.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,14477984,0,16938216,53.92,258328,3185796,18270728,58.16,14997140,1505968,181648,13059556,197472,5768,32952,57040,0,0,0.00,0,0.00,1,707,4.43,3.60,3.69,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,2.00,2.00,0.21,0.28,0.00,0.00,0.00,0.00
2017-09-24 08:33:46,94.40,0.00,1.50,0.00,0.00,0.00,0.10,0.00,0.00,4.00,0.40,1473.20,1702.40,0.00,0.00,0.00,26.40,976.40,0.00,987.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,52.80,14360648,0,17055552,54.29,258332,3188824,18362132,58.45,15170352,1442916,184748,13172328,197800,5784,33148,57040,0,0,0.00,0,0.00,6,709,4.40,3.61,3.69,0,0.40,0.00,52.80,132.00,0.00,2.00,2.00,0.08,3.80,4.00,0.32,1.10,0.00,0.00,0.00,0.00
2017-09-24 08:33:51,97.75,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,1190.80,1475.60,0.00,0.00,0.00,0.00,213.60,0.00,47225.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13437020,0,17979180,57.23,258332,3188856,18362132,58.45,16110700,1430556,184784,14094108,197792,5784,34976,57040,0,0,0.00,0,0.00,7,709,4.52,3.65,3.70,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 08:33:56,95.30,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00,1313.40,1451.40,0.00,0.00,0.00,63.20,108.80,0.00,1668.60,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,126.40,13401628,0,18014572,57.34,258332,3253116,18629736,59.30,16092204,1483812,248804,14065036,199076,5784,34916,57040,0,0,0.00,0,0.00,7,709,4.64,3.69,3.71,0,8.20,0.00,126.40,15.41,0.01,0.78,0.10,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 08:34:01,96.64,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,1355.80,1624.20,0.00,0.00,0.00,68.80,7978.20,0.00,27092.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,137.60,13675860,0,17740340,56.47,258332,3326752,18228648,58.02,15764604,1534636,322460,13714340,201008,5768,34240,57040,0,0,0.00,0,0.00,5,707,4.75,3.72,3.73,0,1.20,0.00,137.60,114.67,0.00,1.33,0.67,0.08,2.40,2.40,0.23,0.39,0.00,0.00,0.00,0.00
2017-09-24 08:34:06,98.05,0.00,1.70,0.00,0.00,0.00,0.05,0.00,0.00,0.20,0.40,1257.60,1812.20,0.00,0.00,0.00,36888.00,4507.40,0.00,4344.40,0.00,0.00,0.00,0.00,288.80,0.00,288.80,0.00,73776.00,13613604,0,17802596,56.67,258336,3355488,18228648,58.02,15818624,1540760,167036,13745564,202160,5776,34300,57040,0,0,0.00,0,0.00,4,708,4.69,3.73,3.73,0,288.80,0.00,73776.00,255.46,15.59,53.99,0.40,11.44,2.20,2.20,0.20,0.43,0.00,0.00,0.00,0.00
2017-09-24 08:34:11,98.95,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,1036.00,1451.00,0.00,0.00,0.00,41.60,18.40,0.00,1824.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,83.20,13585656,0,17830544,56.76,258336,3419472,18228648,58.02,15815404,1572148,231040,13709764,203328,5776,34236,57040,0,0,0.00,0,0.00,7,708,4.64,3.73,3.73,0,1.80,0.00,83.20,46.22,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-24 08:34:16,60.38,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,38.26,0.00,1009.80,1155.00,0.00,0.00,0.00,35.20,4736.80,0.00,6408.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,70.40,13518544,0,17897656,56.97,258336,3516852,18228648,58.02,15785264,1666380,328492,13677120,205976,5768,34184,57040,0,0,0.00,0,0.00,2,707,4.58,3.74,3.73,0,1.40,0.00,70.40,50.29,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.19,0.00,0.00,0.00,0.00
2017-09-24 08:34:21,95.75,0.00,1.55,0.00,0.00,0.00,0.05,0.00,0.00,2.65,0.00,1406.80,1604.20,0.00,0.00,0.00,36.00,4623.80,0.00,4551.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,72.00,13445372,0,17970828,57.20,258336,3522152,18264384,58.14,15905264,1601816,333860,13742952,206420,5768,34296,57040,0,0,0.00,0,0.00,5,707,4.78,3.79,3.75,0,0.60,0.00,72.00,120.00,0.00,2.67,1.33,0.08,5.20,5.20,0.40,2.23,0.00,0.00,0.00,0.00
