timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 04:19:38,41.36,0.00,4.15,0.05,0.10,0.00,0.21,0.00,0.00,54.13,25.80,4084.40,3965.60,0.00,0.00,0.00,74.40,12702.40,0.00,14266.20,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,148.80,28093200,0,3323000,10.58,104880,1291744,4922748,15.67,2313580,713736,260156,1630680,84140,4880,8440,57040,0,0,0.00,0,0.00,2,602,2.13,1.98,2.24,0,3.60,0.00,148.80,41.33,0.01,2.00,1.56,0.56,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-24 04:19:43,43.20,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,54.53,18.80,2183.00,2222.20,0.00,0.00,0.00,48.00,15027.60,0.00,4322.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,96.00,27636004,0,3780196,12.03,104892,1292240,30433680,96.87,2778692,702380,260740,2083936,84412,5392,10176,57040,0,0,0.00,0,0.00,3,680,2.20,2.00,2.24,0,0.80,0.00,96.00,120.00,0.00,2.00,1.00,0.08,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-24 04:19:48,72.12,0.00,2.84,0.00,0.00,0.00,0.05,0.00,0.00,24.99,17.60,3388.40,2985.00,0.00,0.00,0.00,1018.40,8416.20,0.00,3940.20,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2036.80,26822004,0,4594196,14.62,104896,1303068,30585712,97.36,3591712,700852,266652,2885092,85128,5952,12088,57040,0,0,0.00,0,0.00,2,730,2.43,2.05,2.26,0,8.60,0.00,2036.80,236.84,0.05,5.95,0.47,0.40,2.00,2.00,0.23,0.22,0.00,0.00,0.00,0.00
2017-09-24 04:19:53,54.34,0.00,4.65,0.05,0.05,0.00,0.00,0.00,0.00,40.91,0.40,2465.80,2115.40,0.00,0.00,0.00,123.20,669.20,0.00,9489.60,0.00,0.00,0.00,0.00,11.60,0.00,11.60,0.00,246.40,23157584,0,8258616,26.29,104900,1348916,30585712,97.36,7198720,738856,312224,6496516,85148,5936,18916,57040,0,0,0.00,0,0.00,3,727,2.63,2.10,2.27,0,11.60,0.00,246.40,21.24,0.02,2.14,0.14,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:19:58,50.63,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,47.34,0.00,2122.40,1524.00,0.00,0.00,0.00,15.20,162.40,0.00,37.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,30.40,21700044,0,9716156,30.93,104908,1440236,30585712,97.36,8589944,815128,403528,7860544,85112,5912,22056,57040,0,0,0.00,0,0.00,2,725,2.58,2.10,2.27,0,1.20,0.00,30.40,25.33,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 04:20:03,42.97,0.00,2.94,0.00,0.05,0.00,0.00,0.00,0.00,54.05,0.40,2469.40,2012.80,0.00,0.00,0.00,38.40,10525.00,0.00,30325.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,76.80,21298260,0,10117940,32.21,104908,1472080,30701544,97.73,8954176,845652,435352,8226992,85704,5920,22784,57040,0,0,0.00,0,0.00,1,726,2.54,2.10,2.27,0,2.00,0.00,76.80,38.40,0.00,0.00,0.00,0.00,1.80,1.60,0.16,0.18,0.00,0.00,0.00,0.00
2017-09-24 04:20:08,26.44,0.00,0.56,1.37,0.00,0.00,0.00,0.00,0.00,71.63,0.00,2193.40,1785.00,0.00,0.00,0.00,26073.60,37.40,0.00,1879.60,0.00,0.00,0.00,0.00,205.80,0.00,205.80,0.00,52147.20,21197396,0,10218804,32.53,104912,1472104,30648800,97.56,9071440,832984,305152,8327416,85736,5920,23052,57040,0,0,0.00,0,0.00,1,726,2.41,2.08,2.26,0,205.80,0.00,52147.20,253.39,10.34,50.25,0.38,7.76,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-24 04:20:13,25.93,0.00,0.41,5.24,0.05,0.00,0.00,0.00,0.00,68.38,0.00,2174.40,2015.60,0.00,0.00,0.00,61012.80,17.20,0.00,29.80,0.00,0.00,0.00,0.00,491.80,0.00,491.80,0.00,122025.60,21197584,0,10218616,32.53,104916,1472132,30648800,97.56,9071188,832952,128,8327140,85768,5912,22976,57040,0,0,0.00,0,0.00,1,725,2.30,2.06,2.25,0,491.80,0.00,122025.60,248.12,33.99,69.12,0.52,25.60,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:20:18,50.33,0.00,1.42,0.00,0.00,0.00,0.00,0.00,0.00,48.25,0.40,2355.40,1835.20,0.00,0.00,0.00,28.00,3585.20,0.00,17711.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,56.00,21010872,0,10405328,33.12,104924,1472160,30785716,97.99,9271600,792952,336,8512060,85944,5928,23340,57040,0,0,0.00,0,0.00,2,727,2.20,2.04,2.25,0,0.60,0.00,56.00,93.33,0.00,2.67,1.33,0.08,1.80,1.80,0.19,0.20,0.00,0.00,0.00,0.00
2017-09-24 04:20:23,53.77,0.00,1.67,0.05,0.00,0.00,0.00,0.00,0.00,44.51,0.40,2183.20,1561.40,0.00,0.00,0.00,16.00,169.00,0.00,23154.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,32.00,20694356,0,10721844,34.13,104928,1472184,30785716,97.99,9641056,748456,428,8828844,85936,5936,24052,57040,0,0,0.00,0,0.00,4,727,2.18,2.04,2.25,0,0.40,0.00,32.00,80.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
