timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 00:29:43,45.21,0.00,3.81,0.05,0.05,0.00,0.10,0.00,0.00,50.79,20.00,3189.80,3062.80,0.00,0.00,0.00,95.20,16420.20,0.00,17544.60,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,190.40,28362668,0,3053532,9.72,88804,941852,4943724,15.74,2286576,482420,131544,1738804,72580,4872,8580,57040,0,0,0.00,0,0.00,0,591,1.77,1.50,1.60,0,4.80,0.00,190.40,39.67,0.00,0.50,0.50,0.24,1.80,1.80,0.21,0.21,0.00,0.00,0.00,0.00
2017-09-24 00:29:48,40.48,0.00,2.89,0.00,0.05,0.00,0.15,0.00,0.00,56.43,20.60,2931.60,3070.00,0.00,0.00,0.00,102.40,12187.60,0.00,4266.80,0.00,0.00,0.00,0.00,10.40,0.00,10.40,0.00,204.80,27898872,0,3517328,11.20,88820,1070836,18145416,57.76,2628800,600156,260208,2071548,72960,5216,9880,57040,0,0,0.00,0,0.00,1,660,1.70,1.50,1.59,0,10.40,0.00,204.80,19.69,0.02,1.77,0.08,0.08,2.40,2.40,0.27,0.19,0.00,0.00,0.00,0.00
2017-09-24 00:29:53,69.17,0.00,3.61,0.00,0.00,0.00,0.05,0.00,0.00,27.17,22.80,3312.40,3152.60,0.00,0.00,0.00,1023.20,13131.00,0.00,6286.40,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2046.40,27075912,0,4340288,13.82,88852,1081448,30599404,97.40,3450008,598868,266064,2878464,74436,5880,11860,57040,0,0,0.00,0,0.00,8,731,1.89,1.54,1.61,0,8.60,0.00,2046.40,237.95,0.09,10.23,0.47,0.40,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-24 00:29:58,49.39,0.00,4.00,0.00,0.05,0.00,0.00,0.00,0.00,46.56,0.00,2286.80,1919.80,0.00,0.00,0.00,30.40,412.80,0.00,2045.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,60.80,23530040,0,7886160,25.10,88852,1081780,30599404,97.40,6938088,598380,266424,6417056,74584,5928,18480,57040,0,0,0.00,0,0.00,4,725,1.90,1.55,1.61,0,0.60,0.00,60.80,101.33,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 00:30:03,50.08,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,47.90,0.00,2176.40,1622.80,0.00,0.00,0.00,3.20,209.20,0.00,2425.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,21707744,0,9708456,30.90,88856,1081804,30599404,97.40,8770672,598392,266448,8235268,74544,5904,22748,57040,0,0,0.00,0,0.00,2,722,1.91,1.55,1.61,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 00:30:08,51.82,0.00,0.30,0.05,0.00,0.00,0.00,0.00,0.00,47.83,0.00,2133.80,1621.00,0.00,0.00,0.00,28.00,61.40,0.00,33.00,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,56.00,21541384,0,9874816,31.43,88856,1081832,30599404,97.40,8953268,598392,266476,8401452,74544,5880,23072,57040,0,0,0.00,0,0.00,3,721,1.91,1.56,1.61,0,2.80,0.00,56.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:30:13,51.75,0.00,0.30,1.67,0.05,0.00,0.00,0.00,0.00,46.22,0.00,2148.00,1785.80,0.00,0.00,0.00,26287.20,31.60,0.00,52.60,0.00,0.00,0.00,0.00,207.60,0.00,207.60,0.00,52574.40,21541268,0,9874932,31.43,88860,1081852,30599404,97.40,8953388,598400,135588,8401604,74552,5872,23072,57040,0,0,0.00,0,0.00,3,719,1.92,1.57,1.62,0,207.60,0.00,52574.40,253.25,12.38,59.62,0.44,9.20,2.00,2.00,0.23,0.22,0.00,0.00,0.00,0.00
2017-09-24 00:30:18,51.75,0.00,0.20,1.22,0.00,0.00,0.00,0.00,0.00,46.84,0.00,2168.00,1691.40,0.00,0.00,0.00,18940.80,21.60,0.00,39.40,0.00,0.00,0.00,0.00,124.20,0.00,124.20,0.00,30201.60,21540444,0,9875756,31.44,88864,1081884,30599404,97.40,8973888,598412,39520,8401600,74784,5864,23072,57040,0,0,0.00,0,0.00,2,719,1.93,1.57,1.62,1,124.40,0.00,30252.80,243.19,7.50,53.43,0.43,5.36,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:30:23,51.77,0.00,0.10,0.61,0.00,0.00,0.00,0.00,0.00,47.52,0.00,2137.40,1624.00,0.00,0.00,0.00,6873.60,20.80,0.00,39.00,0.00,0.00,0.00,0.00,85.80,0.00,85.80,0.00,21427.20,21540732,0,9875468,31.43,88864,1081904,30599404,97.40,8974024,598420,6304,8401744,74636,5864,23072,57040,0,0,0.00,0,0.00,2,719,1.93,1.58,1.62,0,85.60,0.00,21376.00,249.72,3.66,52.66,0.44,3.76,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 00:30:28,51.59,0.00,0.35,0.00,0.05,0.00,0.00,0.00,0.00,48.00,0.00,2155.80,1551.20,0.00,0.00,0.00,1228.80,29.60,0.00,1964.60,0.00,0.00,0.00,0.00,20.80,0.00,20.80,0.00,2457.60,21488980,0,9927220,31.60,88868,1081928,30599404,97.40,9003100,598432,292,8453344,74636,5856,23124,57040,0,0,0.00,0,0.00,2,718,1.94,1.59,1.62,0,20.80,0.00,2457.60,118.15,0.17,8.00,0.23,0.48,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 00:30:33,51.04,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,48.46,0.40,2133.60,1521.80,0.00,0.00,0.00,12.80,50.40,0.00,37.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,21181168,0,10235032,32.58,88872,1081956,30599404,97.40,9314436,598452,368,8760488,74628,5848,23504,57040,0,0,0.00,0,0.00,2,718,1.94,1.60,1.62,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:30:38,50.46,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,48.03,0.00,2108.20,1542.80,0.00,0.00,0.00,4.80,156.80,0.00,1882.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,19818724,0,11597476,36.92,88880,1081980,30599404,97.40,10660112,598468,400,10120488,74604,5848,26432,57040,0,0,0.00,0,0.00,2,716,1.95,1.60,1.62,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:30:43,51.34,0.00,0.10,0.05,0.00,0.00,0.00,0.00,0.00,48.51,0.00,2126.80,1546.80,0.00,0.00,0.00,4.00,15.20,0.00,253.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,19804404,0,11611796,36.96,88884,1082004,30599404,97.40,10688680,598480,428,10134704,74572,5832,26432,57040,0,0,0.00,0,0.00,2,713,1.95,1.61,1.63,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,2.20,2.20,0.24,0.23,0.00,0.00,0.00,0.00
2017-09-24 00:30:48,51.19,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.71,0.00,2146.60,1649.20,0.00,0.00,0.00,64.00,19.80,0.00,48.40,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,128.00,19802380,0,11613820,36.97,88888,1082032,30599404,97.40,10708876,598484,260,10136440,74584,5792,26464,57040,0,0,0.00,0,0.00,3,709,1.95,1.62,1.63,0,2.40,0.00,128.00,53.33,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:30:53,51.34,0.00,0.10,0.00,0.05,0.00,0.00,0.00,0.00,48.51,0.00,2184.00,1479.40,0.00,0.00,0.00,12.00,14.00,0.00,38.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,24.00,19802332,0,11613868,36.97,88892,1082052,30599404,97.40,10708728,598496,268,10136276,74648,5776,26464,57040,0,0,0.00,0,0.00,2,706,1.96,1.62,1.63,0,0.80,0.00,24.00,30.00,0.00,1.00,1.00,0.08,1.40,1.20,0.14,0.09,0.00,0.00,0.00,0.00
2017-09-24 00:30:58,51.34,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.56,0.00,2116.20,1512.00,0.00,0.00,0.00,23.20,14.60,0.00,106.20,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,46.40,19803804,0,11612396,36.96,88892,1082076,30599404,97.40,10707076,598504,180,10134612,74680,5760,26464,57040,0,0,0.00,0,0.00,2,706,1.96,1.63,1.63,0,2.80,0.00,46.40,16.57,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 00:31:03,51.52,0.00,0.15,0.00,0.05,0.00,0.00,0.00,0.00,48.28,0.00,2146.20,1515.40,0.00,0.00,0.00,6.40,14.20,0.00,338.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,19799812,0,11616388,36.98,88896,1082104,30599404,97.40,10711204,598516,244,10138720,74576,5760,26472,57040,0,0,0.00,0,0.00,2,706,1.96,1.63,1.63,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 00:31:08,51.47,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,48.48,0.00,2107.20,1501.80,0.00,0.00,0.00,54.40,22.00,0.00,28.20,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,108.80,19799804,0,11616396,36.98,88900,1082128,30599404,97.40,10711244,598528,136,10138748,74584,5760,26472,57040,0,0,0.00,0,0.00,2,706,1.97,1.64,1.64,0,3.60,0.00,108.80,30.22,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:31:13,51.06,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,48.74,0.00,2107.40,1496.00,0.00,0.00,0.00,8.00,13.60,0.00,33.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,16.00,19799796,0,11616404,36.98,88904,1082156,30599404,97.40,10711208,598540,208,10138692,74604,5752,26472,57040,0,0,0.00,0,0.00,2,705,1.97,1.65,1.64,0,0.40,0.00,16.00,40.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
