timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 20:44:34,36.39,0.00,1.80,0.05,0.10,0.00,0.00,0.00,0.00,61.65,24.60,1603.20,1845.80,0.00,0.00,0.00,76.00,16622.00,0.00,24067.20,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,152.00,24258880,0,7157320,22.78,59208,5188916,4129424,13.14,3662356,3086336,284,1506960,191640,4704,7804,56976,0,0,0.00,0,0.00,2,574,0.91,2.09,2.49,0,5.80,0.00,152.00,26.21,0.00,0.14,0.14,0.08,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-20 20:44:39,35.81,0.00,1.90,0.00,1.00,0.00,0.00,0.00,0.00,61.29,31.20,1676.00,1888.80,0.00,0.00,0.00,12.80,20850.00,0.00,18888.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,24091888,0,7324312,23.31,59208,5188956,4365840,13.90,3833852,3086360,332,1671924,191600,4944,8980,56976,0,0,0.00,0,0.00,1,606,0.91,2.07,2.48,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,3.60,3.60,0.40,0.30,0.00,0.00,0.00,0.00
2017-09-20 20:44:44,24.76,0.00,6.70,2.59,0.15,0.00,0.20,0.00,0.00,65.60,1.80,4266.80,3871.40,0.00,0.00,0.00,39246.40,843.60,0.00,11078.60,0.00,0.00,0.00,0.00,307.80,0.00,307.80,0.00,78492.80,23563360,0,7852840,25.00,59220,5573776,4428040,14.09,4184448,3263568,189156,1816360,191532,5000,9100,56976,0,0,0.00,0,0.00,5,612,0.92,2.05,2.48,0,307.80,0.00,78492.80,255.01,16.84,54.72,0.40,12.40,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-20 20:44:49,36.20,0.00,3.59,0.00,0.35,0.00,0.10,0.00,0.00,59.76,15.40,3222.00,3438.80,0.00,0.00,0.00,43.20,10648.00,0.00,15318.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,86.40,23052164,0,8364036,26.62,59288,5779616,5438728,17.31,4588472,3363500,394948,2113160,198156,5312,10328,56976,0,0,0.00,0,0.00,0,652,1.01,2.05,2.47,0,2.20,0.00,86.40,39.27,0.05,21.82,21.09,4.64,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-20 20:44:54,46.09,0.00,1.97,0.00,0.25,0.00,0.00,0.00,0.00,51.69,17.40,1772.20,1865.20,0.00,0.00,0.00,51.20,14449.80,0.00,5146.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,102.40,22512424,0,8903776,28.34,59336,5779856,7632416,24.29,5125840,3362376,395332,2649132,199120,5848,12260,56976,0,0,0.00,0,0.00,2,720,1.09,2.05,2.47,0,0.80,0.00,102.40,128.00,0.00,0.00,0.00,0.00,2.60,2.60,0.31,0.22,0.00,0.00,0.00,0.00
2017-09-20 20:44:59,57.23,0.00,6.09,2.18,0.15,0.00,0.20,0.00,0.00,34.15,10.40,10549.00,5117.40,0.00,0.00,0.00,35331.20,11691.60,0.00,15913.40,0.00,0.00,0.00,0.00,276.80,0.00,276.80,0.00,70662.40,21514584,0,9901616,31.52,59432,6132712,8251056,26.26,5935552,3537568,571760,3281016,209228,6056,13520,56976,0,0,0.00,0,0.00,9,745,1.40,2.10,2.49,0,276.80,0.00,70662.40,255.28,14.97,54.08,0.40,11.12,1.60,1.60,0.18,0.13,0.00,0.00,0.00,0.00
2017-09-20 20:45:04,86.65,0.00,3.21,0.00,0.00,0.00,0.20,0.00,0.00,9.93,0.80,3158.00,2516.00,0.00,0.00,0.00,100.80,3709.20,0.00,42050.80,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,201.60,20140616,0,11275584,35.89,59452,6132784,9968724,31.73,7307656,3537532,571708,4653032,209236,6080,16288,56976,0,0,0.00,0,0.00,5,746,2.09,2.23,2.53,0,3.20,0.00,201.60,63.00,0.04,11.50,5.75,1.84,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 20:45:09,87.70,0.00,3.73,0.00,0.00,0.00,0.00,0.00,0.00,8.57,0.40,2399.80,2001.20,0.00,0.00,0.00,134.40,8035.00,0.00,24132.40,0.00,0.00,0.00,0.00,12.20,0.00,12.20,0.00,268.80,19430536,0,11985664,38.15,59844,6256324,10588848,33.71,7929436,3619328,694676,5232500,212316,6056,17416,56976,0,0,0.00,0,0.00,3,743,2.40,2.29,2.54,0,12.20,0.00,268.80,22.03,0.10,8.46,0.26,0.32,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 20:45:14,83.79,0.00,3.46,0.00,0.00,0.00,0.00,0.00,0.00,12.74,0.40,1864.60,1748.20,0.00,0.00,0.00,109.60,5417.40,0.00,36378.20,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,219.20,18248956,0,13167244,41.91,59956,6349572,11675212,37.16,9057172,3662016,788396,6315900,215240,6056,19532,56976,0,0,0.00,0,0.00,6,742,2.53,2.32,2.55,0,1.80,0.00,219.20,121.78,0.03,18.22,16.44,2.96,1.80,1.80,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-20 20:45:19,90.62,0.00,1.81,1.06,0.05,0.00,0.10,0.00,0.00,6.35,2.40,2641.40,2404.00,0.00,0.00,0.00,12748.80,1040.60,0.00,6829.20,0.00,0.00,0.00,0.00,77.00,0.00,77.00,0.00,19028.80,17799936,0,13616264,43.34,60088,6354100,12075048,38.44,9529548,3644792,729752,6760200,215404,6144,20404,56976,0,0,0.00,0,0.00,1,754,2.89,2.40,2.58,1,77.00,0.00,19028.80,247.13,69.70,351.85,6.41,49.36,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
