timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 19:51:52,36.83,0.00,1.46,0.05,0.15,0.00,0.00,0.00,0.00,61.51,24.60,1577.60,1829.80,0.00,0.00,0.00,32.00,16533.00,0.00,24301.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,27686660,0,3729540,11.87,54588,1897980,4231316,13.47,2182744,1243108,204,1477500,88816,4392,7628,56976,0,0,0.00,0,0.00,2,548,1.23,2.46,2.55,0,1.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-20 19:51:57,36.49,0.00,1.91,0.00,1.16,0.00,0.00,0.00,0.00,60.44,31.20,1669.60,1754.80,0.00,0.00,0.00,12.80,20623.60,0.00,18106.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,27514660,0,3901540,12.42,54588,1898060,4404724,14.02,2356104,1243156,332,1648784,89084,4736,8808,56976,0,0,0.00,0,0.00,2,580,1.37,2.46,2.55,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-20 19:52:02,23.87,0.00,6.41,2.85,0.15,0.00,0.15,0.00,0.00,66.56,1.80,4042.40,3891.60,0.00,0.00,0.00,39259.20,790.40,0.00,10622.60,0.00,0.00,0.00,0.00,309.60,0.00,309.60,0.00,78518.40,27023292,0,4392908,13.98,54596,2244296,4496212,14.31,2702264,1384588,150540,1788920,92268,4800,8900,56976,0,0,0.00,0,0.00,4,586,1.34,2.44,2.54,0,309.60,0.00,78518.40,253.61,19.16,61.88,0.45,14.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 19:52:07,34.11,0.00,4.55,0.10,0.51,0.00,0.20,0.00,0.00,60.53,15.00,3663.60,3727.00,0.00,0.00,0.00,59.20,9724.40,0.00,17215.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,118.40,26480396,0,4935804,15.71,54604,2488716,5509960,17.54,3101684,1520760,394972,2079140,100020,5048,10016,56976,0,0,0.00,0,0.00,1,624,1.40,2.43,2.54,0,2.40,0.00,118.40,49.33,0.01,3.00,3.00,0.72,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-20 19:52:12,40.42,0.00,1.92,0.00,0.35,0.00,0.00,0.00,0.00,57.31,16.40,1771.80,1941.80,0.00,0.00,0.00,122.40,13782.40,0.00,5398.80,0.00,0.00,0.00,0.00,11.40,0.00,11.40,0.00,244.80,25981088,0,5435112,17.30,54612,2488952,7682868,24.46,3598344,1519132,394956,2573960,100968,5608,11944,56976,0,0,0.00,0,0.00,3,687,1.36,2.41,2.53,0,11.40,0.00,244.80,21.47,0.02,1.89,0.07,0.08,3.20,3.20,0.37,0.26,0.00,0.00,0.00,0.00
2017-09-20 19:52:17,38.08,0.00,3.37,1.12,0.61,0.00,0.15,0.00,0.00,56.66,7.20,5028.40,5194.40,0.00,0.00,0.00,17691.20,7051.20,0.00,10681.80,0.00,0.00,0.00,0.00,138.80,0.00,138.80,0.00,35382.40,25434840,0,5981360,19.04,54620,2665444,7949360,25.30,4033432,1606232,483320,2938084,105628,5696,12776,56976,0,0,0.00,0,0.00,1,698,1.34,2.39,2.52,0,138.80,0.00,35382.40,254.92,7.69,55.42,0.44,6.16,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-20 19:52:22,70.22,0.00,7.08,0.30,1.47,0.00,0.96,0.00,0.00,19.97,4.59,11089.22,6191.02,0.00,0.00,0.00,17687.03,4672.65,0.00,38504.99,0.00,0.00,0.00,0.00,139.92,0.00,139.92,0.00,35374.05,24443468,0,6972732,22.19,54628,2841952,9004456,28.66,4945952,1694208,571432,3745488,111036,5864,14384,56976,0,0,0.00,0,0.00,5,719,1.39,2.38,2.52,0,139.92,0.00,35374.05,252.82,7.41,52.93,0.43,6.07,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 19:52:27,69.75,0.00,5.20,0.00,3.80,0.00,0.05,0.00,0.00,21.20,3.40,2327.80,2063.40,0.00,0.00,0.00,68.80,4532.60,0.00,93609.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,137.60,23008168,0,8408032,26.76,54636,2842136,11163928,35.54,6381732,1694084,571784,5179188,111092,5960,17256,56976,0,0,0.00,0,0.00,4,731,1.44,2.37,2.52,0,1.60,0.00,137.60,86.00,0.00,1.00,0.50,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 19:52:32,67.51,0.00,2.29,0.05,5.37,0.00,0.00,0.00,0.00,24.79,0.40,2183.60,1870.40,0.00,0.00,0.00,118.40,82.80,0.00,367.60,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,236.80,23006256,0,8409944,26.77,54644,2843760,11163928,35.54,6379656,1694784,573644,5178140,111348,5952,17256,56976,0,0,0.00,0,0.00,3,730,1.80,2.43,2.54,0,3.00,0.00,236.80,78.93,0.01,2.93,0.53,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 19:52:37,65.53,0.00,2.40,2.50,5.99,0.00,0.05,0.00,0.00,23.53,1.00,2512.60,2190.00,0.00,0.00,0.00,26794.40,82.40,0.00,506.20,0.00,0.00,0.00,0.00,198.60,0.00,198.60,0.00,47654.40,22968224,0,8447976,26.89,54652,2842868,11163928,35.54,6419032,1694164,439428,5215728,111508,5992,17332,56976,0,0,0.00,0,0.00,4,735,2.14,2.49,2.56,1,198.60,0.00,47654.40,239.95,51.67,191.71,1.81,36.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
