timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:59:54,37.23,0.00,4.00,0.56,0.00,0.00,0.15,0.00,0.00,58.05,28.80,4746.80,4545.40,0.00,0.00,0.00,68.80,13429.40,0.00,13580.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,137.60,27489028,0,3927172,12.50,28820,1881672,5697360,18.14,2248248,1381216,261312,1721424,83848,5072,8404,56976,0,0,0.00,0,0.00,2,629,2.37,2.27,2.10,0,3.60,0.00,137.60,38.22,0.05,14.44,10.44,3.76,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-19 22:59:59,34.31,0.00,1.66,0.00,0.05,0.00,0.00,0.00,0.00,63.98,11.60,2026.40,2004.20,0.00,0.00,0.00,206.40,9224.80,0.00,2713.20,0.00,0.00,0.00,0.00,15.20,0.00,15.20,0.00,412.80,27167216,0,4248984,13.52,28832,1881740,18014416,57.34,2580080,1369940,260344,2041492,84184,5512,9772,56976,0,0,0.00,0,0.00,3,676,2.34,2.27,2.10,0,15.20,0.00,412.80,27.16,0.07,4.74,0.21,0.32,2.40,2.40,0.28,0.19,0.00,0.00,0.00,0.00
2017-09-19 23:00:04,60.23,0.00,3.00,0.00,0.05,0.00,0.05,0.00,0.00,36.67,22.00,3316.60,3196.00,0.00,0.00,0.00,1018.40,13191.20,0.00,7647.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,56.00,26502320,0,4913880,15.64,28840,1892020,30430860,96.86,3240444,1369944,265512,2691832,85048,6040,11636,56976,0,0,0.00,0,0.00,3,743,2.39,2.28,2.10,0,0.60,0.00,56.00,93.33,0.42,2.67,18.67,1.12,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:00:09,53.85,0.00,2.48,0.25,0.00,0.00,0.00,0.00,0.00,43.41,1.40,2363.80,2016.80,0.00,0.00,0.00,31.20,1224.40,0.00,19531.00,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2043.20,24444236,0,6971964,22.19,28848,1892636,30519036,97.14,5240448,1368380,266500,4742636,85316,6080,15300,56976,0,0,0.00,0,0.00,5,746,2.36,2.28,2.10,0,8.60,0.00,2043.20,237.58,4.02,515.35,33.67,28.96,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:00:14,49.04,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,47.87,0.00,2157.80,1617.00,0.00,0.00,0.00,38.40,348.80,0.00,15012.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,76.80,21556964,0,9859236,31.38,28848,1892664,30519036,97.14,8152856,1368392,266384,7626364,85388,6064,21240,56976,0,0,0.00,0,0.00,2,743,2.33,2.27,2.10,0,1.60,0.00,76.80,48.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:00:19,52.94,0.00,3.39,0.00,0.05,0.00,0.00,0.00,0.00,43.62,1.20,2653.00,2201.60,0.00,0.00,0.00,32.80,2504.00,0.00,66924.40,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,65.60,19934664,0,11481536,36.55,28860,1892712,30596596,97.39,9801852,1365112,266388,9245444,85356,6080,24520,56976,0,0,0.00,0,0.00,2,746,2.54,2.32,2.12,0,2.60,0.00,65.60,25.23,0.00,0.00,0.00,0.00,1.80,1.80,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-19 23:00:24,56.82,0.00,0.72,5.52,0.00,0.00,0.05,0.00,0.00,36.89,2.20,4028.20,3566.80,0.00,0.00,0.00,22106.40,1559.20,0.00,1419.40,0.00,0.00,0.00,0.00,147.80,0.00,147.80,0.00,37505.60,19834240,0,11581960,36.87,28872,1892844,30596596,97.39,9894000,1365076,156452,9345664,85628,6168,24720,56976,0,0,0.00,0,0.00,1,757,2.58,2.33,2.12,1,147.80,0.00,37505.60,253.76,36.99,88.86,1.74,25.76,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:00:29,18.66,0.00,0.30,53.65,0.05,0.00,0.00,0.00,0.00,27.33,0.00,2649.80,1944.00,0.00,0.00,0.00,5530.40,85.80,0.00,633.00,0.00,0.00,0.00,0.00,45.40,0.00,45.40,0.00,11476.80,19815492,0,11600708,36.93,28880,1892916,30596596,97.39,9907452,1365084,129676,9362916,85580,6168,24756,56976,0,0,0.00,0,0.00,3,757,2.61,2.34,2.12,1,45.40,0.00,11476.80,252.79,99.13,2019.61,22.03,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:00:34,50.91,0.00,2.12,40.86,0.00,0.00,0.00,0.00,0.00,6.11,0.00,2103.60,1844.80,0.00,0.00,0.00,2217.60,254.60,0.00,73138.20,0.00,0.00,0.00,0.00,38.40,0.00,38.40,0.00,9830.40,18890648,0,12525552,39.87,28884,1892944,30596596,97.39,10807416,1365040,118700,10285464,85580,6168,26588,56976,0,0,0.00,0,0.00,2,757,2.88,2.40,2.15,4,38.40,0.00,9830.40,256.00,99.11,2598.15,26.04,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:00:39,51.06,0.00,1.11,37.79,0.00,0.00,0.05,0.00,0.00,9.99,0.00,2143.00,1836.80,0.00,0.00,0.00,9228.80,128.80,0.00,32557.20,0.00,0.00,0.00,0.00,58.00,0.00,58.00,0.00,11468.80,18424660,0,12991540,41.35,28896,1892968,30596596,97.39,11276380,1365056,72724,10750304,85596,6168,27488,56976,0,0,0.00,0,0.00,2,756,2.89,2.41,2.15,1,58.00,0.00,11468.80,197.74,115.60,2330.62,17.24,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
