timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-26 17:49:32,42.16,0.00,3.83,0.51,0.05,0.00,0.20,0.00,0.00,53.24,29.80,3926.60,3905.80,0.00,0.00,0.00,132.00,14512.80,0.00,13957.40,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,264.00,28372752,0,3043448,9.69,34984,970368,5806160,18.48,2104636,669788,259968,1768816,56696,4920,8948,57072,0,0,0.00,0,0.00,1,618,0.67,1.04,0.59,0,12.00,0.00,264.00,22.00,0.06,4.80,3.07,3.68,1.80,1.80,0.21,0.22,0.00,0.00,0.00,0.00
2017-09-26 17:49:37,45.86,0.00,1.77,0.00,0.05,0.00,0.00,0.00,0.00,52.32,15.00,2205.80,2309.20,0.00,0.00,0.00,42.40,14061.80,0.00,4795.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,84.80,27910980,0,3505220,11.16,35000,970844,30425504,96.85,2570852,659168,260576,2226464,57792,5560,10548,57072,0,0,0.00,0,0.00,8,680,0.70,1.04,0.59,0,0.80,0.00,84.80,106.00,0.00,3.00,1.00,0.08,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-26 17:49:42,67.04,0.00,4.53,0.10,0.00,0.00,0.05,0.00,0.00,28.28,18.60,3485.80,3301.60,0.00,0.00,0.00,1026.40,8371.80,0.00,9541.00,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2052.80,25253520,0,6162680,19.62,35008,981564,30594108,97.38,5203412,657632,266352,4866996,59052,5976,15668,57072,0,0,0.00,0,0.00,2,733,0.72,1.04,0.59,0,8.60,0.00,2052.80,238.70,3.83,445.49,14.51,12.48,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-26 17:49:47,49.40,0.00,7.24,0.00,0.00,0.00,0.00,0.00,0.00,43.36,0.00,2278.80,1856.20,0.00,0.00,0.00,0.00,720.80,0.00,106043.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20371664,0,11044536,35.16,35008,981596,30594108,97.38,10077644,657560,266452,9739076,59088,5936,25684,57072,0,0,0.00,0,0.00,2,728,0.83,1.06,0.60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.17,0.00,0.00,0.00,0.00
2017-09-26 17:49:52,55.34,0.00,5.24,0.05,0.05,0.00,0.00,0.00,0.00,39.31,0.00,2172.20,1680.20,0.00,0.00,0.00,3.20,503.40,0.00,157062.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,18578504,0,12837696,40.86,35016,981624,30594108,97.38,11856396,657580,266480,11528056,59156,5920,28948,57072,0,0,0.00,0,0.00,2,726,0.92,1.07,0.61,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:49:57,51.92,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,45.14,0.00,2196.20,1791.60,0.00,0.00,0.00,3.20,303.00,0.00,75873.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,17472168,0,13944032,44.38,35024,981648,30594108,97.38,12974848,657588,266504,12632144,59164,5896,31344,57072,0,0,0.00,0,0.00,2,723,1.01,1.09,0.62,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:50:02,53.04,0.00,2.59,0.00,0.05,0.00,0.00,0.00,0.00,44.32,0.40,2268.60,1902.20,0.00,0.00,0.00,20.80,278.80,0.00,68080.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,41.60,16416780,0,14999420,47.74,35032,981672,30594108,97.38,14021344,657612,266516,13684796,59132,5904,33208,57072,0,0,0.00,0,0.00,3,724,1.33,1.15,0.64,0,1.60,0.00,41.60,26.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.21,0.00,0.00,0.00,0.00
2017-09-26 17:50:07,53.39,0.00,2.18,13.22,0.00,0.00,0.00,0.00,0.00,31.21,0.00,2209.20,2127.40,0.00,0.00,0.00,32576.80,228.40,0.00,57701.40,0.00,0.00,0.00,0.00,241.20,0.00,241.20,0.00,57315.20,15484712,0,15931488,50.71,35048,981696,30594108,97.38,14945144,657632,103784,14614700,59332,5904,34956,57072,0,0,0.00,0,0.00,3,724,1.46,1.18,0.65,1,241.20,0.00,57315.20,237.63,140.40,340.52,4.08,98.32,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-26 17:50:12,52.81,0.00,2.13,24.13,0.00,0.00,0.00,0.00,0.00,20.93,0.00,2167.80,1719.20,0.00,0.00,0.80,1307.20,235.00,0.00,66533.00,0.00,0.00,0.00,0.00,34.40,0.00,34.40,0.00,8710.40,14597636,0,16818564,53.53,35064,981712,30594108,97.38,15829936,657648,97532,15499428,59284,5880,36720,57072,0,0,0.00,0,0.00,2,721,1.82,1.26,0.68,2,34.40,0.00,8710.40,253.21,81.87,3979.35,29.07,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-26 17:50:17,52.71,0.00,1.82,19.78,0.00,0.00,0.00,0.00,0.00,25.70,0.00,2171.60,1724.40,0.00,0.00,0.00,8518.40,187.00,0.00,41800.40,0.00,0.00,0.00,0.00,44.20,0.20,44.00,1.60,10739.20,13776920,0,17639280,56.15,35072,981752,30594108,97.38,16673692,657672,55024,16318632,59200,5880,38308,57072,0,0,0.00,0,0.00,2,720,2.00,1.31,0.70,2,44.20,1.60,10739.20,243.00,100.31,1302.50,22.62,100.00,1.20,1.20,0.13,0.17,0.00,0.00,0.00,0.00
2017-09-26 17:50:22,53.52,0.00,2.33,19.34,0.00,0.00,0.00,0.00,0.00,24.81,0.00,2192.40,1777.60,0.00,0.00,0.00,3344.80,234.40,0.00,58873.20,0.00,0.00,0.00,0.00,33.00,0.00,33.00,0.00,8398.40,12777804,0,18638396,59.33,35076,981772,30594108,97.38,17639388,657684,38308,17315108,59200,5872,40236,57072,0,0,0.00,0,0.00,4,720,2.16,1.35,0.72,2,33.00,0.00,8398.40,254.50,142.19,3873.89,30.30,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:50:27,37.94,0.00,1.06,58.88,0.05,0.00,0.00,0.00,0.00,2.07,0.60,2343.80,1763.60,0.00,0.00,0.80,2458.40,2447.80,0.00,27223.60,0.00,0.00,0.00,0.00,29.40,0.00,29.40,0.00,7508.80,12376632,0,19039568,60.60,35084,981816,30625448,97.48,18074332,657632,26144,17714968,59168,5888,41264,57072,0,0,0.00,0,0.00,2,722,2.47,1.43,0.74,2,29.40,0.00,7508.80,255.40,72.06,3966.01,34.01,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:50:32,52.63,0.00,10.12,21.05,0.00,0.00,0.05,0.00,0.00,16.14,0.60,2355.40,2169.80,0.00,0.00,0.00,5166.40,2393.60,0.00,323816.60,0.00,0.00,0.00,0.00,35.00,0.20,34.80,1.60,8884.80,8851612,0,22564588,71.82,35084,981852,30671768,97.63,21595244,654572,412,21234960,59204,5888,48140,57072,0,0,0.00,0,0.00,5,722,2.83,1.52,0.78,1,35.00,1.60,8884.80,253.90,137.51,2657.71,28.57,100.00,2.00,2.00,0.23,0.24,0.00,0.00,0.00,0.00
2017-09-26 17:50:37,25.67,0.00,0.25,28.30,0.05,0.00,0.00,0.00,0.00,45.73,0.00,2320.00,1750.00,0.00,0.00,0.00,103.20,45.00,0.00,559.20,0.00,0.00,0.00,0.00,28.20,0.00,28.20,0.00,5393.60,8819480,0,22596720,71.93,35092,981880,30671768,97.63,21594248,654432,324,21266536,59140,5864,48196,57072,0,0,0.00,0,0.00,2,719,2.84,1.55,0.79,0,28.20,0.00,5393.60,191.26,34.86,3373.73,21.28,60.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-26 17:50:42,57.81,0.00,0.86,0.05,0.00,0.00,0.00,0.00,0.00,41.28,0.40,2426.80,2072.60,0.00,0.00,0.00,48.80,1667.20,0.00,22469.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,97.60,8514192,0,22902008,72.90,35100,981924,30715436,97.77,21934132,654452,272,21571612,59164,5864,48788,57072,0,0,0.00,0,0.00,2,719,2.78,1.55,0.80,0,0.80,0.00,97.60,122.00,0.04,48.00,47.00,3.76,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-26 17:50:47,56.81,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00,2418.80,2035.20,0.00,0.00,0.00,41.60,219.40,0.00,65839.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,83.20,7885316,0,23530884,74.90,35112,981960,30715436,97.77,22532460,654468,436,22198536,59156,5864,49992,57072,0,0,0.00,0,0.00,4,719,2.71,1.56,0.80,0,1.00,0.00,83.20,83.20,0.00,3.20,1.60,0.16,1.20,1.20,0.13,0.17,0.00,0.00,0.00,0.00
2017-09-26 17:50:52,59.09,0.00,3.95,0.00,0.05,0.00,0.10,0.00,0.00,36.81,2.40,2895.80,2514.80,0.00,0.00,0.00,32.00,662.00,0.00,120235.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,64.00,6412540,0,25003660,79.59,35120,982004,30762004,97.92,24032800,654436,588,23670124,59144,5960,52920,57072,0,0,0.00,0,0.00,6,731,2.66,1.57,0.81,0,0.60,0.00,64.00,106.67,0.01,9.33,6.67,0.40,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:50:57,60.28,0.00,1.26,0.50,0.00,0.00,0.00,0.00,0.00,37.95,0.00,2314.00,2009.00,0.00,0.00,0.00,16.80,134.60,0.00,35042.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,33.60,6050852,0,25365348,80.74,35132,982048,30762004,97.92,24393520,654456,656,24030848,59144,5960,53624,57072,0,0,0.00,0,0.00,2,731,2.52,1.56,0.81,0,0.40,0.00,33.60,84.00,0.02,40.00,40.00,1.60,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
