timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 02:40:39,37.04,0.00,4.06,1.12,0.00,0.00,0.25,0.00,0.00,57.53,30.00,4649.60,4569.80,0.00,0.00,0.00,67.20,13597.40,0.00,18914.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,134.40,27301780,0,4114420,13.10,31712,2023972,5532852,17.61,2339028,1476132,260404,1759580,86768,5072,8400,56976,0,0,0.00,0,0.00,3,637,2.07,2.25,2.36,0,3.60,0.00,134.40,37.33,0.05,13.11,7.11,2.56,2.00,2.00,0.23,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:40:44,42.72,0.00,1.57,0.00,0.05,0.00,0.05,0.00,0.00,55.61,15.20,2108.40,2209.40,0.00,0.00,0.00,2747.20,12501.60,0.00,3440.80,0.00,0.00,0.00,0.00,35.00,0.00,35.00,0.00,5494.40,26871552,0,4544648,14.47,31724,2024168,30177836,96.06,2777604,1464872,247456,2186688,87332,5536,10112,56976,0,0,0.00,0,0.00,2,700,2.07,2.24,2.36,0,35.00,0.00,5494.40,156.98,3.55,101.35,3.61,12.64,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-23 02:40:49,55.09,0.00,2.18,12.11,0.00,0.00,0.00,0.00,0.00,30.61,16.40,3039.80,2741.40,0.00,0.00,0.00,6579.20,10719.00,0.00,8389.80,0.00,0.00,0.00,0.00,22.60,0.00,22.60,0.00,5785.60,26306772,0,5109428,16.26,31724,2029524,30270532,96.35,3336220,1464628,219828,2741616,88528,6088,11708,56976,0,0,0.00,0,0.00,0,745,2.14,2.25,2.36,1,22.60,0.00,5785.60,256.00,38.23,497.27,11.96,27.04,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-23 02:40:54,16.48,0.00,0.71,55.16,0.00,0.00,0.00,0.00,0.00,27.65,2.20,2404.00,1755.60,0.00,0.00,0.00,5735.20,1117.00,0.00,236.60,0.00,0.00,0.00,0.00,47.80,0.00,47.80,0.00,12084.80,26026416,0,5389784,17.16,31732,2035028,30355784,96.62,3599948,1463332,196880,3017048,88816,6096,12104,56976,0,0,0.00,0,0.00,3,747,2.37,2.30,2.38,1,47.80,0.00,12084.80,252.82,103.15,2186.01,20.92,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:40:59,35.55,0.00,2.37,43.87,0.05,0.00,0.00,0.00,0.00,18.15,0.80,2459.00,2093.80,0.00,0.00,0.00,5861.60,1098.40,0.00,29006.80,0.00,0.00,0.00,0.00,43.60,0.00,43.60,0.00,11108.80,24644004,0,6772196,21.56,31748,2035052,30355784,96.62,4960472,1463016,167780,4395472,88840,6112,14584,56976,0,0,0.00,0,0.00,2,748,2.66,2.36,2.40,1,43.60,0.00,11108.80,254.79,100.17,2176.79,22.94,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:41:04,29.82,0.00,0.61,45.31,0.00,0.00,0.00,0.00,0.00,24.27,1.20,2402.80,1766.20,0.00,0.00,0.00,5840.00,1763.20,0.00,1265.40,0.00,0.00,0.00,0.00,43.80,0.00,43.80,0.00,11116.80,24346740,0,7069460,22.50,31756,2035216,30438824,96.89,5296868,1462848,139048,4692740,88932,6136,15404,56976,0,0,0.00,0,0.00,2,753,2.93,2.42,2.42,1,43.80,0.00,11116.80,253.81,100.56,2446.14,22.83,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 02:41:09,28.55,0.00,1.11,48.46,0.00,0.00,0.00,0.00,0.00,21.88,0.40,2618.80,2005.40,0.00,0.00,0.00,5808.00,4957.60,0.00,3861.00,0.00,0.00,0.00,0.00,44.60,0.00,44.60,0.00,11409.60,24025456,0,7390744,23.53,31764,2055176,30470220,96.99,5597564,1481444,130264,4991960,89388,6128,15860,56976,0,0,0.00,0,0.00,8,754,3.09,2.46,2.43,2,44.60,0.00,11409.60,255.82,98.67,2305.85,22.42,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 02:41:14,98.55,0.00,1.25,0.05,0.00,0.00,0.00,0.00,0.00,0.15,0.00,2104.80,1984.20,0.00,0.00,0.00,5734.40,114.80,0.00,1766.20,0.00,0.00,0.00,0.00,45.60,0.00,45.60,0.00,11673.60,23124376,0,8291824,26.39,31764,2054932,30470220,96.99,6457756,1480864,101344,5890832,89708,6144,17808,56976,0,0,0.00,0,0.00,5,754,3.49,2.56,2.46,2,45.60,0.00,11673.60,256.00,144.82,2386.47,21.93,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:41:19,37.93,0.00,0.45,46.28,0.05,0.00,0.00,0.00,0.00,15.29,0.00,2068.00,1540.00,0.00,0.00,0.00,1831.20,51.80,0.00,24.00,0.00,0.00,0.00,0.00,48.60,0.00,48.60,0.00,10902.40,22744668,0,8671532,27.60,31772,2054952,30470220,96.99,6840760,1480880,92568,6269728,89668,6144,18552,56976,0,0,0.00,0,0.00,8,754,3.77,2.63,2.49,2,48.60,0.00,10902.40,224.33,82.18,2520.20,20.54,99.84,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:41:24,51.56,0.00,0.95,47.09,0.00,0.00,0.00,0.00,0.00,0.40,0.00,2149.80,1667.60,0.00,0.00,0.00,4229.60,244.60,0.00,528.60,0.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,7729.60,22244524,0,9171676,29.19,31776,2054984,30470220,96.99,7375000,1480872,71896,6769128,89668,6136,19732,56976,0,0,0.00,0,0.00,0,753,4.11,2.72,2.52,8,40.00,0.00,7729.60,193.24,91.19,2010.94,25.00,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
