timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:24:42,35.15,0.00,2.87,0.10,0.05,0.00,0.10,0.00,0.00,61.72,20.20,3622.20,3528.60,0.00,0.00,76.00,33.60,10996.40,2.00,18780.60,0.00,0.00,0.00,0.00,6.60,3.00,3.60,152.00,152.00,24425240,0,6990960,22.25,22872,4813152,4742464,15.10,2969556,3641468,131580,1775000,168748,5248,8536,56976,0,0,0.00,0,0.00,0,643,3.62,3.91,3.43,0,6.40,152.00,150.40,47.25,0.00,0.75,0.37,0.24,1.80,1.80,0.21,0.14,0.00,0.00,0.00,0.00
2017-09-19 23:24:47,36.06,0.00,2.58,0.00,0.05,0.00,0.10,0.00,0.00,61.21,19.60,2915.60,2987.60,0.00,0.00,7.20,32.00,12066.20,0.40,4107.20,0.00,0.00,0.00,0.00,1.60,0.80,0.80,14.40,64.00,23964084,0,7452116,23.72,22884,4942040,17885024,56.93,3307044,3758756,260484,2100820,171948,5584,9776,56976,0,0,0.00,0,0.00,1,706,3.73,3.93,3.44,0,1.60,14.40,64.00,49.00,0.00,0.50,0.50,0.08,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-19 23:24:52,49.55,0.00,2.07,0.25,0.00,0.00,0.00,0.00,0.00,48.13,20.76,2931.14,2829.54,0.00,0.00,0.00,52.69,12092.81,0.00,4855.49,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,105.39,23365756,0,8050444,25.63,22896,4942264,30274272,96.37,3905236,3756100,260784,2696176,172948,6232,11528,56976,0,0,0.00,0,0.00,2,772,3.67,3.91,3.44,0,2.40,0.00,105.39,44.00,0.02,8.67,3.00,0.72,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:24:57,77.96,0.00,3.23,0.00,0.05,0.00,0.00,0.00,0.00,18.76,4.20,3211.00,2945.00,0.00,0.00,2.40,1014.40,4160.20,0.20,8616.60,0.00,0.00,0.00,0.00,8.60,0.20,8.40,4.80,2028.80,21923476,0,9492724,30.22,22904,5004736,30432436,96.87,5298608,3798624,318300,4070724,174040,6384,14324,56976,0,0,0.00,0,0.00,5,783,3.78,3.93,3.45,0,8.60,4.80,2028.80,236.47,0.07,7.91,0.56,0.48,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:25:02,73.72,0.00,4.30,0.10,0.00,0.00,0.05,0.00,0.00,21.82,1.60,3089.40,2573.80,0.00,0.00,52.80,55.20,9535.40,3.00,17691.40,0.00,0.00,0.00,0.00,5.00,3.60,1.40,105.60,110.40,20496392,0,10919808,34.76,22912,5074768,30544800,97.23,6636936,3851788,388160,5419756,177964,6392,16868,56976,0,0,0.00,0,0.00,2,785,3.64,3.90,3.44,0,5.00,105.60,110.40,43.20,0.01,1.60,1.60,0.80,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:25:07,58.24,0.00,3.58,0.00,0.05,0.00,0.00,0.00,0.00,38.14,0.00,2387.60,2047.20,0.00,0.00,0.00,154.40,615.20,0.00,1691.40,0.00,0.00,0.00,0.00,13.60,0.00,13.60,0.00,308.80,17715672,0,13700528,43.61,22920,5074796,30512556,97.12,9468416,3817808,387900,8196724,178024,6384,22524,56976,0,0,0.00,0,0.00,1,784,3.75,3.91,3.45,0,13.60,0.00,308.80,22.71,0.02,1.82,0.06,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:25:12,73.97,0.00,3.38,0.86,0.00,0.00,0.00,0.00,0.00,21.80,0.00,2897.20,2888.60,0.00,0.00,0.00,26296.80,6889.60,0.00,31073.80,0.00,0.00,0.00,0.00,182.20,0.00,182.20,0.00,46243.20,16734144,0,14682056,46.73,22936,5145656,30512556,97.12,10417952,3853088,327392,9102864,179148,6384,24336,56976,0,0,0.00,0,0.00,2,784,3.69,3.90,3.45,0,182.60,0.00,46345.60,253.81,10.36,49.27,0.40,7.28,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:25:17,59.20,0.00,1.51,11.60,0.05,0.00,0.00,0.00,0.00,27.63,0.00,2628.80,2186.60,0.00,0.00,0.00,68.00,5111.80,0.00,13348.80,0.00,0.00,0.00,0.00,25.80,0.00,25.80,0.00,6486.40,16528532,0,14887668,47.39,22948,5207204,30512556,97.12,10588884,3879564,389052,9244528,181016,6384,24560,56976,0,0,0.00,0,0.00,3,784,3.47,3.85,3.43,0,25.40,0.00,6384.00,251.34,8.63,393.45,11.15,28.32,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-19 23:25:22,12.62,0.00,0.40,59.41,0.00,0.00,0.00,0.00,0.00,27.56,0.00,2261.60,1546.80,0.00,0.00,0.00,8400.80,861.80,0.00,1672.40,0.00,0.00,0.00,0.00,46.80,0.00,46.80,0.00,9944.00,16520392,0,14895808,47.41,22960,5224192,30512556,97.12,10594572,3887812,364216,9235360,181744,6384,24640,56976,0,0,0.00,0,0.00,3,784,3.51,3.85,3.43,2,46.80,0.00,9944.00,212.48,97.81,1715.88,21.32,99.76,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-19 23:25:27,54.32,0.00,2.02,27.21,0.00,0.00,0.05,0.00,0.00,16.41,2.60,3020.80,2421.80,0.00,0.00,0.00,5411.20,7365.60,0.00,17615.20,0.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,10240.00,16237860,0,15178340,48.31,22968,5367492,30512556,97.12,10782960,3977628,480876,9369624,186172,6488,24856,56976,0,0,0.00,0,0.00,2,797,3.55,3.86,3.44,2,40.00,0.00,10240.00,256.00,146.16,2689.40,25.00,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
