timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:51:11,36.96,0.00,4.15,7.58,0.00,0.00,0.25,0.00,0.00,51.06,28.20,4484.20,4403.40,0.00,0.00,0.00,76.80,13795.20,0.00,14136.40,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,1369.60,26662908,0,4753292,15.13,28792,2780688,5544396,17.65,2341460,2089896,260260,1622812,108968,5136,8108,56976,0,0,0.00,0,0.00,1,641,3.35,3.15,2.76,0,9.60,0.00,1369.60,142.67,3.52,1892.00,19.08,18.32,1.80,1.80,0.21,0.14,0.00,0.00,0.00,0.00
2017-09-19 22:51:16,42.67,0.00,1.62,0.10,0.00,0.00,0.00,0.00,0.00,55.61,16.60,2110.00,2141.60,0.00,0.00,0.00,51.20,15440.80,0.00,6193.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,102.40,26228876,0,5187324,16.51,28804,2781068,30153804,95.98,2782456,2079124,260656,2054000,109504,5632,9528,56976,0,0,0.00,0,0.00,3,710,3.32,3.14,2.76,0,0.80,0.00,102.40,128.00,0.00,6.00,6.00,0.48,3.00,2.80,0.34,0.22,0.00,0.00,0.00,0.00
2017-09-19 22:51:21,68.21,0.00,3.41,0.00,0.05,0.00,0.00,0.00,0.00,28.33,18.20,3407.20,3221.20,0.00,0.00,0.00,1016.00,9435.40,0.00,6416.40,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,2032.00,24543300,0,6872900,21.88,28812,2791892,30370296,96.67,4450192,2077792,266560,3723632,110888,6224,13332,56976,0,0,0.00,0,0.00,7,761,3.54,3.19,2.78,0,8.40,0.00,2032.00,241.90,2.81,334.76,23.71,19.92,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 22:51:26,51.34,0.00,7.81,0.00,0.00,0.00,0.00,0.00,0.00,40.84,0.00,2432.20,2079.00,0.00,0.00,0.00,112.00,1159.80,0.00,133297.60,0.00,0.00,0.00,0.00,11.80,0.00,11.80,0.00,224.00,18616176,0,12800024,40.74,28820,2791916,30370296,96.67,10348252,2077496,266204,9637776,110948,6160,24952,56976,0,0,0.00,0,0.00,3,755,3.41,3.17,2.77,0,11.80,0.00,224.00,18.98,0.02,2.03,0.07,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:51:31,56.19,0.00,3.59,0.00,0.05,0.00,0.00,0.00,0.00,40.17,0.00,2134.40,1795.80,0.00,0.00,0.00,10.40,419.60,0.00,126963.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,20.80,17287912,0,14128288,44.97,28828,2791944,30370296,96.67,11681496,2077520,266220,10962816,111000,6144,27596,56976,0,0,0.00,0,0.00,2,754,3.30,3.15,2.77,0,0.80,0.00,20.80,26.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:51:36,53.82,0.00,3.69,0.00,0.00,0.00,0.00,0.00,0.00,42.49,0.00,2172.60,1761.00,0.00,0.00,0.00,41.60,467.00,0.00,131262.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,83.20,15720280,0,15695920,49.96,28836,2791960,30370296,96.67,13197648,2077516,266152,12528096,111000,6128,30580,56976,0,0,0.00,0,0.00,2,752,3.20,3.13,2.76,0,3.00,0.00,83.20,27.73,0.00,0.27,0.27,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:51:41,52.91,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,44.80,0.00,2149.60,1740.60,0.00,0.00,0.00,48.80,229.20,0.00,59537.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,97.60,14757876,0,16658324,53.02,28836,2791992,30370296,96.67,14207332,2077540,266012,13488616,110976,6120,32436,56976,0,0,0.00,0,0.00,3,751,3.10,3.11,2.76,0,2.00,0.00,97.60,48.80,0.02,8.00,4.00,0.80,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 22:51:46,53.19,0.00,2.43,9.61,0.00,0.00,0.00,0.00,0.00,34.78,0.00,2143.60,1732.60,0.00,0.00,0.00,12063.20,243.40,0.00,62411.80,0.00,0.00,0.00,0.00,69.60,0.00,69.60,0.00,17656.00,13731680,0,17684520,56.29,28844,2792028,30370296,96.67,15188496,2077560,206036,14512772,111096,6120,34584,56976,0,0,0.00,0,0.00,2,751,3.09,3.11,2.76,1,69.60,0.00,17656.00,253.68,60.28,248.31,6.10,42.48,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 22:51:51,52.93,0.00,2.27,20.71,0.05,0.00,0.00,0.00,0.00,24.04,0.00,2088.80,1689.20,0.00,0.00,0.00,11804.80,231.40,0.00,63843.20,0.00,0.00,0.00,0.00,92.00,0.00,92.00,0.00,23091.20,12842384,0,18573816,59.12,28860,2792048,30370296,96.67,16085564,2077572,147136,15399568,111116,6112,36120,56976,0,0,0.00,0,0.00,2,750,3.09,3.11,2.76,1,92.00,0.00,23091.20,250.99,140.96,1587.53,10.87,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:51:56,53.39,0.00,1.87,19.84,0.05,0.00,0.00,0.00,0.00,24.85,0.00,2128.40,1850.20,0.00,0.00,0.00,8942.40,225.20,0.00,58100.00,0.00,0.00,0.00,0.00,67.80,0.00,67.80,0.00,17152.00,11900416,0,19515784,62.12,28868,2792080,30370296,96.67,17056548,2077588,102576,16339820,111016,6112,37924,56976,0,0,0.00,0,0.00,2,750,3.16,3.13,2.77,2,67.80,0.00,17152.00,252.98,117.77,1706.08,14.75,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
