timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:27:46,42.06,0.00,2.94,0.10,0.00,0.00,0.15,0.00,0.00,54.74,20.00,3462.00,3044.60,0.00,0.00,0.00,72.80,12938.00,0.00,14213.80,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,145.60,28924020,0,2492180,7.93,23740,574804,4846768,15.43,1907672,329892,131432,1639344,42812,4712,8000,56976,0,0,0.00,0,0.00,0,572,1.54,1.17,0.53,0,5.00,0.00,145.60,29.12,0.02,4.00,3.84,1.92,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-22 21:27:51,37.66,0.00,2.39,0.25,0.05,0.00,0.15,0.00,0.00,59.49,13.00,2978.60,3347.60,0.00,0.00,0.00,52.80,8620.40,0.00,4949.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,105.60,28517856,0,2898344,9.23,23752,704040,5770256,18.37,2187500,450732,260624,1910412,47080,4960,9104,56976,0,0,0.00,0,0.00,4,608,1.42,1.15,0.53,0,2.00,0.00,105.60,52.80,0.01,4.80,2.40,0.48,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-22 21:27:56,63.06,0.00,2.58,0.00,0.00,0.00,0.00,0.00,0.00,34.36,28.40,3051.60,2807.00,0.00,0.00,0.00,100.80,15596.40,0.00,4832.80,0.00,0.00,0.00,0.00,10.40,0.00,10.40,0.00,201.60,27825208,0,3590992,11.43,23764,704264,30520852,97.15,2881308,444528,260632,2600104,48496,5696,11264,56976,0,0,0.00,0,0.00,1,711,1.55,1.18,0.54,0,10.40,0.00,201.60,19.38,0.03,2.54,0.31,0.32,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-22 21:28:01,52.94,0.00,3.85,0.00,0.05,0.00,0.00,0.00,0.00,43.16,4.00,2749.20,2543.80,0.00,0.00,0.00,1040.00,2965.20,0.00,10640.20,0.00,0.00,0.00,0.00,9.20,0.00,9.20,0.00,2080.00,24686212,0,6729988,21.42,23772,714988,30620528,97.47,5960084,445332,266412,5719900,49120,5896,17492,56976,0,0,0.00,0,0.00,3,722,1.58,1.20,0.55,0,9.20,0.00,2080.00,226.09,1.92,208.43,9.13,8.40,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:28:06,49.85,0.00,4.59,0.05,0.05,0.00,0.00,0.00,0.00,45.46,0.00,2152.40,1563.60,0.00,0.00,0.00,26.40,527.80,0.00,74063.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,52.80,21235136,0,10181064,32.41,23780,715016,30620528,97.47,9432592,445352,266392,9163772,49104,5864,24284,56976,0,0,0.00,0,0.00,5,719,1.62,1.21,0.56,0,1.40,0.00,52.80,37.71,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:28:11,52.04,0.00,3.17,0.00,0.00,0.00,0.00,0.00,0.00,44.79,0.00,2137.80,1588.80,0.00,0.00,0.00,4.00,383.20,0.00,111256.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,19919416,0,11496784,36.60,23788,715040,30620528,97.47,10711020,445360,266416,10476940,49104,5840,26856,56976,0,0,0.00,0,0.00,4,716,1.65,1.22,0.57,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:28:16,52.45,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,45.54,0.00,2096.00,1545.80,0.00,0.00,0.00,46.40,233.40,0.00,68063.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,92.80,19211724,0,12204476,38.85,23788,715064,30620528,97.47,11436064,445376,266232,11183552,49144,5816,28244,56976,0,0,0.00,0,0.00,2,713,1.68,1.24,0.57,0,1.00,0.00,92.80,92.80,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-22 21:28:21,53.11,0.00,1.67,3.89,0.05,0.00,0.00,0.00,0.00,41.28,0.00,2223.20,2096.00,0.00,0.00,0.80,52002.40,192.00,0.00,55896.20,0.00,0.00,0.00,0.00,411.60,0.20,411.40,1.60,104004.80,18647556,0,12768644,40.64,23812,715096,30620528,97.47,12020936,445396,6312,11745860,49128,5808,29344,56976,0,0,0.00,0,0.00,2,712,1.78,1.27,0.59,0,411.60,1.60,104004.80,252.69,26.48,64.32,0.49,20.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:28:26,53.15,0.00,1.51,0.00,0.00,0.00,0.05,0.00,0.00,45.28,0.40,2186.40,1805.00,0.00,0.00,0.00,111.20,219.80,0.00,53585.40,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,222.40,18037944,0,13378256,42.58,23820,715120,30620528,97.47,12629860,445412,5932,12354800,49148,5808,30528,56976,0,0,0.00,0,0.00,3,712,1.80,1.28,0.59,0,15.00,0.00,222.40,14.83,0.10,6.45,0.43,0.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:28:31,54.22,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,45.58,0.00,2131.40,1802.20,0.00,0.00,0.80,1162.40,23.20,0.00,647.80,0.00,0.00,0.00,0.00,10.60,0.20,10.40,1.60,2324.80,18013104,0,13403096,42.66,23832,715152,30620528,97.47,12672968,445412,280,12379424,49164,5800,30584,56976,0,0,0.00,0,0.00,2,710,2.06,1.34,0.62,0,10.60,1.60,2324.80,219.47,3.15,297.21,9.43,10.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
