timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:02:48,0.25,0.00,0.13,24.41,0.00,0.00,0.00,0.00,0.00,75.22,7.60,900.00,605.00,0.00,0.00,0.00,5767.20,2820.20,0.00,2075.80,0.00,0.00,0.00,0.00,44.00,0.00,44.00,0.00,11136.00,56488496,0,6393268,10.17,31464,4078160,5818988,9.25,2782976,3062732,13512,1735732,157832,5328,8260,111304,0,0,0.00,0,0.00,0,647,3.91,4.35,4.15,2,44.00,0.00,11136.00,253.09,115.95,2525.20,22.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-19 23:02:53,3.61,0.00,0.15,19.38,0.00,0.00,0.00,0.00,0.00,76.87,3.40,944.60,832.40,0.00,0.00,0.00,2567.20,3449.40,0.00,1207.20,0.00,0.00,0.00,0.00,40.60,0.00,40.60,0.00,10291.20,56396060,0,6485704,10.31,31476,4078092,6986132,11.11,2873136,3062692,612,1828376,157736,5344,8312,111304,0,0,0.00,0,0.00,1,660,3.83,4.33,4.15,0,40.60,0.00,10291.20,253.48,84.68,3190.40,24.65,100.08,0.60,0.60,0.05,0.04,0.00,0.00,0.00,0.00
2017-09-19 23:02:58,16.95,0.00,1.24,0.03,0.05,0.00,0.03,0.00,0.00,81.70,21.20,5735.80,5673.80,0.00,0.00,0.00,76.80,11283.40,0.00,10536.80,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,2024.00,55677236,0,7204528,11.46,31484,4338140,8337924,13.26,3339964,3308012,260292,2280540,163064,6000,10108,111304,0,0,0.00,0,0.00,4,727,3.77,4.31,4.14,0,17.00,0.00,2024.00,119.06,2.49,589.32,8.28,14.08,2.60,2.60,0.28,0.21,0.00,0.00,0.00,0.00
2017-09-19 23:03:03,31.74,0.00,1.59,0.00,0.05,0.00,0.00,0.00,0.00,66.62,36.60,3626.80,3911.00,0.00,0.00,0.00,80.80,20764.60,0.00,7706.80,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,161.60,54654536,0,8227228,13.08,31496,4338456,52298760,83.17,4361752,3300468,260680,3296912,164768,6984,13384,111304,0,0,0.00,0,0.00,2,868,3.54,4.25,4.12,0,3.40,0.00,161.60,47.53,0.00,0.71,0.24,0.08,2.00,2.00,0.21,0.16,0.00,0.00,0.00,0.00
2017-09-19 23:03:08,22.02,0.00,1.29,0.10,0.03,0.00,0.00,0.00,0.00,76.57,26.00,4276.40,4013.00,0.00,0.00,0.00,2027.20,11853.40,0.00,7638.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,656.00,53743280,0,9138484,14.53,31504,4358924,67245496,106.94,5262816,3307364,271520,4182392,166092,7560,15444,111304,0,0,0.00,0,0.00,4,954,3.26,4.18,4.10,0,3.60,0.00,656.00,182.22,4.33,102.22,18.00,6.48,2.20,2.20,0.20,0.16,0.00,0.00,0.00,0.00
2017-09-19 23:03:13,51.50,0.00,10.81,0.00,0.00,0.00,0.03,0.00,0.00,37.67,0.00,3874.60,3586.40,0.00,0.00,0.00,60.00,3012.60,0.00,303680.40,0.00,0.00,0.00,0.00,15.80,0.00,15.80,0.00,3518.40,38395108,0,24486656,38.94,31512,4359736,67276404,106.99,20476360,3306412,272212,19500088,166776,7720,45316,111304,0,0,0.00,0,0.00,4,951,3.32,4.18,4.10,0,15.80,0.00,3518.40,222.68,8.35,779.24,9.92,15.68,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:03:18,55.48,0.00,5.29,0.00,0.05,0.00,0.00,0.00,0.00,39.17,0.00,3340.00,2982.00,0.00,0.00,0.00,41.60,1342.40,0.00,446160.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,83.20,35314668,0,27567096,43.84,31520,4359764,67276404,106.99,23602312,3306428,272076,22574804,166776,7696,51888,111304,0,0,0.00,0,0.00,4,943,3.37,4.18,4.10,0,0.80,0.00,83.20,104.00,0.00,0.00,0.00,0.00,1.40,1.40,0.12,0.10,0.00,0.00,0.00,0.00
2017-09-19 23:03:23,57.83,0.00,4.71,0.00,0.00,0.00,0.00,0.00,0.00,37.46,0.00,3246.40,3079.40,0.00,0.00,0.00,13.60,1105.60,0.00,408267.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,27.20,32535792,0,30345972,48.26,31528,4359788,67276404,106.99,26338652,3306440,272092,25347980,166848,7648,56660,111304,0,0,0.00,0,0.00,6,942,3.42,4.17,4.10,0,0.60,0.00,27.20,45.33,0.01,14.67,14.67,0.88,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:03:28,54.19,0.00,3.76,3.05,0.03,0.00,0.00,0.00,0.00,38.98,0.00,3500.40,3043.20,0.00,0.00,0.00,7255.20,891.80,0.00,311217.80,0.00,0.00,0.00,0.00,31.20,0.00,31.20,0.00,6523.20,30105940,0,32775824,52.12,31536,4359812,67276404,106.99,28819332,3306452,235988,27773384,166776,7648,61456,111304,0,0,0.00,0,0.00,4,942,3.47,4.17,4.10,1,31.20,0.00,6523.20,209.08,16.38,175.77,6.13,19.12,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:03:33,41.72,0.00,1.59,17.19,0.03,0.00,0.00,0.00,0.00,39.48,0.40,3311.40,2638.00,0.00,0.00,0.00,3645.60,438.40,0.00,136582.00,0.00,0.00,0.00,0.00,46.60,0.00,46.60,0.00,11929.60,28976264,0,33905500,53.92,31544,4359840,67276404,106.99,29924224,3306428,217984,28900776,166996,7664,64436,111304,0,0,0.00,0,0.00,0,944,3.59,4.19,4.10,5,46.60,0.00,11929.60,256.00,141.48,2328.27,21.46,100.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
