timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 01:44:41,19.12,0.00,1.40,0.08,0.05,0.00,0.10,0.00,0.00,79.26,23.80,5196.00,5430.00,0.00,0.00,0.00,3308.80,14037.80,0.00,17927.80,0.00,0.00,0.00,0.00,37.80,0.00,37.80,0.00,6617.60,59847484,0,3034280,4.83,25432,579856,7103700,11.30,2239772,331040,115356,1988248,52380,5168,8984,111304,0,0,0.00,0,0.00,1,636,1.95,2.37,1.16,0,37.80,0.00,6617.60,175.07,0.60,15.87,0.23,0.88,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-23 01:44:46,16.11,0.00,1.01,0.63,0.03,0.00,0.03,0.00,0.00,82.20,16.40,3058.60,3316.20,0.00,0.00,0.00,23086.40,8073.40,0.00,4002.00,0.00,0.00,0.00,0.00,181.00,0.00,181.00,0.00,46172.80,59371036,0,3510728,5.58,25444,708692,8548160,13.59,2616160,448520,129304,2330600,56268,5632,10292,111304,0,0,0.00,0,0.00,0,694,1.87,2.34,1.16,0,181.00,0.00,46172.80,255.10,7.22,39.88,0.40,7.28,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-23 01:44:51,38.35,0.00,1.84,0.03,0.03,0.00,0.00,0.00,0.00,59.76,45.40,4041.80,4496.20,0.00,0.00,0.00,32.00,27541.00,0.00,11188.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,64.00,58248352,0,4633412,7.37,25452,709024,67180284,106.84,3733240,445288,129544,3444064,58320,6728,13664,111304,0,0,0.00,0,0.00,3,861,1.96,2.36,1.17,0,0.60,0.00,64.00,106.67,0.00,2.67,1.33,0.08,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-23 01:44:56,34.50,0.00,1.95,0.00,0.05,0.00,0.03,0.00,0.00,63.48,14.80,4292.80,4332.20,0.00,0.00,0.00,2040.80,11847.80,0.00,8110.20,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,4081.60,56791292,0,6090472,9.69,25460,730280,67474708,107.30,5153248,448128,140988,4874436,60140,7344,17000,111304,0,0,0.00,0,0.00,1,907,2.04,2.37,1.18,0,17.00,0.00,4081.60,240.09,0.19,11.11,0.38,0.64,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 01:45:01,47.33,0.00,2.35,0.08,0.05,0.00,0.00,0.00,0.00,50.20,0.60,4302.20,4400.80,0.00,0.00,1.60,96.00,2646.80,0.00,7255.20,0.00,0.00,0.00,0.00,1.40,0.40,1.00,3.20,192.00,53280304,0,9601460,15.27,25468,730364,67474708,107.30,8628424,448112,141684,8375996,60132,7352,24232,111304,0,0,0.00,0,0.00,2,904,2.04,2.36,1.18,0,1.40,3.20,192.00,139.43,0.02,16.00,4.00,0.56,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 01:45:06,47.25,0.00,1.80,0.00,0.03,0.00,0.03,0.00,0.00,50.90,3.60,5123.40,4462.00,0.00,0.00,0.00,0.00,515.60,0.00,4404.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50638484,0,12243280,19.47,25468,730472,67474708,107.30,11240484,448064,141704,11014568,59992,7432,29052,111304,0,0,0.00,0,0.00,4,915,2.04,2.35,1.19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 01:45:11,46.66,0.00,1.09,0.96,0.03,0.00,0.00,0.00,0.00,51.26,0.00,3702.40,3650.00,0.00,0.00,0.00,124.80,237.80,0.00,113.60,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,249.60,48890744,0,13991020,22.25,25476,730564,67474708,107.30,12988532,448080,141924,12756384,60088,7416,32400,111304,0,0,0.00,0,0.00,4,913,2.19,2.38,1.20,0,3.00,0.00,249.60,83.20,0.18,58.67,14.67,4.40,1.60,1.60,0.15,0.12,0.00,0.00,0.00,0.00
2017-09-23 01:45:16,46.03,0.00,1.29,1.26,0.03,0.00,0.00,0.00,0.00,51.39,0.20,3842.80,3783.80,0.00,0.00,0.00,16124.80,441.80,0.00,41.20,0.00,0.00,0.00,0.00,116.60,0.00,116.60,0.00,25560.00,47144556,0,15737208,25.03,25484,730648,67558192,107.44,14752208,448096,62028,14501744,60136,7408,35748,111304,0,0,0.00,0,0.00,4,913,3.62,2.67,1.30,1,116.60,0.00,25560.00,219.21,15.79,52.35,1.02,11.84,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:45:21,48.37,0.00,1.37,0.66,0.03,0.00,0.03,0.00,0.00,49.56,0.80,5514.40,4364.40,0.00,0.00,0.00,9991.20,502.80,0.00,2909.60,0.00,0.00,0.00,0.00,106.00,0.00,106.00,0.00,26672.00,45463912,0,17417852,27.70,25496,730760,67558192,107.44,16433564,448120,12076,16178740,60048,7440,39176,111304,0,0,0.00,0,0.00,1,916,3.65,2.70,1.32,0,106.00,0.00,26672.00,251.62,8.86,175.00,1.25,13.20,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-23 01:45:26,48.51,0.00,0.38,0.03,0.05,0.00,0.00,0.00,0.00,51.04,0.20,3752.40,3642.20,0.00,0.00,0.00,136.00,764.40,0.00,248.60,0.00,0.00,0.00,0.00,9.20,0.00,9.20,0.00,272.00,44957604,0,17924160,28.50,25504,730864,67594552,107.49,16985988,448140,11892,16684064,60072,7440,40504,111304,0,0,0.00,0,0.00,2,916,3.68,2.72,1.33,0,9.20,0.00,272.00,29.57,0.04,3.83,0.78,0.72,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-23 01:45:31,47.64,0.00,0.68,0.03,0.00,0.00,0.03,0.00,0.00,51.63,0.00,4137.00,3973.60,0.00,0.00,0.00,2283.20,130.20,0.00,7749.40,0.00,0.00,0.00,0.00,19.80,0.00,19.80,0.00,4566.40,44427680,0,18454084,29.35,25512,730948,67594552,107.49,17477432,448168,760,17212272,60048,7424,41528,111304,0,0,0.00,0,0.00,5,914,3.54,2.71,1.34,0,19.80,0.00,4566.40,230.63,0.26,13.05,0.28,0.56,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:45:36,45.61,0.00,0.45,0.51,0.03,0.00,0.00,0.00,0.00,53.41,0.00,3781.40,3571.20,0.00,0.00,0.00,33.60,61.80,0.00,1662.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,67.20,44125628,0,18756136,29.83,25520,731036,67594552,107.49,17760420,448180,924,17513588,60204,7424,42144,111304,0,0,0.00,0,0.00,6,914,3.66,2.74,1.36,0,1.00,0.00,67.20,67.20,0.02,22.40,11.20,1.12,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
