timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 02:38:45,19.36,0.00,1.62,0.03,0.08,0.00,0.03,0.00,0.00,78.90,33.40,5494.60,5352.60,0.00,0.00,0.00,76.00,17426.00,0.00,21008.20,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,152.00,56958888,0,5922876,9.42,32824,3067504,8341864,13.27,3116736,2283336,260452,2304036,126540,5864,10304,111304,0,0,0.00,0,0.00,3,716,4.03,4.56,4.83,0,3.60,0.00,152.00,42.22,0.03,7.78,7.33,2.64,3.20,3.20,0.34,0.26,0.00,0.00,0.00,0.00
2017-09-23 02:38:50,29.90,0.00,1.61,0.05,0.03,0.00,0.00,0.00,0.00,68.41,31.40,3226.20,3544.00,0.00,0.00,0.00,2791.20,19091.80,0.00,7006.00,0.00,0.00,0.00,0.00,39.60,0.00,39.60,0.00,5582.40,56040944,0,6840820,10.88,32836,3067808,52323392,83.21,4045700,2273068,247240,3218468,127868,6856,13424,111304,0,0,0.00,0,0.00,6,846,3.79,4.50,4.81,0,39.60,0.00,5582.40,140.97,2.65,66.85,3.35,13.28,2.00,2.00,0.21,0.16,0.00,0.00,0.00,0.00
2017-09-23 02:38:55,21.89,0.00,1.06,5.92,0.03,0.00,0.00,0.00,0.00,71.11,25.40,4040.00,3811.20,0.00,0.00,0.00,6709.60,11886.60,0.00,5117.00,0.00,0.00,0.00,0.00,24.20,0.00,24.20,0.00,6097.60,55328112,0,7553652,12.01,32844,3067944,67024156,106.59,4747512,2273148,214356,3926500,128880,7424,15480,111304,0,0,0.00,0,0.00,2,918,3.89,4.51,4.81,1,24.20,0.00,6097.60,251.97,72.45,1045.29,20.73,50.16,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:39:00,4.11,0.00,0.35,40.30,0.03,0.00,0.00,0.00,0.00,55.21,2.80,3185.80,2263.80,0.00,0.00,0.00,4372.00,1037.60,0.00,3292.40,0.00,0.00,0.00,0.00,38.40,0.00,38.40,0.00,9830.40,55185104,0,7696660,12.24,32848,3080880,67063548,106.65,4889732,2279748,205556,4055864,129244,7536,15852,111304,0,0,0.00,0,0.00,0,927,3.74,4.46,4.79,7,38.40,0.00,9830.40,256.00,139.27,3341.62,26.04,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:39:05,33.10,0.00,1.08,36.53,0.03,0.00,0.00,0.00,0.00,29.27,4.20,3656.60,3171.00,0.00,0.00,0.00,6554.40,3843.60,0.00,1695.80,0.00,0.00,0.00,0.00,48.40,0.00,48.40,0.00,12225.60,53946152,0,8935612,14.21,32852,3089136,67293344,107.02,6071468,2278788,181112,5281624,129804,7624,18088,111304,0,0,0.00,0,0.00,7,939,4.00,4.51,4.80,2,48.40,0.00,12225.60,252.60,101.02,2379.82,20.66,100.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:39:10,58.94,0.00,2.22,23.13,0.03,0.00,0.03,0.00,0.00,15.66,5.60,5064.00,4499.60,0.00,0.00,0.00,3452.80,7389.00,0.00,29869.00,0.00,0.00,0.00,0.00,40.20,0.00,40.20,0.00,10241.60,52176668,0,10705096,17.02,32864,3099108,67473656,107.30,7833892,2287532,174704,7036528,130336,7800,21496,111304,0,0,0.00,0,0.00,1,961,4.16,4.53,4.81,6,40.20,0.00,10241.60,254.77,131.68,3063.30,24.88,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:39:15,62.23,0.00,0.80,25.77,0.00,0.00,0.00,0.00,0.00,11.20,0.00,2851.60,2890.20,0.00,0.00,0.00,6563.20,170.40,0.00,2037.00,0.00,0.00,0.00,0.00,48.80,0.00,48.80,0.00,12436.80,50919160,0,11962604,19.02,32872,3099148,67473656,107.30,9073884,2287180,142772,8290492,130252,7800,24128,111304,0,0,0.00,0,0.00,9,961,4.31,4.56,4.82,4,48.80,0.00,12436.80,254.85,107.93,2505.72,20.49,100.00,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:39:20,67.74,0.00,1.30,15.23,0.00,0.00,0.00,0.00,0.00,15.73,0.00,3319.60,3179.20,0.00,0.00,0.00,7000.80,395.80,0.00,35.80,0.00,0.00,0.00,0.00,46.60,0.00,46.60,0.00,11896.00,49422604,0,13459160,21.40,32876,3163580,67473656,107.30,10465560,2342924,172280,9720572,131960,7800,26904,111304,0,0,0.00,0,0.00,9,961,4.76,4.65,4.85,2,46.60,0.00,11896.00,255.28,103.25,2175.57,21.46,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:39:25,62.75,0.00,0.88,24.42,0.00,0.00,0.00,0.00,0.00,11.96,0.00,3037.60,2891.80,0.00,0.00,0.00,3996.80,200.60,0.00,214.80,0.00,0.00,0.00,0.00,52.60,0.00,52.60,0.00,11464.00,47921316,0,14960448,23.79,32880,3211896,67473656,107.30,11988612,2384600,200836,11169556,133352,7800,29840,111304,0,0,0.00,0,0.00,0,961,5.34,4.77,4.88,9,52.60,0.00,11464.00,217.95,143.41,2900.44,19.01,100.00,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-23 02:39:30,71.05,0.00,1.58,20.43,0.00,0.00,0.00,0.00,0.00,6.94,0.00,3170.00,3069.40,0.00,0.00,0.00,7175.20,209.80,0.00,498.80,0.00,0.00,0.00,0.00,48.40,0.00,48.40,0.00,10121.60,46242080,0,16639684,26.46,32884,3276324,67473656,107.30,13526808,2440368,229340,12780844,134940,7800,32892,111304,0,0,0.00,0,0.00,9,961,5.79,4.87,4.92,2,48.40,0.00,10121.60,209.12,127.12,2133.90,20.66,100.00,1.60,1.60,0.15,0.12,0.00,0.00,0.00,0.00
2017-09-23 02:39:35,53.92,0.00,0.65,33.91,0.03,0.00,0.00,0.00,0.00,11.50,0.00,2875.00,2644.00,0.00,0.00,0.00,3324.80,138.60,0.00,126.60,0.00,0.00,0.00,0.00,47.80,0.00,47.80,0.00,11892.80,45030884,0,17850880,28.39,32888,3292440,67473656,107.30,14759996,2454188,229244,13972828,135404,7792,35288,111304,0,0,0.00,0,0.00,1,960,6.05,4.94,4.94,7,47.80,0.00,11892.80,248.80,118.10,2897.12,20.92,100.00,1.40,1.20,0.12,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:39:40,59.16,0.00,2.32,15.00,0.03,0.00,0.03,0.00,0.00,23.48,0.00,4334.60,3646.20,0.00,0.00,0.00,5200.00,4068.60,0.00,26442.80,0.00,0.00,0.00,0.00,50.40,0.00,50.40,0.00,12492.80,43696648,0,19185116,30.51,32900,3099388,67514724,107.37,16253324,2285492,10748,15496476,131020,7792,38160,111304,0,0,0.00,0,0.00,9,960,6.21,4.99,4.95,0,50.40,0.00,12492.80,247.87,88.68,2440.16,16.86,84.96,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:39:45,97.50,0.00,1.90,0.00,0.03,0.00,0.00,0.00,0.00,0.58,0.40,3460.60,3724.60,0.00,0.00,0.00,2100.00,333.20,0.00,24347.60,0.00,0.00,0.00,0.00,17.80,0.00,17.80,0.00,4200.00,41604560,0,21277204,33.84,32908,3163812,67514724,107.37,18302828,2341736,65484,17521568,132448,7760,42260,111304,0,0,0.00,0,0.00,12,956,6.35,5.04,4.97,0,17.80,0.00,4200.00,235.96,0.25,14.25,0.85,1.52,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:39:50,99.02,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,2808.80,3178.00,0.00,0.00,0.00,29.60,113.20,0.00,332.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,59.20,40635468,0,22246296,35.38,32916,3228208,67514724,107.37,19212268,2397956,129920,18422876,134080,7736,44068,111304,0,0,0.00,0,0.00,9,953,6.64,5.12,5.00,0,0.60,0.00,59.20,98.67,0.02,40.00,20.00,1.20,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:39:55,99.38,0.00,0.43,0.00,0.00,0.00,0.03,0.00,0.00,0.18,0.00,2969.20,3236.60,0.00,0.00,0.00,100.80,44.00,0.00,625.20,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,201.60,40437328,0,22444436,35.69,32924,3292624,67514724,107.37,19413436,2454176,194200,18554416,135916,7720,44328,111304,0,0,0.00,0,0.00,10,951,6.75,5.17,5.01,0,5.00,0.00,201.60,40.32,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:40:00,93.56,0.00,1.28,0.00,0.00,0.00,0.05,0.00,0.00,5.11,0.20,4082.00,4012.00,0.00,0.00,0.00,116.80,1142.20,0.00,4592.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,233.60,40114960,0,22766804,36.21,32932,3448172,67514724,107.37,19662684,2532604,349692,18716240,138848,7712,44632,111304,0,0,0.00,0,0.00,9,950,6.85,5.22,5.03,0,2.00,0.00,233.60,116.80,0.01,4.80,2.40,0.48,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-23 02:40:05,94.66,0.00,1.33,0.03,0.00,0.00,0.03,0.00,0.00,3.96,0.00,4155.20,3914.00,0.00,0.00,0.00,218.40,899.80,0.00,23138.20,0.00,0.00,0.00,0.00,15.80,0.00,15.80,0.00,436.80,39720036,0,23161728,36.83,32940,3545340,67514724,107.37,20010328,2576960,446500,19009072,143028,7688,45252,111304,0,0,0.00,0,0.00,8,947,7.26,5.33,5.07,0,15.80,0.00,436.80,27.65,0.06,3.65,1.37,2.16,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-23 02:40:10,99.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,2958.00,3303.40,0.00,0.00,0.00,65.60,28.00,0.00,24.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,131.20,39622276,0,23259488,36.99,32956,3642300,67514724,107.37,20022940,2661520,543544,19009380,145792,7680,45252,111304,0,0,0.00,0,0.00,9,946,7.40,5.39,5.09,0,0.80,0.00,131.20,164.00,0.00,2.00,1.00,0.08,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:40:15,95.37,0.00,1.10,0.08,0.00,0.00,0.05,0.00,0.00,3.41,0.40,4052.40,4083.60,0.00,0.00,0.00,4252.80,640.00,0.00,27991.20,0.00,0.00,0.00,0.00,33.80,0.00,33.80,0.00,8505.60,39722792,0,23158972,36.83,32968,3421768,67514724,107.37,20079732,2510308,302532,19135528,139920,7696,45500,111304,0,0,0.00,0,0.00,9,948,7.53,5.45,5.11,0,33.80,0.00,8505.60,251.64,37.13,1098.63,8.43,28.48,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 02:40:20,91.38,0.00,0.85,0.43,0.00,0.00,0.05,0.00,0.00,7.30,0.40,3790.00,3837.40,0.00,0.00,0.00,10713.60,822.80,0.00,12216.80,0.00,0.00,0.00,0.00,56.80,0.00,56.80,0.00,14404.80,39770452,0,23111312,36.75,32968,3357440,67514724,107.37,20084204,2454280,184884,19150184,138840,7696,45532,111304,0,0,0.00,0,0.00,0,947,7.57,5.49,5.13,1,56.80,0.00,14404.80,253.61,34.63,213.10,4.06,23.04,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 02:40:25,98.32,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.78,0.00,3256.20,3768.20,0.00,0.00,0.00,37059.20,76.00,0.00,887.40,0.00,0.00,0.00,0.00,338.20,0.00,338.20,0.00,81140.80,39675444,0,23206320,36.90,32976,3454140,67514724,107.37,20098532,2538652,96868,19150244,140764,7688,45532,111304,0,0,0.00,0,0.00,9,947,7.68,5.55,5.15,0,338.20,0.00,81140.80,239.92,55.25,229.98,1.22,41.12,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 02:40:30,94.96,0.00,0.78,0.00,0.00,0.00,0.05,0.00,0.00,4.21,0.00,3802.60,3759.40,0.00,0.00,0.00,75.20,849.40,0.00,13129.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,150.40,39671776,0,23209988,36.91,32984,3422032,67514724,107.37,20129996,2510380,65136,19185564,140348,7688,45596,111304,0,0,0.00,0,0.00,8,947,7.79,5.61,5.17,0,0.80,0.00,150.40,188.00,0.00,3.00,1.00,0.08,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
