timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 02:08:40,16.58,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,82.17,47.80,2154.80,2269.20,0.00,0.00,0.00,89.60,30519.40,0.00,31694.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,179.20,54019256,0,8862508,14.09,182256,6059388,7106648,11.30,3605788,4591588,420,1963516,265064,5288,9672,111368,0,0,0.00,0,0.00,1,635,3.20,4.79,4.56,0,2.60,0.00,179.20,68.92,0.00,0.00,0.00,0.00,7.00,7.00,0.54,1.81,0.00,0.00,0.00,0.00
2017-09-24 02:08:45,14.56,0.00,1.85,0.03,0.00,0.00,0.05,0.00,0.00,83.51,6.80,1618.00,1605.60,0.00,0.00,0.00,47.20,4943.60,0.00,43153.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,94.40,54360444,0,8521320,13.55,182264,5476736,7137380,11.35,3988072,3894568,154344,2222988,245264,5448,10672,111368,0,0,0.00,0,0.00,1,668,3.02,4.73,4.54,0,1.60,0.00,94.40,59.00,0.00,0.50,0.50,0.08,8.00,7.60,0.43,2.35,0.00,0.00,0.00,0.00
2017-09-24 02:08:50,13.74,0.00,2.67,0.82,0.10,0.00,0.10,0.00,0.00,82.56,14.00,8640.00,9058.00,0.00,0.00,0.00,39359.20,11275.00,0.00,21910.60,0.00,0.00,0.00,0.00,322.80,0.00,322.80,0.00,78718.40,53641828,0,9239936,14.69,182268,5908888,8487688,13.50,4425972,4169680,394704,2504924,249420,5704,11376,111368,0,0,0.00,0,0.00,1,698,2.94,4.68,4.53,0,322.80,0.00,78718.40,243.86,12.56,38.92,0.30,9.84,4.20,4.20,0.29,0.97,0.00,0.00,0.00,0.00
2017-09-24 02:08:55,28.15,0.00,1.43,0.03,0.03,0.00,0.00,0.00,0.00,70.37,35.00,2525.00,2888.40,0.00,0.00,0.00,67.20,23892.80,0.00,12771.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,134.40,52608316,0,10273448,16.34,182272,5903752,13640520,21.69,5452212,4160532,395204,3539728,250208,6440,14624,111368,0,0,0.00,0,0.00,7,836,2.86,4.64,4.51,0,1.20,0.00,134.40,112.00,0.00,1.33,0.67,0.08,6.20,6.20,0.49,1.20,0.00,0.00,0.00,0.00
2017-09-24 02:09:00,19.59,0.00,1.25,0.00,0.05,0.00,0.00,0.00,0.00,79.11,21.40,2193.20,2396.60,0.00,0.00,0.00,38.40,14009.20,0.00,11692.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,76.80,51919128,0,10962636,17.43,182276,5898856,15309140,24.35,6153008,4155948,395504,4228164,251952,7128,16964,111368,0,0,0.00,0,0.00,3,879,2.79,4.59,4.50,0,0.60,0.00,76.80,128.00,0.00,2.67,1.33,0.08,6.40,6.40,0.51,1.05,0.00,0.00,0.00,0.00
2017-09-24 02:09:05,20.26,0.00,0.60,0.98,0.00,0.00,0.00,0.00,0.00,78.16,2.00,2715.40,2934.20,0.00,0.00,0.00,2576.80,6128.20,0.00,10325.20,0.00,0.00,0.00,0.00,238.80,0.00,238.80,0.00,5153.60,51717888,0,11163876,17.75,183448,5897328,15389640,24.47,6355832,4153428,396524,4428924,251832,7136,17608,111368,0,0,0.00,0,0.00,2,878,2.65,4.53,4.48,0,238.80,0.00,5153.60,21.58,0.17,0.72,0.64,15.36,3.40,4.00,0.25,0.82,0.00,0.00,0.00,0.00
2017-09-24 02:09:10,29.41,0.00,3.22,1.11,0.03,0.00,0.13,0.00,0.00,66.11,4.20,18122.00,4246.80,0.00,0.00,0.00,27078.40,14820.60,0.00,23509.20,0.00,0.00,0.00,0.00,225.80,0.00,225.80,0.00,47449.60,51174148,0,11707616,18.62,183628,6244816,15522888,24.69,6677264,4367124,614880,4619560,254904,7176,17772,111368,0,0,0.00,0,0.00,2,891,2.52,4.47,4.46,3,226.20,0.00,47552.00,210.22,7.12,29.19,0.35,7.84,24.80,24.00,1.31,6.37,0.00,0.00,0.00,0.00
2017-09-24 02:09:15,62.56,0.00,4.52,3.45,0.05,0.00,0.05,0.00,0.00,29.38,10.00,6013.20,6220.80,0.00,0.00,2137.60,44155.20,9891.00,0.00,12007.80,0.00,0.00,0.00,0.00,391.00,16.80,374.20,4275.20,95017.60,48312108,0,14569656,23.17,183640,6605620,18531804,29.47,9297452,4506388,748800,7086000,265900,7480,21084,111368,0,0,0.00,0,0.00,26,921,3.44,4.63,4.51,0,390.60,4275.20,94915.20,253.94,37.82,98.15,0.73,28.32,2.80,2.80,0.19,0.51,0.00,0.00,0.00,0.00
2017-09-24 02:09:20,92.23,0.00,5.52,0.05,0.03,0.00,0.28,0.00,0.00,1.91,0.00,7334.80,5529.20,0.00,0.00,9011.20,78906.40,2496.40,0.00,14471.40,0.00,0.00,0.00,0.00,700.60,70.40,630.20,18022.40,157102.40,42480408,0,20401356,32.44,183648,6645736,26988096,42.92,15146972,4546236,354464,12886832,266628,7472,32500,111368,0,0,0.00,0,0.00,8,920,3.88,4.70,4.54,0,700.60,18022.40,157102.40,249.96,60.71,85.45,0.63,43.84,1.20,1.20,0.11,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:09:25,93.49,0.00,4.51,0.00,0.00,0.00,0.30,0.00,0.00,1.70,1.60,6750.80,5433.80,0.00,0.00,13107.20,260.80,1711.40,0.00,4119.80,0.00,0.00,0.00,0.00,135.40,102.40,33.00,26214.40,1232.00,38205396,0,24676368,39.24,183656,6723740,30314148,48.21,19332452,4623916,371064,17072480,266804,7480,41328,111368,0,0,0.00,0,0.00,14,921,4.37,4.79,4.57,0,135.40,26214.40,1232.00,202.71,0.50,9.87,0.28,3.76,2.20,2.20,0.19,0.33,0.00,0.00,0.00,0.00
