timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 19:56:23,17.73,0.00,1.95,0.03,0.08,0.00,0.13,0.00,0.00,80.10,32.40,5954.80,6111.40,0.00,0.00,0.00,37.60,15555.40,0.00,21746.80,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,179.20,59134044,0,3747720,5.96,71308,1034596,8558624,13.61,2668496,594984,260428,2160528,90472,5504,9820,111368,0,0,0.00,0,0.00,3,680,3.60,2.37,3.58,0,3.80,0.00,179.20,47.16,0.00,1.05,0.63,0.24,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 19:56:28,16.56,0.00,0.80,0.00,0.03,0.00,0.00,0.00,0.00,82.61,11.80,2315.20,2349.80,0.00,0.00,0.00,60.80,10641.60,0.00,6710.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,121.60,58658292,0,4223472,6.72,71316,1034632,23247288,36.97,3151000,585664,260556,2632876,90408,5728,11380,111368,0,0,0.00,0,0.00,1,728,3.31,2.33,3.56,0,1.40,0.00,121.60,86.86,0.00,0.57,0.57,0.08,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-23 19:56:33,38.12,0.00,1.99,0.00,0.03,0.00,0.00,0.00,0.00,59.86,41.60,4325.40,4510.00,0.00,0.00,0.00,32.00,20936.60,0.00,6811.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,64.00,57516644,0,5365120,8.53,71320,1035048,67212752,106.89,4291556,583172,260976,3768356,92780,7016,15148,111368,0,0,0.00,0,0.00,3,875,3.45,2.37,3.57,0,0.80,0.00,64.00,80.00,0.00,1.00,1.00,0.08,3.20,3.20,0.33,0.32,0.00,0.00,0.00,0.00
2017-09-23 19:56:38,48.18,0.00,4.88,0.00,0.05,0.00,0.00,0.00,0.00,46.89,10.40,4589.80,4762.20,0.00,0.00,0.00,2077.60,5609.60,0.00,37727.60,0.00,0.00,0.00,0.00,27.00,0.00,27.00,0.00,4155.20,50786284,0,12095480,19.24,71324,1056204,67396580,107.18,10930072,589024,271856,10463244,93464,7328,27312,111368,0,0,0.00,0,0.00,4,902,3.49,2.40,3.57,0,27.00,0.00,4155.20,153.90,0.13,4.65,0.21,0.56,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 19:56:43,48.15,0.00,5.82,0.03,0.00,0.00,0.00,0.00,0.00,46.01,0.00,3165.60,2955.80,0.00,0.00,0.00,44.80,1190.60,0.00,160816.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,89.60,42684344,0,20197420,32.12,71332,1056228,67396580,107.18,18996204,589044,272108,18549844,93444,7296,44144,111368,0,0,0.00,0,0.00,4,898,3.53,2.43,3.58,0,0.60,0.00,89.60,149.33,0.00,2.67,2.67,0.16,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:56:48,51.13,0.00,2.47,0.00,0.00,0.00,0.00,0.00,0.00,46.40,0.00,3042.60,2895.40,0.00,0.00,0.00,22.40,635.00,0.00,188020.40,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,44.80,40719628,0,22162136,35.24,71340,1056256,67396580,107.18,21010088,589052,272052,20510504,93456,7240,48268,111368,0,0,0.00,0,0.00,4,891,3.57,2.45,3.58,0,2.20,0.00,44.80,20.36,0.00,0.36,0.36,0.08,1.20,1.20,0.11,0.16,0.00,0.00,0.00,0.00
2017-09-23 19:56:53,52.27,0.00,3.58,1.61,0.03,0.00,0.00,0.00,0.00,42.52,0.00,2970.20,3142.40,0.00,0.00,0.00,52053.60,885.00,0.00,296174.00,0.00,0.00,0.00,0.00,387.60,0.00,387.60,0.00,98281.60,38350820,0,24530944,39.01,71344,1056280,67396580,107.18,23356036,589064,12368,22874824,93468,7240,52728,111368,0,0,0.00,0,0.00,4,891,3.60,2.48,3.58,0,387.80,0.00,98332.80,253.57,23.63,56.22,0.43,16.80,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-23 19:56:58,52.73,0.00,2.77,0.53,0.00,0.00,0.00,0.00,0.00,43.97,0.40,2941.60,2672.60,0.00,0.00,0.00,48.80,808.00,0.00,241660.20,0.00,0.00,0.00,0.00,28.60,0.00,28.60,0.00,5923.20,36666664,0,26215100,41.69,71344,1056308,67396580,107.18,25015940,589068,12068,24555176,93424,7248,55220,111368,0,0,0.00,0,0.00,4,892,3.64,2.50,3.58,0,28.40,0.00,5872.00,206.76,1.38,112.93,0.76,2.16,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:57:03,52.00,0.00,1.13,0.00,0.03,0.00,0.00,0.00,0.00,46.84,0.00,2951.60,2596.60,0.00,0.00,0.00,72.80,297.00,0.00,101323.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,35981624,0,26900140,42.78,71352,1056336,67396580,107.18,25710060,589092,12008,25239048,93448,7248,56764,111368,0,0,0.00,0,0.00,4,892,3.67,2.53,3.59,0,0.40,0.00,22.40,56.00,0.03,0.00,2.00,0.08,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:57:08,46.99,0.00,1.66,0.00,0.03,0.00,0.00,0.00,0.00,51.32,0.60,3188.80,3043.60,0.00,0.00,0.00,12.00,440.60,0.00,135269.20,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,147.20,34875460,0,28006304,44.54,71356,1056360,67396580,107.18,26845416,589056,11820,26343624,93536,7248,59536,111368,0,0,0.00,0,0.00,1,893,3.61,2.54,3.58,0,8.20,0.00,147.20,17.95,0.02,6.54,0.10,0.08,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 19:57:13,13.58,0.00,1.26,0.03,0.03,0.00,0.00,0.00,0.00,85.11,0.00,2993.80,2084.00,0.00,0.00,0.00,2250.40,266.00,0.00,112389.20,0.00,0.00,0.00,0.00,19.60,0.00,19.60,0.00,4500.80,34536592,0,28345172,45.08,71364,1056388,67396580,107.18,27191648,589076,648,26681640,93472,7240,60244,111368,0,0,0.00,0,0.00,2,891,3.40,2.51,3.57,0,19.60,0.00,4500.80,229.63,0.22,11.39,0.29,0.56,0.80,0.80,0.08,0.06,0.00,0.00,0.00,0.00
2017-09-23 19:57:18,50.79,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,48.68,1.00,3815.00,3904.80,0.00,0.00,0.00,76.00,4743.40,0.00,5061.00,0.00,0.00,0.00,0.00,7.60,0.00,7.60,0.00,152.00,34413072,0,28468692,45.27,71372,1057104,67530296,107.39,27341196,588912,1052,26801724,93432,7280,60480,111368,0,0,0.00,0,0.00,6,896,3.45,2.54,3.57,0,7.60,0.00,152.00,20.00,0.00,0.53,0.21,0.16,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:57:23,54.63,0.00,3.22,0.00,0.03,0.00,0.00,0.00,0.00,42.12,0.00,3186.20,2894.20,0.00,0.00,0.00,55.20,761.60,0.00,260472.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,110.40,32174756,0,30707008,48.83,71380,1057132,67530296,107.39,29491004,588928,1324,29035404,93440,7248,64900,111368,0,0,0.00,0,0.00,5,892,3.50,2.56,3.57,0,1.00,0.00,110.40,110.40,0.00,0.80,0.80,0.08,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-23 19:57:28,52.23,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00,46.43,0.00,3270.20,2643.20,0.00,0.00,0.00,53.60,349.00,0.00,121412.60,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,107.20,31271744,0,31610020,50.27,71388,1057156,67530296,107.39,30437172,588948,1164,29936508,93492,7232,66600,111368,0,0,0.00,0,0.00,6,890,3.46,2.57,3.57,0,2.20,0.00,107.20,48.73,0.00,0.36,0.36,0.08,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:57:33,51.57,0.00,0.10,0.00,0.03,0.00,0.00,0.00,0.00,48.30,0.00,3312.80,2456.40,0.00,0.00,0.00,13.60,18.00,0.00,46.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,27.20,31272040,0,31609724,50.27,71392,1057184,67530296,107.39,30469784,588960,1208,29936320,93500,7208,66600,111368,0,0,0.00,0,0.00,4,887,3.50,2.59,3.57,0,1.00,0.00,27.20,27.20,0.00,0.00,0.00,0.00,1.80,1.80,0.16,0.20,0.00,0.00,0.00,0.00
2017-09-23 19:57:38,52.13,0.00,0.10,0.05,0.03,0.00,0.00,0.00,0.00,47.69,0.00,3375.60,2821.00,0.00,0.00,0.00,20.80,20.00,0.00,252.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,41.60,31276160,0,31605604,50.26,71396,1057208,67530296,107.39,30469556,588972,1220,29931972,93508,7176,66600,111368,0,0,0.00,0,0.00,5,883,3.54,2.62,3.58,0,1.20,0.00,41.60,34.67,0.01,10.00,2.00,0.24,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:57:43,51.57,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,48.37,0.00,3085.00,2431.20,0.00,0.00,0.00,19.20,14.80,0.00,23.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,38.40,31276144,0,31605620,50.26,71404,1057236,67530296,107.39,30469572,588984,1216,29931980,93524,7176,66592,111368,0,0,0.00,0,0.00,6,883,3.58,2.64,3.58,0,2.40,0.00,38.40,16.00,0.00,0.00,0.00,0.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:57:48,47.96,0.00,0.10,0.00,0.03,0.00,0.00,0.00,0.00,51.92,0.00,3309.20,2646.60,0.00,0.00,0.00,4.00,21.00,0.00,84.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,31276144,0,31605620,50.26,71412,1057264,67530296,107.39,30469608,589008,1264,29932004,93536,7176,66592,111368,0,0,0.00,0,0.00,4,883,3.61,2.66,3.58,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.16,0.00,0.00,0.00,0.00
2017-09-23 19:57:53,52.09,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,47.86,0.00,3135.40,2744.60,0.00,0.00,0.00,201.60,18.00,0.00,135.80,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,403.20,31272104,0,31609660,50.27,71420,1057296,67530296,107.39,30471620,589028,472,29936044,93488,7168,66596,111368,0,0,0.00,0,0.00,5,882,3.64,2.68,3.58,0,5.20,0.00,403.20,77.54,0.00,0.31,0.15,0.08,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-23 19:57:58,51.47,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.43,0.40,2996.80,2568.20,0.00,0.00,0.00,16.00,27.40,0.00,31.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,32.00,31269956,0,31611808,50.27,71428,1057324,67530296,107.39,30473772,589048,508,29938188,93456,7176,66604,111368,0,0,0.00,0,0.00,4,883,4.23,2.82,3.62,0,1.20,0.00,32.00,26.67,0.00,0.00,0.00,0.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:58:03,51.50,0.00,0.08,0.00,0.05,0.00,0.00,0.00,0.00,48.38,0.00,3088.60,2555.00,0.00,0.00,0.00,53.60,17.40,0.00,290.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,107.20,31274920,0,31606844,50.26,71432,1057348,67530296,107.39,30468692,589060,340,29933108,93428,7176,66604,111368,0,0,0.00,0,0.00,4,883,4.21,2.84,3.63,0,1.60,0.00,107.20,67.00,0.00,0.50,0.50,0.08,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:58:08,51.30,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,48.63,0.00,2965.40,2459.20,0.00,0.00,0.00,28.80,18.00,0.00,28.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,57.60,31275036,0,31606728,50.26,71440,1057368,67530296,107.39,30468636,589072,364,29933040,93452,7168,66596,111368,0,0,0.00,0,0.00,4,882,4.20,2.86,3.63,0,1.40,0.00,57.60,41.14,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 19:58:13,51.45,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,48.43,0.00,3157.40,2670.60,0.00,0.00,0.00,4.00,13.00,0.00,34.60,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,8.00,31275236,0,31606528,50.26,71440,1057400,67530296,107.39,30470716,589092,408,29933060,93288,7168,66596,111368,0,0,0.00,0,0.00,4,882,4.18,2.88,3.63,0,0.20,0.00,8.00,40.00,0.00,0.00,0.00,0.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:58:18,50.77,0.00,0.08,0.00,0.03,0.00,0.00,0.00,0.00,49.13,0.00,3042.00,2690.20,0.00,0.00,0.00,4.80,14.40,0.00,30.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,31275056,0,31606708,50.26,71444,1057428,67530296,107.39,30470744,589104,440,29933072,93352,7168,66596,111368,0,0,0.00,0,0.00,3,882,4.17,2.90,3.63,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,1.20,1.20,0.11,0.16,0.00,0.00,0.00,0.00
