timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 01:38:31,11.78,0.00,0.81,12.11,0.03,0.00,0.00,0.00,0.00,75.28,20.60,1631.60,2633.40,0.00,0.00,0.00,133720.80,15365.60,0.00,16223.00,0.00,0.00,0.00,0.00,1045.80,0.00,1045.80,0.00,267595.20,45625648,0,17256116,27.44,130140,14237824,6686772,10.63,3997868,12394588,2009656,2026348,472148,5080,9284,111368,0,0,0.00,0,0.00,0,619,5.53,5.15,4.79,1,1046.00,0.00,267646.40,255.88,140.70,135.31,0.96,100.00,2.60,2.60,0.18,0.43,0.00,0.00,0.00,0.00
2017-09-24 01:38:36,5.53,0.00,0.40,13.97,0.00,0.00,0.00,0.00,0.00,80.11,7.40,1251.20,1378.60,0.00,0.00,0.80,38864.00,4963.80,0.00,15088.20,0.00,0.00,0.00,0.00,304.40,0.20,304.20,1.60,77779.20,45598440,0,17283324,27.49,130152,14237860,6661528,10.59,4003840,12394608,1815508,2053244,471964,5056,9204,111368,0,0,0.00,0,0.00,1,615,5.25,5.10,4.78,1,304.20,1.60,77728.00,255.52,128.71,393.46,3.29,100.00,0.80,0.80,0.04,0.22,0.00,0.00,0.00,0.00
2017-09-24 01:38:41,0.78,0.00,0.13,16.29,0.03,0.00,0.00,0.00,0.00,82.79,5.00,937.00,745.80,0.00,0.00,0.00,18092.80,2518.80,0.00,11116.00,0.00,0.00,0.00,0.00,140.40,0.00,140.40,0.00,35827.20,45794124,0,17087640,27.17,130152,14237884,6006408,9.55,3830368,12394584,1725060,1856272,471896,4864,8584,111368,0,0,0.00,0,0.00,2,595,4.99,5.04,4.76,1,140.40,0.00,35827.20,255.18,130.96,998.58,7.12,100.00,1.60,1.60,0.13,0.31,0.00,0.00,0.00,0.00
2017-09-24 01:38:46,3.11,0.00,0.40,13.25,0.03,0.00,0.00,0.00,0.00,83.21,22.00,1274.40,1209.80,0.00,0.00,0.80,25013.60,13068.20,0.00,4349.80,0.00,0.00,0.00,0.00,196.80,0.20,196.60,1.60,50232.00,45703660,0,17178104,27.32,130160,14237916,7105908,11.30,3921520,12394624,1600276,1948152,471828,5024,9704,111368,0,0,0.00,0,0.00,1,611,4.75,4.99,4.75,1,196.80,1.60,50232.00,255.25,141.00,634.26,5.08,100.00,2.40,2.40,0.24,0.23,0.00,0.00,0.00,0.00
2017-09-24 01:38:51,13.23,0.00,0.48,13.64,0.00,0.00,0.00,0.00,0.00,72.65,7.40,1500.40,1717.00,0.00,0.00,0.80,24292.80,5596.40,0.00,6898.20,0.00,0.00,0.00,0.00,191.40,0.20,191.20,1.60,48840.00,45396316,0,17485448,27.81,130164,14237960,7136912,11.35,4229664,12394636,1478952,2256280,471724,5248,10724,111368,0,0,0.00,0,0.00,0,642,4.53,4.94,4.73,2,191.40,1.60,48840.00,255.18,140.98,788.01,5.22,100.00,7.80,8.00,0.42,2.50,0.00,0.00,0.00,0.00
2017-09-24 01:38:56,3.43,0.00,1.78,20.53,0.00,0.00,0.00,0.00,0.00,74.25,0.00,1098.40,993.80,0.00,0.00,0.80,19135.20,22.00,0.00,19.60,0.00,0.00,0.00,0.00,170.80,0.20,170.60,1.60,43624.00,45194580,0,17687184,28.13,130168,14434076,7136912,11.35,4425876,12394636,1579296,2256352,477204,5248,10724,111368,0,0,0.00,0,0.00,0,642,4.32,4.89,4.72,3,170.80,1.60,43624.00,255.42,140.56,803.06,5.85,100.00,0.20,0.20,0.01,0.05,0.00,0.00,0.00,0.00
2017-09-24 01:39:01,0.03,0.00,0.03,13.63,0.00,0.00,0.00,0.00,0.00,86.32,0.00,865.60,640.60,0.00,0.00,0.80,22397.60,12.00,0.00,48.20,0.00,0.00,0.00,0.00,150.80,0.20,150.60,1.60,38424.00,45194256,0,17687508,28.13,130180,14434108,7136912,11.35,4425648,12394648,1467652,2256048,477188,5216,10724,111368,0,0,0.00,0,0.00,0,636,4.14,4.85,4.70,1,150.80,1.60,38424.00,254.81,142.37,913.93,6.63,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-24 01:39:06,0.10,0.00,0.08,16.63,0.03,0.00,0.00,0.00,0.00,83.17,0.20,872.60,925.80,0.00,0.00,0.00,55718.40,29.60,0.00,21.00,0.00,0.00,0.00,0.00,438.40,0.00,438.40,0.00,111947.20,45194396,0,17687368,28.13,130184,14434136,7136912,11.35,4425528,12394664,1189220,2255912,477188,5200,10724,111368,0,0,0.00,0,0.00,2,637,3.97,4.80,4.69,1,438.80,0.00,112049.60,255.35,133.47,340.28,2.28,100.00,0.40,0.60,0.02,0.14,0.00,0.00,0.00,0.00
2017-09-24 01:39:11,2.83,0.00,0.48,12.79,0.03,0.00,0.03,0.00,0.00,83.85,1.00,3651.00,3537.80,0.00,0.00,1.60,47848.00,171.00,0.00,5829.60,0.00,0.00,0.00,0.00,378.80,0.40,378.40,3.20,96440.00,45052512,0,17829252,28.35,130196,14566376,7136912,11.35,4439364,12519232,1082448,2262736,480752,5232,10748,111368,0,0,0.00,0,0.00,0,639,3.81,4.75,4.67,2,378.40,3.20,96337.60,254.60,141.80,330.83,2.64,100.00,0.60,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-24 01:39:16,0.75,0.00,0.28,22.12,0.00,0.00,0.00,0.00,0.00,76.85,1.00,2058.80,1704.60,0.00,0.00,0.00,19946.40,43.20,0.00,3144.40,0.00,0.00,0.00,0.00,160.00,0.00,160.00,0.00,40116.80,44983032,0,17898732,28.46,130196,14631820,7136912,11.35,4444528,12580420,1048100,2265044,482676,5232,10752,111368,0,0,0.00,0,0.00,0,639,3.74,4.72,4.67,2,160.00,0.00,40116.80,250.73,138.25,776.04,6.25,100.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
