timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 01:29:11,17.31,0.00,0.70,0.00,0.03,0.00,0.00,0.00,0.00,81.96,29.00,1914.40,2009.20,0.00,0.00,0.00,76.80,17933.40,0.00,26769.00,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,153.60,52131124,0,10750640,17.10,129016,7875396,6669152,10.61,3675348,6377148,196,2058108,297552,5008,8976,111368,0,0,0.00,0,0.00,0,620,3.89,3.99,4.47,0,6.60,0.00,153.60,23.27,0.00,0.12,0.12,0.08,3.00,3.00,0.20,0.50,0.00,0.00,0.00,0.00
2017-09-24 01:29:16,16.41,0.00,0.91,0.03,0.00,0.00,0.00,0.00,0.00,82.66,33.60,1969.40,2051.80,0.00,0.00,0.00,56.80,20850.80,0.00,20834.60,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,113.60,51937860,0,10943904,17.40,129016,7870220,7244200,11.52,3879660,6372044,92,2254644,297720,5344,10696,111368,0,0,0.00,0,0.00,2,655,3.66,3.94,4.45,0,6.60,0.00,113.60,17.21,0.02,3.64,0.12,0.08,11.20,11.00,0.73,2.88,0.00,0.00,0.00,0.00
2017-09-24 01:29:21,3.91,0.00,1.71,6.87,0.03,0.00,0.00,0.00,0.00,87.49,0.20,1170.80,1069.00,0.00,0.00,0.80,28736.00,97.40,0.00,300.60,0.00,0.00,0.00,0.00,199.60,0.20,199.40,1.60,50867.20,51743544,0,11138220,17.71,129024,8061196,7244200,11.52,4079260,6367328,53156,2256424,300232,5360,10696,111368,0,0,0.00,0,0.00,0,656,3.44,3.89,4.43,1,199.60,1.60,50867.20,254.85,79.62,361.03,2.83,56.40,1.00,1.00,0.08,0.18,0.00,0.00,0.00,0.00
2017-09-24 01:29:26,4.67,0.00,1.00,10.64,0.08,0.00,0.10,0.00,0.00,83.52,5.40,6381.80,6097.00,0.00,0.00,0.00,10596.80,605.00,0.00,8611.60,0.00,0.00,0.00,0.00,110.80,0.00,110.80,0.00,27732.80,51429296,0,11452468,18.21,129028,8362984,7193400,11.44,4095644,6657088,307268,2261256,307452,5312,10720,111368,0,0,0.00,0,0.00,0,664,3.33,3.86,4.42,2,110.80,0.00,27747.20,250.43,69.21,692.86,5.56,61.60,3.40,3.20,0.20,1.47,0.00,0.00,0.00,0.00
2017-09-24 01:29:31,18.55,0.00,1.83,0.00,0.03,0.00,0.00,0.00,0.00,79.59,19.60,2547.60,2857.20,0.00,0.00,0.00,0.80,16785.80,0.00,17598.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,67.20,50776096,0,12105668,19.25,129040,8445552,10190804,16.21,4759100,6634772,394928,2825200,310868,5736,12656,111368,0,0,0.00,0,0.00,3,726,3.30,3.85,4.41,0,0.60,0.00,52.80,88.00,0.00,0.00,0.00,0.00,5.80,5.80,0.43,1.15,0.00,0.00,0.00,0.00
2017-09-24 01:29:36,40.67,0.00,2.24,0.03,0.00,0.00,0.00,0.00,0.00,57.06,46.20,3033.80,3777.20,0.00,0.00,0.00,65.60,32628.00,0.00,22710.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,131.20,49327796,0,13553968,21.55,129068,8440920,15599032,24.81,6208136,6628828,395480,4269072,313800,7208,17100,111368,0,0,0.00,0,0.00,1,878,3.68,3.91,4.43,0,1.20,0.00,131.20,109.33,0.00,0.67,0.67,0.08,8.00,8.00,0.64,1.44,0.00,0.00,0.00,0.00
2017-09-24 01:29:41,13.72,0.00,2.71,14.58,0.03,0.00,0.05,0.00,0.00,68.91,3.20,17536.60,2407.40,0.00,0.00,0.80,22270.40,7725.40,0.00,18712.00,0.00,0.00,0.00,0.00,142.40,0.20,142.20,1.60,36348.80,48734248,0,14147516,22.50,129080,8788248,15722784,25.00,6582104,6837604,637588,4502344,323740,7072,17676,111368,0,0,0.00,0,0.00,1,869,3.70,3.92,4.42,4,142.40,1.60,36348.80,255.27,116.71,731.38,5.81,82.72,5.00,5.00,0.31,1.08,0.00,0.00,0.00,0.00
2017-09-24 01:29:46,0.33,0.00,0.13,24.71,0.03,0.00,0.00,0.00,0.00,74.82,0.00,1257.20,938.40,0.00,0.00,0.80,24317.60,28.00,0.00,1258.80,0.00,0.00,0.00,0.00,192.00,0.20,191.80,1.60,49035.20,48747700,0,14134064,22.48,129092,8783260,15722784,25.00,6570752,6832844,516264,4493344,323684,7064,17680,111368,0,0,0.00,0,0.00,0,868,3.89,3.95,4.43,4,192.00,1.60,49035.20,255.40,135.90,706.38,5.21,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:29:51,7.85,0.00,0.86,20.55,0.00,0.00,0.00,0.00,0.00,70.74,3.20,2441.60,2658.20,0.00,0.00,0.80,20897.60,2607.60,0.00,2016.60,0.00,0.00,0.00,0.00,183.80,0.20,183.60,1.60,46403.20,48370688,0,14511076,23.08,129104,8954876,15820568,25.16,6864548,6915044,587880,4695820,328224,7144,18056,111368,0,0,0.00,0,0.00,8,878,3.90,3.95,4.43,1,184.20,1.60,46505.60,252.48,135.69,745.03,5.43,100.00,2.60,2.60,0.20,0.41,0.00,0.00,0.00,0.00
2017-09-24 01:29:56,88.76,0.00,3.88,0.55,0.05,0.00,0.28,0.00,0.00,6.48,8.20,8364.60,6745.20,0.00,0.00,25190.40,7463.20,5496.40,0.00,11264.20,0.00,0.00,0.00,0.00,247.00,190.40,56.60,48742.40,10684.80,45860532,0,17021232,27.07,129108,9253480,19808160,31.50,9151244,7087440,727556,6897268,335056,7336,22208,111368,0,0,0.00,0,0.00,9,903,4.39,4.05,4.46,2,246.60,48742.40,10582.40,240.57,27.84,110.73,0.98,24.24,2.20,2.20,0.17,0.40,0.00,0.00,0.00,0.00
