timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:26:27,19.19,0.00,1.37,0.03,0.05,0.00,0.03,0.00,0.00,79.34,24.00,4544.40,4915.60,0.00,0.00,0.00,70.40,14557.60,0.00,17569.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,140.80,59848372,0,3033392,4.82,23868,575300,7207544,11.46,2263328,330636,131784,1995224,50016,5160,9012,111304,0,0,0.00,0,0.00,2,638,1.07,0.75,0.32,0,4.00,0.00,140.80,35.20,0.01,3.20,2.80,1.12,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-22 21:26:32,15.31,0.00,1.06,0.58,0.03,0.00,0.05,0.00,0.00,82.98,15.80,2978.00,3033.00,0.00,0.00,0.00,99.20,8095.00,0.00,5050.80,0.00,0.00,0.00,0.00,10.80,0.00,10.80,0.00,132.80,59376244,0,3505520,5.57,23876,704160,8573132,13.63,2608420,448048,260300,2332748,54704,5664,10336,111304,0,0,0.00,0,0.00,0,692,1.14,0.77,0.33,2,10.80,0.00,132.80,12.30,0.08,1.48,2.89,3.12,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-22 21:26:37,39.29,0.00,2.08,0.68,0.03,0.00,0.00,0.00,0.00,57.92,45.40,4030.20,4276.00,0.00,0.00,0.00,10.40,24299.80,0.00,7711.20,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,86.40,58234680,0,4647084,7.39,23880,704516,67163344,106.81,3744664,444840,260752,3465304,57456,6856,13800,111304,0,0,0.00,0,0.00,2,859,1.13,0.77,0.33,0,1.60,0.00,86.40,54.00,0.04,60.00,11.00,1.76,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-22 21:26:42,38.90,0.00,3.15,0.00,0.03,0.00,0.03,0.00,0.00,57.90,13.60,4299.80,4397.20,0.00,0.00,0.00,2026.40,8199.00,0.00,34254.00,0.00,0.00,0.00,0.00,17.20,0.00,17.20,0.00,4052.80,54718676,0,8163088,12.98,23888,725732,67390876,107.17,7132532,450748,272180,6950504,58856,7312,20904,111304,0,0,0.00,0,0.00,5,900,1.12,0.78,0.33,0,17.20,0.00,4052.80,235.63,4.53,263.35,4.93,8.48,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-22 21:26:47,47.58,0.00,5.32,0.03,0.03,0.00,0.00,0.00,0.00,47.05,0.00,3051.80,2778.80,0.00,0.00,0.00,84.00,960.60,0.00,16251.20,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,168.00,45734712,0,17147052,27.27,23896,725760,67390876,107.17,16119616,450760,272176,15916980,58848,7288,38588,111304,0,0,0.00,0,0.00,5,896,1.27,0.81,0.35,0,2.80,0.00,168.00,60.00,0.00,0.57,0.29,0.08,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:26:52,51.22,0.00,2.74,0.05,0.00,0.00,0.00,0.00,0.00,45.99,0.00,2914.80,2570.40,0.00,0.00,0.00,10.40,692.80,0.00,180016.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,42935468,0,19946296,31.72,23904,725784,67390876,107.17,18933708,450772,272208,18710572,58848,7224,44336,111304,0,0,0.00,0,0.00,4,889,1.49,0.87,0.37,0,0.40,0.00,20.80,52.00,0.00,10.00,10.00,0.40,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:26:57,51.29,0.00,4.32,0.00,0.03,0.00,0.00,0.00,0.00,44.36,0.00,2913.60,2729.80,0.00,0.00,0.00,51.20,1091.00,0.00,363036.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,102.40,40260592,0,22621172,35.97,23912,725812,67390876,107.17,21645232,450792,272036,21381156,58896,7216,49608,111304,0,0,0.00,0,0.00,4,887,1.69,0.92,0.39,0,1.40,0.00,102.40,73.14,0.00,0.00,0.00,0.00,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-22 21:27:02,52.42,0.00,3.42,2.21,0.00,0.00,0.00,0.00,0.00,41.95,0.20,2999.20,2919.60,0.00,0.00,0.80,52008.80,761.40,0.00,263152.80,0.00,0.00,0.00,0.00,411.40,0.20,411.20,1.60,104017.60,37959576,0,24922188,39.63,23936,725844,67390876,107.17,23920644,450808,12124,23676988,58904,7208,54096,111304,0,0,0.00,0,0.00,4,887,1.88,0.97,0.41,0,411.40,1.60,104017.60,252.84,25.18,61.20,0.46,18.88,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:27:07,53.11,0.00,2.16,0.00,0.03,0.00,0.00,0.00,0.00,44.70,0.40,2875.20,2591.20,0.00,0.00,0.00,159.20,572.00,0.00,191686.00,0.00,0.00,0.00,0.00,16.80,0.00,16.80,0.00,318.40,36592536,0,26289228,41.81,23944,725872,67390876,107.17,25248640,450828,11532,25041828,59000,7216,56764,111304,0,0,0.00,0,0.00,4,888,2.61,1.14,0.46,0,16.80,0.00,318.40,18.95,0.05,2.90,0.86,1.44,1.40,1.40,0.12,0.10,0.00,0.00,0.00,0.00
2017-09-22 21:27:12,53.77,0.00,2.26,0.00,0.00,0.00,0.00,0.00,0.00,43.96,0.20,3027.20,2732.00,0.00,0.00,0.00,85.60,587.80,0.00,200200.20,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,171.20,35124760,0,27757004,44.14,23952,725896,67390876,107.17,26740248,450836,11316,26506824,58988,7208,59432,111304,0,0,0.00,0,0.00,3,888,3.20,1.28,0.52,0,4.20,0.00,171.20,40.76,0.02,4.95,1.90,0.80,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
