timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 05:23:37,69.41,0.00,3.21,0.20,0.20,0.00,0.00,0.00,0.00,26.98,23.40,1477.60,1386.80,0.00,0.00,1127.20,36.00,15812.20,5.80,20237.60,0.00,0.00,0.00,0.00,26.80,25.60,1.20,2254.40,72.00,7765416,0,7893584,50.41,16596,6143596,2958632,18.89,2250536,5296948,272,1389452,228732,4376,7464,31532,0,0,0.00,0,0.00,1,534,0.73,2.01,3.20,0,26.80,2254.40,72.00,86.81,0.07,2.75,0.39,1.04,0.80,0.80,0.09,0.07,0.00,0.00,0.00,0.00
2017-09-22 05:23:42,70.05,0.00,9.25,0.30,0.60,0.00,0.00,0.00,0.00,19.80,27.00,1444.80,1271.60,0.00,0.00,1394.40,64.00,20818.80,6.20,164020.40,0.00,0.00,0.00,0.00,39.40,32.00,7.40,2788.80,128.00,10598128,0,5060872,32.32,16596,3278432,3115472,19.90,2184096,2618404,132,1507388,141896,4512,8488,31532,0,0,0.00,0,0.00,3,550,0.91,2.03,3.20,0,39.40,2788.80,128.00,74.03,0.09,2.19,0.32,1.28,3.00,3.00,0.31,0.25,0.00,0.00,0.00,0.00
2017-09-22 05:23:47,56.41,0.00,6.45,0.00,1.19,0.00,0.00,0.00,0.00,35.95,3.80,1255.20,1146.40,0.00,0.00,767.20,59.20,2462.00,0.00,1829.60,0.00,0.00,0.00,0.00,14.80,13.40,1.40,1534.40,118.40,10324344,0,5334656,34.07,16608,3433368,3263640,20.84,2458140,2617496,156596,1625612,141808,4640,8780,31532,0,0,0.00,0,0.00,1,567,0.92,2.01,3.19,0,14.80,1534.40,118.40,111.68,0.09,6.11,0.70,1.04,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-22 05:23:52,24.60,0.00,6.58,26.52,0.40,0.00,0.51,0.00,0.00,41.40,2.60,5148.40,2574.20,0.00,0.00,1008.00,39256.80,302.20,0.00,7533.20,0.00,0.00,0.00,0.00,327.20,18.00,309.20,2016.00,78513.60,9966524,0,5692476,36.35,16616,3671008,3361336,21.47,2630696,2803536,198232,1746676,141568,4664,9016,31532,0,0,0.00,0,0.00,0,569,0.93,1.99,3.18,0,327.20,2016.00,78513.60,246.12,74.77,228.52,1.73,56.64,1.20,1.20,0.19,0.19,0.00,0.00,0.00,0.00
2017-09-22 05:23:57,68.39,0.00,8.03,0.10,0.30,0.00,0.30,0.00,0.00,22.87,11.80,2596.40,2327.00,0.00,0.00,778.40,19.20,9677.40,0.60,14668.80,0.00,0.00,0.00,0.00,15.00,14.60,0.40,1556.80,38.40,9585000,0,6074000,38.79,16636,3866536,4014504,25.64,2913748,2895096,395012,1925608,146868,4880,9744,31532,0,0,0.00,0,0.00,4,598,0.93,1.98,3.17,0,15.00,1556.80,38.40,106.35,0.08,5.01,0.32,0.48,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 05:24:02,70.31,0.00,3.31,0.00,0.70,0.00,0.00,0.00,0.00,25.68,10.40,1533.00,1283.40,0.00,0.00,1088.00,53.60,8143.40,1.80,2687.60,0.00,0.00,0.00,0.00,21.20,20.20,1.00,2176.00,107.20,9247216,0,6411784,40.95,16660,3866984,4893080,31.25,3250548,2893416,395308,2260332,147564,5200,10888,31532,0,0,0.00,0,0.00,1,638,0.86,1.94,3.15,0,21.20,2176.00,107.20,107.70,0.08,3.89,0.26,0.56,2.80,2.80,0.30,0.23,0.00,0.00,0.00,0.00
2017-09-22 05:24:07,68.22,0.00,7.31,3.35,0.91,0.00,0.20,0.00,0.00,20.00,3.60,5807.20,2758.40,0.00,0.00,28366.40,17692.80,6095.80,0.20,7844.60,0.00,0.00,0.00,0.00,371.40,232.40,139.00,56732.80,35385.60,8552948,0,7106052,45.38,16680,4196596,5397624,34.47,3707268,3129612,499680,2623916,147960,5272,11672,31532,0,0,0.00,0,0.00,3,645,1.03,1.96,3.15,0,371.40,56732.80,35385.60,248.03,20.03,53.94,0.95,35.20,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 05:24:12,61.06,0.00,7.34,25.79,0.20,0.00,0.71,0.00,0.00,4.89,1.40,3657.80,2999.20,0.00,0.00,60602.40,52.80,5902.40,0.00,6687.20,0.00,0.00,0.00,0.00,624.40,622.20,2.20,118880.00,105.60,7871416,0,7787584,49.73,16708,4637288,5701104,36.41,3951012,3564028,642908,2861404,151268,5296,12112,31532,0,0,0.00,0,0.00,2,648,1.11,1.96,3.14,2,624.40,118880.00,105.60,190.56,44.71,69.69,1.21,75.36,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 05:24:17,74.70,0.00,10.89,11.29,0.40,0.00,0.60,0.00,0.00,2.12,1.20,4624.75,3066.47,0.00,0.00,20336.93,222.75,12011.38,0.00,12499.40,0.00,0.00,0.00,0.00,322.36,305.39,16.97,42994.01,445.51,7114748,0,8544252,54.56,16724,4920108,6176824,39.45,4407592,3857572,828008,3328056,156452,5304,12916,31532,0,0,0.00,0,0.00,6,647,1.18,1.96,3.13,0,322.36,42994.01,445.51,134.76,33.08,106.35,1.29,41.44,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-22 05:24:22,87.90,0.00,10.60,0.00,0.30,0.00,0.90,0.00,0.00,0.30,1.80,5836.60,2335.20,0.00,0.00,236.00,62.40,9785.20,0.00,10731.20,0.00,0.00,0.00,0.00,5.40,4.20,1.20,472.00,124.80,6589900,0,9069100,57.92,16736,5148340,6134916,39.18,4707144,4075456,1060252,3617360,162140,5304,13608,31532,0,0,0.00,0,0.00,4,648,1.24,1.96,3.13,0,5.40,472.00,124.80,110.52,0.02,2.81,0.15,0.08,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
