timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 19:31:25,71.36,0.00,3.42,0.10,0.30,0.00,0.00,0.00,0.00,24.82,21.80,1386.20,1269.40,0.00,0.00,0.00,32.80,15479.40,0.00,20444.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,65.60,7025912,0,8633088,55.13,62316,6987428,3127908,19.98,3219340,5093064,232,1262656,204640,4672,7380,31532,0,0,0.00,0,0.00,1,565,1.03,2.09,1.88,0,1.20,0.00,65.60,54.67,0.00,0.00,0.00,0.00,0.80,0.80,0.08,0.07,0.00,0.00,0.00,0.00
2017-09-20 19:31:30,72.00,0.00,4.83,0.00,0.30,0.00,0.00,0.00,0.00,22.86,26.40,1335.00,1130.40,0.00,0.00,0.00,27.20,19795.20,0.00,14787.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,54.40,6912124,0,8746876,55.86,62324,6982276,3167304,20.23,3334596,5088356,304,1380528,204648,4704,8248,31532,0,0,0.00,0,0.00,2,575,1.19,2.10,1.89,0,0.80,0.00,54.40,68.00,0.00,0.00,0.00,0.00,3.00,3.00,0.31,0.25,0.00,0.00,0.00,0.00
2017-09-20 19:31:35,62.67,0.00,4.39,0.60,1.60,0.00,0.00,0.00,0.00,30.74,5.60,1254.40,1204.20,0.00,0.00,0.00,28.80,3507.40,0.00,2102.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,57.60,6710876,0,8948124,57.14,62332,7041324,3406588,21.75,3542096,5083644,64552,1522064,204664,4928,8624,31532,0,0,0.00,0,0.00,1,602,1.25,2.10,1.89,0,1.00,0.00,57.60,57.60,0.04,42.40,21.60,2.16,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 19:31:40,9.59,0.00,4.74,39.66,0.00,0.00,0.00,0.00,0.00,46.01,0.00,921.60,679.80,0.00,0.00,0.00,14755.20,8.40,0.00,343.80,0.00,0.00,0.00,0.00,86.60,0.00,86.60,0.00,22169.60,6584956,0,9074044,57.95,62336,7168216,3406588,21.75,3672304,5078928,122796,1520620,204816,4928,8624,31532,0,0,0.00,0,0.00,0,602,1.23,2.08,1.88,2,86.60,0.00,22169.60,256.00,103.15,575.02,8.35,72.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 19:31:45,0.10,0.00,0.10,90.64,0.10,0.00,0.00,0.00,0.00,9.05,0.00,788.80,435.20,0.00,0.00,0.00,4020.00,7.60,0.00,280.00,0.00,0.00,0.00,0.00,34.00,0.00,34.00,0.00,8622.40,6590048,0,9068952,57.92,62340,7163120,3406588,21.75,3671828,5074160,102728,1520472,204816,4912,8624,31532,0,0,0.00,0,0.00,1,600,1.37,2.10,1.89,1,34.00,0.00,8622.40,253.60,92.93,3602.42,29.41,100.00,0.40,0.40,0.04,0.03,0.00,0.00,0.00,0.00
2017-09-20 19:31:50,0.10,0.00,0.00,81.05,0.00,0.00,0.00,0.00,0.00,18.85,0.00,759.80,420.20,0.00,0.00,0.00,5676.80,10.00,0.00,270.60,0.00,0.00,0.00,0.00,43.20,0.00,43.20,0.00,10483.20,6595132,0,9063868,57.88,62348,7158028,3406588,21.75,3671476,5069408,74436,1520468,204816,4912,8624,31532,0,0,0.00,0,0.00,0,600,1.50,2.11,1.89,1,43.20,0.00,10483.20,242.67,104.01,2384.70,23.15,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 19:31:55,0.00,0.00,0.10,89.80,0.00,0.00,0.00,0.00,0.00,10.10,0.40,787.20,444.00,0.00,0.00,0.00,1864.80,17.60,0.00,274.20,0.00,0.00,0.00,0.00,34.40,0.00,34.40,0.00,8806.40,6600004,0,9058996,57.85,62352,7152908,3406588,21.75,3671196,5064692,65156,1520552,204824,4920,8624,31532,0,0,0.00,0,0.00,0,601,1.46,2.09,1.89,4,34.40,0.00,8806.40,256.00,130.64,3188.84,29.07,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 19:32:00,0.00,0.00,0.10,68.48,0.00,0.00,0.00,0.00,0.00,31.42,0.00,754.20,424.20,0.00,0.00,0.00,6570.40,7.60,0.00,275.40,0.00,0.00,0.00,0.00,44.80,0.00,44.80,0.00,9782.40,6605196,0,9053804,57.82,62360,7147860,3406588,21.75,3670904,5059968,32536,1520552,204768,4920,8624,31532,0,0,0.00,0,0.00,0,601,1.75,2.14,1.91,3,44.80,0.00,9782.40,218.36,117.89,2507.04,22.32,100.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 19:32:05,0.20,0.00,0.10,80.56,0.10,0.00,0.00,0.00,0.00,19.03,0.00,771.00,434.20,0.00,0.00,0.00,5670.40,7.80,0.00,274.80,0.00,0.00,0.00,0.00,37.80,0.00,37.80,0.00,9264.00,6610188,0,9048812,57.79,62364,7142896,3406588,21.75,3670472,5055196,4104,1520480,204824,4912,8624,31532,0,0,0.00,0,0.00,0,600,1.93,2.17,1.92,1,37.80,0.00,9264.00,245.08,95.73,2749.40,26.46,100.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 19:32:15,28.81,0.00,5.60,46.77,0.35,0.00,0.30,0.00,0.00,18.16,6.67,3690.74,2237.85,0.00,0.00,0.00,417.13,3170.92,0.00,10230.58,0.00,0.00,0.00,0.00,20.22,0.00,20.22,0.00,4811.95,5972976,0,9686024,61.86,62380,7527056,4074516,26.02,4024960,5326976,394736,1762572,215080,5128,9468,31532,0,0,0.00,0,0.00,5,627,2.17,2.22,1.93,0,20.22,0.00,4811.95,237.99,47.43,3407.51,25.66,51.87,0.70,0.70,0.07,0.06,0.00,0.00,0.00,0.00
