timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 17:07:47,74.65,0.00,3.22,0.20,0.10,0.00,0.00,0.00,0.00,21.83,22.80,1353.80,1251.20,0.00,0.00,0.00,87.20,15259.60,0.00,19775.80,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,174.40,3873524,0,11785476,75.26,32072,10064896,2964972,18.93,2093708,9272236,444,1268804,304736,4416,7232,31532,0,0,0.00,0,0.00,3,538,2.35,4.07,4.21,0,2.80,0.00,174.40,62.29,0.00,0.86,0.86,0.24,0.80,0.80,0.09,0.07,0.00,0.00,0.00,0.00
2017-09-22 17:07:52,74.97,0.00,4.22,0.00,0.20,0.00,0.00,0.00,0.00,20.60,28.60,1296.00,1097.60,0.00,0.00,0.00,74.40,17371.60,0.00,23388.80,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,148.80,3937452,0,11721548,74.86,32080,9869532,3077640,19.65,2215280,9088088,1532,1401524,301868,4456,8044,31532,0,0,0.00,0,0.00,5,542,2.32,4.04,4.20,0,3.20,0.00,148.80,46.50,0.00,0.50,0.25,0.08,3.20,3.20,0.32,0.26,0.00,0.00,0.00,0.00
2017-09-22 17:07:57,76.54,0.00,8.56,0.10,0.20,0.00,0.10,0.00,0.00,14.50,26.80,2278.40,1649.40,0.00,0.00,0.00,19.20,7077.20,0.00,153609.80,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,38.40,6795840,0,8863160,56.60,32080,6917396,3531772,22.55,2174800,6330232,2552,1555556,240800,4760,8772,31532,0,0,0.00,0,0.00,2,582,2.38,4.02,4.19,0,4.60,0.00,38.40,8.35,0.00,1.04,1.04,0.48,2.60,2.60,0.27,0.21,0.00,0.00,0.00,0.00
2017-09-22 17:08:02,67.67,0.00,2.32,0.00,0.10,0.00,0.00,0.00,0.00,29.91,13.60,1516.00,1335.20,0.00,0.00,0.00,91.20,3151.80,0.00,1473.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,182.40,6636748,0,9022252,57.62,32092,6917580,3724404,23.78,2331444,6330312,3032,1712212,241180,5240,9300,31532,0,0,0.00,0,0.00,0,641,2.19,3.95,4.17,0,2.20,0.00,182.40,82.91,0.11,48.36,13.45,2.96,2.60,2.60,0.28,0.21,0.00,0.00,0.00,0.00
2017-09-22 17:08:07,88.35,0.00,3.41,0.00,0.00,0.00,0.00,0.00,0.00,8.23,11.80,1796.00,1069.60,0.00,0.00,0.00,20.80,10692.00,0.00,4058.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,41.60,6344860,0,9314140,59.48,32112,6917832,4281644,27.34,2621016,6330460,3292,2001528,242148,5520,10496,31532,0,0,0.00,0,0.00,7,681,2.41,3.97,4.17,0,0.40,0.00,41.60,104.00,0.00,2.00,2.00,0.08,1.40,1.40,0.12,0.11,0.00,0.00,0.00,0.00
2017-09-22 17:08:12,96.10,0.00,3.50,0.00,0.00,0.00,0.30,0.00,0.00,0.10,4.60,3302.20,1073.60,0.00,0.00,0.00,30.40,4466.40,0.00,2524.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,60.80,6088888,0,9570112,61.12,32124,6918084,4343376,27.74,2873984,6330700,3608,2254468,242704,5672,11176,31532,0,0,0.00,0,0.00,7,695,2.54,3.97,4.17,0,0.80,0.00,60.80,76.00,0.08,104.00,53.00,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 17:08:17,96.80,0.00,3.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,2282.80,979.80,0.00,0.00,0.00,197.60,187.00,0.00,709.00,0.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,395.20,5949036,0,9709964,62.01,32136,7061540,4343376,27.74,3016760,6328936,147152,2252124,242640,5648,11180,31532,0,0,0.00,0,0.00,3,692,2.50,3.94,4.16,0,18.00,0.00,395.20,21.96,0.05,2.98,0.13,0.24,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-22 17:08:22,90.80,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1380.40,939.80,0.00,0.00,0.00,40.80,71.80,0.00,10653.60,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,81.60,5759520,0,9899480,63.22,32144,7249520,4343376,27.74,3209444,6324260,340212,2251844,242648,5680,11192,31532,0,0,0.00,0,0.00,3,696,2.62,3.94,4.16,0,2.40,0.00,81.60,34.00,0.00,0.00,0.00,0.00,0.40,0.40,0.04,0.03,0.00,0.00,0.00,0.00
2017-09-22 17:08:27,90.61,0.00,4.20,0.10,0.10,0.00,0.10,0.00,0.00,4.90,18.80,2153.20,1150.40,0.00,0.00,0.00,254.40,11670.00,0.00,33784.00,0.00,0.00,0.00,0.00,15.40,0.00,15.40,0.00,508.80,6066392,0,9592608,61.26,32164,7179392,4285644,27.37,2909716,6319352,274420,2017520,242452,5592,10568,31532,0,0,0.00,0,0.00,8,690,2.89,3.97,4.17,0,15.40,0.00,508.80,33.04,0.06,4.21,0.36,0.56,1.40,1.40,0.12,0.11,0.00,0.00,0.00,0.00
2017-09-22 17:08:32,96.40,0.00,3.40,0.00,0.00,0.00,0.20,0.00,0.00,0.00,4.60,3599.40,1348.00,0.00,0.00,0.00,266.40,1461.00,0.00,1088.40,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,532.80,5839788,0,9819212,62.71,32176,7174584,4317236,27.57,3137896,6314800,273744,2248124,242628,5752,11172,31532,0,0,0.00,0,0.00,3,705,3.14,4.01,4.18,0,9.80,0.00,532.80,54.37,0.05,5.47,1.80,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
