timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 02:40:39,77.55,0.00,6.27,0.10,0.00,0.00,0.30,0.00,0.00,15.77,18.60,3790.40,2197.80,0.00,0.00,0.00,48.00,13298.00,0.00,11153.60,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,96.00,10173124,0,5485876,35.03,49676,3345636,4211632,26.90,2773988,2474660,114780,1853452,121064,4976,8460,31532,0,0,0.00,0,0.00,3,609,1.16,1.07,1.10,0,2.20,0.00,96.00,43.64,0.00,1.09,1.09,0.24,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-20 02:40:44,67.11,0.00,5.16,0.10,0.20,0.00,0.30,0.00,0.00,27.13,14.20,3006.40,2326.20,0.00,0.00,0.00,96.80,7618.20,0.00,3540.20,0.00,0.00,0.00,0.00,6.40,0.00,6.40,0.00,193.60,9851504,0,5807496,37.09,49688,3491572,4881464,31.17,2955472,2609780,260660,2024012,125160,5136,9268,31532,0,0,0.00,0,0.00,2,641,1.30,1.10,1.11,0,6.40,0.00,193.60,30.25,0.02,2.88,2.87,1.84,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-20 02:40:49,76.65,0.00,3.05,0.30,0.00,0.00,0.00,0.00,0.00,20.00,14.00,2231.80,1706.80,0.00,0.00,0.00,12607.20,8298.40,0.00,2771.80,0.00,0.00,0.00,0.00,111.60,0.00,111.60,0.00,25214.40,9475992,0,6183008,39.49,49696,3491696,12602396,80.48,3332112,2605376,198192,2396092,125992,5600,10432,31532,0,0,0.00,0,0.00,1,690,1.28,1.10,1.11,0,111.60,0.00,25214.40,225.94,4.28,38.36,0.68,7.60,2.00,2.00,0.21,0.16,0.00,0.00,0.00,0.00
2017-09-20 02:40:54,74.14,0.00,4.97,10.65,0.00,0.00,0.00,0.00,0.00,10.24,1.80,2284.80,1971.60,0.00,0.00,0.00,39066.40,1682.80,0.00,4788.00,0.00,0.00,0.00,0.00,277.60,0.00,277.60,0.00,70169.60,8531564,0,7127436,45.52,49712,3511384,12676052,80.95,4264052,2615268,22772,3318456,126688,5640,12224,31532,0,0,0.00,0,0.00,3,691,1.58,1.17,1.13,1,277.60,0.00,70169.60,252.77,76.87,173.96,2.38,66.16,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 02:40:59,92.76,0.00,5.23,0.00,0.10,0.00,0.00,0.00,0.00,1.91,0.40,2522.60,1601.40,0.00,0.00,0.00,1056.00,8844.20,0.00,5801.40,0.00,0.00,0.00,0.00,39.80,0.00,39.80,0.00,10075.20,7884576,0,7774424,49.65,49716,3605412,12676052,80.95,4810584,2711792,111696,3867184,129716,5608,13380,31532,0,0,0.00,0,0.00,4,689,1.61,1.18,1.14,0,39.80,0.00,10075.20,253.15,27.31,1404.20,5.41,21.52,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 02:41:04,64.01,0.00,3.53,0.00,0.00,0.00,0.00,0.00,0.00,32.46,0.20,1784.40,1250.40,0.00,0.00,0.00,21.60,1028.40,0.00,15775.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,43.20,7219272,0,8439728,53.90,49716,3618700,12676052,80.95,5498328,2681512,125028,4517564,129956,5632,14592,31532,0,0,0.00,0,0.00,2,690,1.56,1.18,1.14,0,0.40,0.00,43.20,108.00,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-20 02:41:09,65.03,0.00,2.61,0.00,0.10,0.00,0.00,0.00,0.00,32.26,0.00,1732.60,1175.60,0.00,0.00,0.00,0.00,447.00,0.00,13708.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6830256,0,8828744,56.38,49716,3618724,12676052,80.95,5926912,2624124,125060,4905120,129932,5616,15232,31532,0,0,0.00,0,0.00,3,688,1.52,1.17,1.14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,0.15,0.12,0.00,0.00,0.00,0.00
2017-09-20 02:41:14,74.37,0.00,4.82,0.00,0.00,0.00,0.00,0.00,0.00,20.80,0.20,1692.80,1206.60,0.00,0.00,0.00,6.40,1494.60,0.00,27490.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,6240856,0,9418144,60.15,49724,3618752,12676052,80.95,6559224,2603384,125088,5494136,129932,5616,16576,31532,0,0,0.00,0,0.00,4,689,1.56,1.19,1.14,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 02:41:19,75.96,0.00,2.01,0.00,0.00,0.00,0.10,0.00,0.00,21.93,0.00,1858.20,1421.80,0.00,0.00,0.00,15.20,5522.20,0.00,5116.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,30.40,6181480,0,9477520,60.52,49728,3665744,12676052,80.95,6616760,2603080,172104,5504404,131104,5624,16612,31532,0,0,0.00,0,0.00,3,689,1.67,1.22,1.15,0,0.40,0.00,30.40,76.00,0.00,0.00,0.00,0.00,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-20 02:41:24,76.16,0.00,1.71,0.10,0.00,0.00,0.00,0.00,0.00,22.03,0.00,1837.80,1421.80,0.00,0.00,0.00,216.80,2548.20,0.00,4379.40,0.00,0.00,0.00,0.00,14.20,0.00,14.20,0.00,433.60,5947812,0,9711188,62.02,49728,3689224,12676052,80.95,6850000,2603068,194736,5714120,131692,5616,17020,31532,0,0,0.00,0,0.00,7,688,1.70,1.23,1.16,0,14.20,0.00,433.60,30.54,0.02,1.18,0.06,0.08,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
