timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 04:51:06,77.06,0.00,5.94,0.10,0.10,0.00,0.20,0.00,0.00,16.60,18.60,3921.20,2047.60,0.00,0.00,0.00,45.60,11255.60,0.00,10318.00,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,91.20,8695592,0,6963408,44.47,47344,4739240,4160300,26.57,3152916,3528548,131564,1895400,165184,5032,8572,31532,0,0,0.00,0,0.00,2,614,2.50,1.88,1.45,0,2.40,0.00,91.20,38.00,0.00,1.00,0.67,0.16,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-20 04:51:11,72.63,0.00,4.07,0.00,0.10,0.00,0.20,0.00,0.00,22.99,14.20,2648.60,2246.80,0.00,0.00,0.00,73.60,7526.60,0.00,2354.60,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,147.20,8374660,0,7284340,46.52,47364,4868260,4867576,31.08,3348900,3646936,260560,2082272,169008,5240,9384,31532,0,0,0.00,0,0.00,1,650,2.54,1.90,1.45,0,2.40,0.00,147.20,61.33,0.00,0.00,0.00,0.00,2.80,2.80,0.30,0.23,0.00,0.00,0.00,0.00
2017-09-20 04:51:16,78.54,0.00,3.44,0.00,0.00,0.00,0.00,0.00,0.00,18.02,13.40,2247.60,1689.20,0.00,0.00,0.00,40.00,8337.00,0.00,3521.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,80.00,7954696,0,7704304,49.20,47372,4868636,12622804,80.61,3771544,3643632,260924,2499164,169520,5672,10588,31532,0,0,0.00,0,0.00,4,697,2.41,1.88,1.45,0,2.20,0.00,80.00,36.36,0.00,0.00,0.00,0.00,1.60,1.60,0.15,0.12,0.00,0.00,0.00,0.00
2017-09-20 04:51:21,56.81,0.00,8.74,0.00,0.00,0.00,0.00,0.00,0.00,34.45,2.20,2065.40,1534.60,0.00,0.00,0.00,522.40,9657.60,0.00,1789.80,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1044.80,6425576,0,9233424,58.97,47380,5309368,12664364,80.88,5035504,3894108,699216,3572868,181728,5712,12840,31532,0,0,0.00,0,0.00,3,700,2.30,1.87,1.45,0,4.60,0.00,1044.80,227.13,0.02,4.35,0.35,0.16,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 04:51:26,62.12,0.00,14.24,0.00,0.00,0.00,0.00,0.00,0.00,23.64,0.40,1714.40,1180.40,0.00,0.00,0.00,100.80,5317.00,0.00,14628.40,0.00,0.00,0.00,0.00,11.40,0.00,11.40,0.00,201.60,6293156,0,9365844,59.81,47384,5136132,12695196,81.07,5426560,3638604,525788,3881648,177572,5720,13456,31532,0,0,0.00,0,0.00,3,701,2.20,1.85,1.45,0,11.40,0.00,201.60,17.68,0.02,1.68,0.07,0.08,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 04:51:31,71.40,0.00,28.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1415.60,1048.60,0.00,0.00,0.00,0.00,36.20,0.00,231.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6274856,0,9384144,59.93,47384,5136156,12695196,81.07,5445328,3638584,525764,3900392,177580,5712,13492,31532,0,0,0.00,0,0.00,3,700,2.18,1.85,1.45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 04:51:36,62.81,0.00,18.49,0.00,0.00,0.00,0.00,0.00,0.00,18.69,0.20,1537.60,1018.00,0.00,0.00,0.00,61.60,40.80,0.00,644.40,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,123.20,6239428,0,9419572,60.15,47396,5136184,12695196,81.07,5480620,3638492,525512,3935532,177580,5696,13560,31532,0,0,0.00,0,0.00,3,698,2.09,1.84,1.45,0,3.40,0.00,123.20,36.24,0.01,3.76,0.47,0.16,1.60,1.60,0.15,0.12,0.00,0.00,0.00,0.00
2017-09-20 04:51:41,55.75,0.00,5.60,29.81,0.10,0.00,0.00,0.00,0.00,8.75,0.00,1649.00,1211.40,0.00,0.00,0.00,34394.40,24.20,0.00,20.40,0.00,0.00,0.00,0.00,240.80,0.00,240.80,0.00,61440.00,6197948,0,9461052,60.42,47416,5136208,12695196,81.07,5499224,3638476,353676,3976612,177592,5688,13624,31532,0,0,0.00,0,0.00,1,697,2.08,1.84,1.45,1,240.80,0.00,61440.00,255.15,105.82,315.70,3.06,73.60,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-20 04:51:46,51.63,0.00,0.31,48.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1658.40,983.40,0.00,0.00,0.80,5960.00,15.00,0.00,41.60,0.00,0.00,0.00,0.00,50.60,0.20,50.40,1.60,12248.00,6159216,0,9499784,60.67,47424,5136240,12695196,81.07,5550052,3638496,324044,4015124,177508,5688,13700,31532,0,0,0.00,0,0.00,1,697,2.23,1.88,1.46,1,50.60,1.60,12248.00,242.09,104.94,2251.26,19.76,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 04:51:51,51.78,0.00,0.20,46.29,0.00,0.00,0.00,0.00,0.00,1.73,0.40,1688.20,1099.20,0.00,0.00,0.00,5563.20,21.20,0.00,32.60,0.00,0.00,0.00,0.00,45.80,0.00,45.80,0.00,11008.00,6147000,0,9512000,60.74,47428,5136256,12695196,81.07,5572544,3638492,296536,4027352,177528,5680,13740,31532,0,0,0.00,0,0.00,1,696,2.61,1.96,1.49,2,45.80,0.00,11008.00,240.35,115.96,2706.46,21.83,100.00,0.80,0.80,0.07,0.06,0.00,0.00,0.00,0.00
