timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 22:11:35,1.61,0.00,0.40,94.98,0.10,0.00,0.00,0.00,0.00,2.91,6.80,737.60,464.60,0.00,0.00,0.00,1466.40,3441.60,0.00,2857.20,0.00,0.00,0.00,0.00,33.80,0.00,33.80,0.00,8436.80,13070352,0,2588648,16.53,29288,1235352,2544548,16.25,1584196,827672,13132,1147232,61212,4320,6628,31532,0,0,0.00,0,0.00,0,526,2.25,1.49,1.22,10,33.80,0.00,8436.80,249.61,107.88,4513.18,29.59,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 22:11:40,66.30,0.00,4.33,19.62,0.00,0.00,0.10,0.00,0.00,9.66,11.60,2621.80,1635.40,0.00,0.00,0.00,2611.20,8043.40,0.00,7157.60,0.00,0.00,0.00,0.00,29.40,0.00,29.40,0.00,6708.80,12639316,0,3019684,19.28,29304,1328664,3723204,23.78,1926116,916088,94848,1484632,61888,4672,7512,31532,0,0,0.00,0,0.00,2,576,2.23,1.50,1.22,0,29.40,0.00,6708.80,228.19,32.59,2014.29,24.82,72.96,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-22 22:11:45,71.10,0.00,5.07,0.10,0.00,0.00,0.20,0.00,0.00,23.53,14.40,3317.20,2474.40,0.00,0.00,0.00,101.60,6883.00,0.00,3397.00,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,203.20,12271516,0,3387484,21.63,29320,1494380,4447496,28.40,2135072,1068928,260396,1680380,67240,4920,8384,31532,0,0,0.00,0,0.00,1,611,2.21,1.51,1.23,0,9.80,0.00,203.20,20.73,0.04,4.49,3.84,3.76,2.60,2.60,0.26,0.20,0.00,0.00,0.00,0.00
2017-09-22 22:11:50,63.63,0.00,2.33,0.00,0.10,0.00,0.00,0.00,0.00,33.94,12.57,2091.82,1492.81,0.00,0.00,0.00,16.77,8179.84,0.00,2409.78,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,33.53,11906192,0,3752808,23.97,29332,1494500,12160568,77.66,2501664,1065532,260520,2043360,67788,5280,9384,31532,0,0,0.00,0,0.00,5,653,2.04,1.48,1.22,0,0.40,0.00,33.53,84.00,0.00,0.00,0.00,0.00,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-22 22:11:55,57.14,0.00,5.67,0.00,0.00,0.00,0.00,0.00,0.00,37.18,2.00,1989.40,1351.00,0.00,0.00,0.00,504.80,1426.60,0.00,11109.80,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,1009.60,9914996,0,5744004,36.68,29336,1500012,12227288,78.08,4467000,1063808,263524,4023988,68092,5360,13208,31532,0,0,0.00,0,0.00,4,655,1.95,1.47,1.22,0,5.20,0.00,1009.60,194.15,0.75,144.46,15.38,8.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:12:00,51.92,0.00,1.52,0.10,0.00,0.00,0.00,0.00,0.00,46.46,0.00,1669.80,1039.80,0.00,0.00,0.00,28.00,97.00,0.00,15942.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,56.00,9582552,0,6076448,38.80,29344,1500036,12227288,78.08,4821364,1063828,263612,4355812,68104,5336,14140,31532,0,0,0.00,0,0.00,2,653,1.88,1.46,1.22,0,0.80,0.00,56.00,70.00,0.00,3.00,3.00,0.24,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:12:05,52.17,0.00,2.33,0.10,0.10,0.00,0.00,0.00,0.00,45.30,0.40,1662.60,971.40,0.00,0.00,0.00,42.40,124.40,0.00,21368.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,84.80,9147136,0,6511864,41.59,29352,1500060,12227288,78.08,5241620,1063844,263448,4790384,68104,5336,14988,31532,0,0,0.00,0,0.00,1,652,1.81,1.46,1.22,0,2.00,0.00,84.80,42.40,0.07,34.40,25.60,5.12,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:12:10,55.01,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,44.08,0.00,1659.80,984.00,0.00,0.00,0.00,40.00,76.20,0.00,9255.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,80.00,8939684,0,6719316,42.91,29360,1500084,12227288,78.08,5463128,1063852,263448,4997536,68104,5320,15396,31532,0,0,0.00,0,0.00,3,651,1.74,1.45,1.22,0,1.80,0.00,80.00,44.44,0.00,0.00,0.00,0.00,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-22 22:12:15,52.53,0.00,3.54,36.06,0.00,0.00,0.10,0.00,0.00,7.78,0.00,1712.40,1296.00,0.00,0.00,0.00,29966.40,140.00,0.00,30098.00,0.00,0.00,0.00,0.00,208.20,0.00,208.20,0.00,52185.60,8241400,0,7417600,47.37,29376,1500108,12227288,78.08,6132836,1063876,113816,5693848,68172,5312,16548,31532,0,0,0.00,0,0.00,1,649,1.84,1.47,1.23,1,208.20,0.00,52185.60,250.65,119.77,429.51,4.07,84.80,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:12:20,52.22,0.00,1.51,27.52,0.00,0.00,0.00,0.00,0.00,18.75,0.00,1685.60,1127.80,0.00,0.00,0.00,4392.00,57.00,0.00,7715.80,0.00,0.00,0.00,0.00,43.60,0.00,43.60,0.00,11115.20,7911092,0,7747908,49.48,29384,1500132,12227288,78.08,6464576,1063884,91888,6023516,68112,5304,17192,31532,0,0,0.00,0,0.00,1,649,1.86,1.48,1.23,2,43.60,0.00,11115.20,254.94,105.19,2678.00,22.94,100.00,1.60,1.60,0.15,0.12,0.00,0.00,0.00,0.00
2017-09-22 22:12:25,48.89,0.00,1.01,43.12,0.00,0.00,0.00,0.00,0.00,6.98,0.00,1663.80,1131.60,0.00,0.00,0.00,5228.80,43.20,0.00,5478.00,0.00,0.00,0.00,0.00,46.40,0.00,46.40,0.00,9572.80,7690056,0,7968944,50.89,29388,1500156,12227288,78.08,6709940,1063900,65820,6244292,68132,5296,17836,31532,0,0,0.00,0,0.00,0,648,1.95,1.51,1.24,4,46.40,0.00,9572.80,206.31,133.40,2614.57,21.55,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:12:30,21.09,0.00,0.91,75.98,0.00,0.00,0.00,0.00,0.00,2.02,0.20,1566.20,1015.60,0.00,0.00,0.00,5745.60,47.60,0.00,5565.20,0.00,0.00,0.00,0.00,43.60,0.00,43.60,0.00,10827.20,7457988,0,8201012,52.37,29392,1500188,12227288,78.08,6916740,1063920,37144,6475660,68140,5288,18248,31532,0,0,0.00,0,0.00,4,647,2.27,1.58,1.27,2,43.60,0.00,10827.20,248.33,97.20,1961.91,22.94,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
