timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:42:30,78.61,0.00,5.35,0.30,0.00,0.00,0.30,0.00,0.00,15.44,19.20,3640.60,2684.20,0.00,0.00,0.00,79.20,12836.40,0.00,11843.60,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,158.40,12985680,0,2673320,17.07,26444,970304,3849848,24.59,1867080,639300,260320,1509812,51364,4672,7624,31532,0,0,0.00,0,0.00,3,566,1.52,1.30,0.95,0,4.80,0.00,158.40,33.00,0.01,2.67,1.67,0.80,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-22 21:42:35,68.06,0.00,4.07,0.10,0.10,0.00,0.10,0.00,0.00,27.57,13.57,2471.06,2143.11,0.00,0.00,0.00,102.99,7701.00,0.00,2685.03,0.00,0.00,0.00,0.00,11.58,0.00,11.58,0.00,205.99,12669804,0,2989196,19.09,26460,1099340,4556444,29.10,2060124,757376,388892,1691704,55620,4872,8416,31532,0,0,0.00,0,0.00,1,603,1.52,1.30,0.95,0,11.58,0.00,205.99,17.79,0.02,1.45,0.14,0.16,2.59,2.59,0.26,0.20,0.00,0.00,0.00,0.00
2017-09-22 21:42:40,70.49,0.00,2.64,4.46,0.00,0.00,0.00,0.00,0.00,22.41,13.00,2170.20,1784.40,0.00,0.00,0.00,25781.60,8234.20,0.00,2722.40,0.00,0.00,0.00,0.00,208.60,0.00,208.60,0.00,51563.20,12270352,0,3388648,21.64,26480,1099660,12298796,78.54,2458200,754008,260592,2088240,56312,5288,9648,31532,0,0,0.00,0,0.00,2,646,1.39,1.27,0.94,0,208.60,0.00,51563.20,247.19,42.13,201.98,2.54,52.96,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:42:45,54.08,0.00,6.34,0.30,0.10,0.00,0.00,0.00,0.00,39.17,1.60,1928.00,1396.80,0.00,0.00,0.00,536.80,1466.60,0.00,12450.00,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,1073.60,10292592,0,5366408,34.27,26492,1104968,12335708,78.78,4426352,752516,263548,4055600,56564,5288,13548,31532,0,0,0.00,0,0.00,3,647,1.36,1.27,0.94,0,4.80,0.00,1073.60,223.67,0.03,7.00,2.00,0.96,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:42:50,52.32,0.00,1.41,0.10,0.00,0.00,0.00,0.00,0.00,46.17,0.00,1677.40,1040.20,0.00,0.00,0.00,5.60,156.40,0.00,16433.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,9960512,0,5698488,36.39,26500,1104992,12335708,78.78,4755720,752536,263572,4387000,56564,5280,14192,31532,0,0,0.00,0,0.00,4,646,1.33,1.27,0.95,0,0.40,0.00,11.20,28.00,0.00,4.00,4.00,0.16,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:42:55,52.82,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,45.06,0.00,1654.00,972.60,0.00,0.00,0.00,24.00,98.40,0.00,21460.20,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,48.00,9539136,0,6119864,39.08,26508,1105016,12335708,78.78,5177648,752552,263580,4806868,56568,5264,15016,31532,0,0,0.00,0,0.00,2,644,1.31,1.26,0.95,0,1.60,0.00,48.00,30.00,0.00,0.50,0.50,0.08,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:43:00,54.94,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,44.15,0.00,1680.20,1003.20,0.00,0.00,0.00,54.40,76.60,0.00,9666.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,108.80,9330008,0,6328992,40.42,26516,1105032,12335708,78.78,5395132,752560,263408,5016164,56564,5256,15428,31532,0,0,0.00,0,0.00,2,643,1.28,1.26,0.95,0,1.60,0.00,108.80,68.00,0.03,19.00,9.50,1.52,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:43:05,52.58,0.00,3.03,23.05,0.00,0.00,0.00,0.00,0.00,21.33,0.40,1697.20,1194.80,0.00,0.00,0.00,8890.40,150.80,0.00,31329.60,0.00,0.00,0.00,0.00,44.00,0.00,44.00,0.00,11086.40,8640592,0,7018408,44.82,26516,1105064,12335708,78.78,6058636,752572,219004,5704200,56656,5256,16772,31532,0,0,0.00,0,0.00,2,643,1.26,1.25,0.95,1,44.00,0.00,11086.40,251.96,91.28,1371.38,14.49,63.76,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:43:10,52.83,0.00,1.62,39.80,0.00,0.00,0.00,0.00,0.00,5.76,0.00,1675.00,1143.20,0.00,0.00,0.00,9995.20,57.80,0.00,7203.60,0.00,0.00,0.00,0.00,85.40,0.00,85.40,0.00,19464.00,8312088,0,7346912,46.92,26524,1105096,12335708,78.78,6408892,752592,169056,6031908,56712,5256,17412,31532,0,0,0.00,0,0.00,2,643,1.32,1.27,0.95,1,85.40,0.00,19464.00,227.92,113.58,1486.12,11.72,100.08,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:43:15,37.92,0.00,0.81,57.23,0.10,0.00,0.00,0.00,0.00,3.94,0.00,1672.80,1227.40,0.00,0.00,0.80,10116.00,40.80,0.00,4754.20,0.00,0.00,0.00,0.00,81.60,0.20,81.40,1.60,20110.40,8094368,0,7564632,48.31,26540,1105140,12335708,78.78,6601292,752608,118704,6248844,56608,5240,17836,31532,0,0,0.00,0,0.00,3,641,1.37,1.28,0.96,1,81.60,1.60,20110.40,246.47,114.11,1338.75,12.25,100.00,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
