timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 23:00:19,76.46,0.00,6.24,0.10,0.00,0.00,0.40,0.00,0.00,16.80,19.40,3693.20,2349.00,0.00,0.00,0.00,84.00,12326.80,0.00,17270.60,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,168.00,9036376,0,6622624,42.29,37348,4613344,3900868,24.91,2859372,3489768,131612,1698556,156876,5040,8308,31532,0,0,0.00,0,0.00,3,612,1.90,1.61,1.57,0,4.40,0.00,168.00,38.18,0.00,0.91,0.73,0.32,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-22 23:00:24,68.22,0.00,3.74,0.00,0.10,0.00,0.30,0.00,0.00,27.63,13.60,2583.40,2193.20,0.00,0.00,0.00,102.40,6998.60,0.00,1941.80,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,204.80,8730608,0,6928392,44.25,37360,4742292,4593276,29.33,3042672,3607628,260368,1870692,161036,5304,9140,31532,0,0,0.00,0,0.00,0,649,2.07,1.65,1.58,0,9.40,0.00,204.80,21.79,0.05,5.28,1.53,1.44,2.40,2.40,0.25,0.19,0.00,0.00,0.00,0.00
2017-09-22 23:00:29,72.28,0.00,3.25,0.00,0.00,0.00,0.00,0.00,0.00,24.47,13.40,2163.40,1554.20,0.00,0.00,0.00,22.40,8848.20,0.00,2883.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,44.80,8354588,0,7304412,46.65,37368,4742416,12351260,78.88,3418760,3604360,260508,2243332,161504,5664,10268,31532,0,0,0.00,0,0.00,2,695,1.99,1.64,1.58,0,0.80,0.00,44.80,56.00,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.11,0.00,0.00,0.00,0.00
2017-09-22 23:00:34,63.05,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,33.50,1.60,2092.20,1526.00,0.00,0.00,0.00,520.00,1182.20,0.00,5509.60,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,1040.00,7322724,0,8336276,53.24,37376,4747912,12394160,79.15,4430012,3602740,263536,3267940,161824,5688,12272,31532,0,0,0.00,0,0.00,2,696,1.91,1.63,1.57,0,4.40,0.00,1040.00,236.36,0.85,193.27,11.27,4.96,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 23:00:39,79.27,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,18.40,2.60,2066.00,1382.00,0.00,0.00,0.00,0.00,3978.80,0.00,2438.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6697548,0,8961452,57.23,37376,4747960,12425184,79.35,5062252,3602296,263628,3891496,161876,5768,13512,31532,0,0,0.00,0,0.00,3,707,2.00,1.65,1.58,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 23:00:44,53.96,0.00,0.41,1.01,0.00,0.00,0.00,0.00,0.00,44.62,0.00,1714.80,1119.00,0.00,0.00,0.00,38.40,72.20,0.00,1066.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,76.80,6615656,0,9043344,57.75,37384,4747980,12425184,79.35,5156208,3602212,263680,3973108,161896,5768,13788,31532,0,0,0.00,0,0.00,3,707,1.92,1.64,1.58,0,1.80,0.00,76.80,42.67,0.02,12.89,12.89,2.32,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 23:00:49,59.65,0.00,4.37,0.00,0.00,0.00,0.10,0.00,0.00,35.87,0.00,1939.60,1350.00,0.00,0.00,0.00,73.60,341.00,0.00,43360.40,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,147.20,5719496,0,9939504,63.47,37392,4748484,12425184,79.35,6050224,3601744,263924,4866188,161920,5760,15552,31532,0,0,0.00,0,0.00,2,706,2.00,1.67,1.59,0,3.60,0.00,147.20,40.89,0.00,0.00,0.00,0.00,1.80,1.80,0.19,0.14,0.00,0.00,0.00,0.00
2017-09-22 23:00:54,55.06,0.00,0.61,30.23,0.10,0.00,0.00,0.00,0.00,13.99,0.40,1811.80,1507.60,0.00,0.00,0.00,52058.40,26.60,0.00,60.60,0.00,0.00,0.00,0.00,383.00,0.00,383.00,0.00,97268.80,5718776,0,9940224,63.48,37412,4749112,12425184,79.35,6050512,3601760,4752,4865744,162240,5768,15552,31532,0,0,0.00,0,0.00,1,707,2.00,1.67,1.59,1,383.00,0.00,97268.80,253.97,105.63,262.43,1.92,73.68,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 23:00:59,54.06,0.00,0.30,18.05,0.00,0.00,0.00,0.00,0.00,27.59,0.00,1788.20,1220.60,0.00,0.00,0.00,103.20,16.20,0.00,27.40,0.00,0.00,0.00,0.00,37.20,0.00,37.20,0.00,7054.40,5717920,0,9941080,63.48,37420,4750304,12425184,79.35,6051712,3601824,5704,4865864,162108,5768,15552,31532,0,0,0.00,0,0.00,2,707,1.92,1.66,1.59,0,37.20,0.00,7054.40,189.63,36.89,1129.20,10.58,39.36,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-22 23:01:04,55.63,0.00,0.30,0.00,0.10,0.00,0.00,0.00,0.00,43.96,0.00,1790.20,1144.80,0.00,0.00,0.00,40.00,25.20,0.00,59.00,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,80.00,5635584,0,10023416,64.01,37436,4752592,12425184,79.35,6119060,3601808,7964,4945172,162164,5752,15684,31532,0,0,0.00,0,0.00,2,705,1.85,1.65,1.58,0,3.80,0.00,80.00,21.05,0.00,0.00,0.00,0.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
