timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 02:34:05,77.73,0.00,4.05,0.20,0.10,0.00,0.00,0.00,0.00,17.91,18.40,2200.20,1442.60,0.00,0.00,0.00,26.40,12660.60,0.00,8876.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,52.80,13382344,0,2276656,14.54,89240,717076,3740416,23.89,1809452,294216,40116,1297592,58128,4496,7412,31596,0,0,0.00,0,0.00,3,548,1.52,1.74,1.71,0,1.40,0.00,52.80,37.71,0.01,4.00,4.00,0.56,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-24 02:34:10,58.32,0.00,7.10,0.00,0.10,0.00,0.51,0.00,0.00,33.98,12.00,3763.40,2202.40,0.00,0.00,0.00,52.80,5632.60,0.00,6765.40,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,105.60,13001272,0,2657728,16.97,89248,937468,4655504,29.73,1974532,508788,260484,1456748,58468,4672,8024,31596,0,0,0.00,0,0.00,6,575,1.72,1.78,1.72,0,2.40,0.00,105.60,44.00,0.00,1.00,0.67,0.16,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:34:15,74.17,0.00,2.52,0.00,0.00,0.00,0.00,0.00,0.00,23.31,6.60,1738.00,1283.40,0.00,0.00,0.00,27.20,6418.00,0.00,3614.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,54.40,12829576,0,2829424,18.07,89256,937492,4768312,30.45,2154472,497548,260556,1627424,58748,4920,8580,31596,0,0,0.00,0,0.00,3,602,1.82,1.80,1.73,0,0.60,0.00,54.40,90.67,0.00,0.00,0.00,0.00,2.80,2.80,0.26,0.27,0.00,0.00,0.00,0.00
2017-09-24 02:34:20,83.77,0.00,3.73,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.57,2277.25,1596.61,0.00,0.00,0.00,19.96,10456.49,0.00,4112.97,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,39.92,12400620,0,3258380,20.81,89264,937880,12487508,79.75,2585216,494648,260964,2052828,59272,5240,9836,31596,0,0,0.00,0,0.00,5,642,1.84,1.80,1.73,0,0.40,0.00,39.92,100.00,0.00,2.00,2.00,0.08,2.20,2.20,0.22,0.19,0.00,0.00,0.00,0.00
2017-09-24 02:34:25,59.76,0.00,3.82,0.00,0.00,0.00,0.10,0.00,0.00,36.32,1.40,1901.80,1275.40,0.00,0.00,0.00,518.40,1152.20,0.00,4906.20,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,1036.80,11122220,0,4536780,28.97,89264,943120,12559188,80.20,3837032,493032,263760,3324300,59332,5264,12292,31596,0,0,0.00,0,0.00,1,644,2.09,1.86,1.75,0,4.40,0.00,1036.80,235.64,0.02,5.27,0.36,0.16,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:34:30,77.09,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,18.47,2.40,2116.60,1379.20,0.00,0.00,0.00,17.60,2981.80,0.00,20269.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,35.20,10203312,0,5455688,34.84,89264,943156,12559188,80.20,4767652,492860,263776,4238328,59396,5336,14020,31596,0,0,0.00,0,0.00,3,653,2.00,1.84,1.75,0,1.20,0.00,35.20,29.33,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:34:35,59.86,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,37.51,0.00,1806.20,1160.20,0.00,0.00,0.00,157.60,891.40,0.00,16920.20,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,315.20,9868220,0,5790780,36.98,89268,943180,12559188,80.20,5114700,492496,263204,4574780,59392,5320,14828,31596,0,0,0.00,0,0.00,2,651,2.08,1.86,1.75,0,12.00,0.00,315.20,26.27,0.02,1.80,0.13,0.16,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-24 02:34:40,69.88,0.00,1.32,6.69,0.10,0.00,0.00,0.00,0.00,22.01,0.00,2396.80,1898.40,0.00,0.00,0.00,26257.60,1599.40,0.00,4041.40,0.00,0.00,0.00,0.00,206.80,0.00,206.80,0.00,52515.20,9855672,0,5803328,37.06,89272,944496,12559188,80.20,5127060,492192,133436,4585504,59536,5312,14920,31596,0,0,0.00,0,0.00,3,650,2.08,1.86,1.76,0,206.80,0.00,52515.20,253.94,38.79,187.55,1.48,30.64,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:34:45,82.95,0.00,1.72,12.31,0.00,0.00,0.00,0.00,0.00,3.03,0.60,2279.00,1567.40,0.00,0.00,0.00,26089.60,4503.80,0.00,2038.60,0.00,0.00,0.00,0.00,213.60,0.00,213.60,0.00,52179.20,9806708,0,5852292,37.37,89288,943296,12590732,80.41,5176428,492180,3776,4636060,59480,5320,15044,31596,0,0,0.00,0,0.00,6,651,2.23,1.90,1.77,0,213.60,0.00,52179.20,244.28,38.19,178.79,1.42,30.24,1.40,1.40,0.12,0.17,0.00,0.00,0.00,0.00
2017-09-24 02:34:50,77.43,0.00,3.95,0.10,0.00,0.00,0.00,0.00,0.00,18.52,0.40,2236.20,1523.80,0.00,0.00,0.00,94.40,2869.60,0.00,32109.20,0.00,0.00,0.00,0.00,7.60,0.00,7.60,0.00,188.80,9170900,0,6488100,41.43,89316,944056,12590732,80.41,5810960,492224,4420,5269816,59500,5320,16292,31596,0,0,0.00,0,0.00,1,651,2.37,1.93,1.78,0,7.60,0.00,188.80,24.84,0.01,0.74,0.74,0.56,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
