timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 15:40:06,80.70,0.00,3.62,0.00,0.10,0.00,0.00,0.00,0.00,15.58,18.60,1977.60,1405.40,0.00,0.00,0.00,83.20,13227.00,0.00,8972.20,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00,166.40,13658564,0,2000436,12.77,33020,502604,3766052,24.05,1599552,246096,32716,1310224,39136,4488,7380,31596,0,0,0.00,0,0.00,4,550,1.50,1.24,1.17,0,10.20,0.00,166.40,16.31,0.03,3.22,1.33,1.36,1.40,1.40,0.14,0.11,0.00,0.00,0.00,0.00
2017-09-23 15:40:11,62.41,0.00,7.19,0.00,0.00,0.00,0.51,0.00,0.00,29.89,12.00,4209.80,2460.20,0.00,0.00,0.00,61.60,5789.00,0.00,6979.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,123.20,13268136,0,2390864,15.27,33028,730288,4503644,28.76,1760852,466416,260316,1466164,45560,4600,7920,31596,0,0,0.00,0,0.00,2,577,1.46,1.23,1.17,0,3.60,0.00,123.20,34.22,0.02,5.56,5.33,1.92,1.60,1.60,0.13,0.18,0.00,0.00,0.00,0.00
2017-09-23 15:40:16,78.95,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,18.03,10.20,1794.80,1340.00,0.00,0.00,0.00,44.80,8170.40,0.00,2269.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,89.60,13011384,0,2647616,16.91,33040,730388,12338464,78.79,2027864,456140,260500,1720592,45972,4920,8968,31596,0,0,0.00,0,0.00,3,620,1.83,1.31,1.20,0,1.40,0.00,89.60,64.00,0.01,10.29,5.14,0.72,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-23 15:40:21,82.07,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,14.59,9.60,2354.00,1701.40,0.00,0.00,0.00,535.20,7517.60,0.00,4669.20,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,1070.40,12588852,0,3070148,19.61,33048,735920,12413528,79.27,2449936,452140,263628,2133116,46648,5232,9860,31596,0,0,0.00,0,0.00,5,645,2.24,1.41,1.23,0,5.40,0.00,1070.40,198.22,0.06,10.22,5.04,2.72,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 15:40:26,55.40,0.00,6.62,0.61,0.10,0.00,0.00,0.00,0.00,37.27,0.00,1816.80,1248.20,0.00,0.00,0.00,44.00,358.00,0.00,26798.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,88.00,10375696,0,5283304,33.74,33056,736016,12413528,79.27,4645068,451868,263600,4344244,46708,5256,14240,31596,0,0,0.00,0,0.00,1,642,2.22,1.42,1.23,0,1.60,0.00,88.00,55.00,0.03,16.00,8.00,1.28,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-23 15:40:31,56.40,0.00,3.56,0.00,0.00,0.00,0.00,0.00,0.00,40.04,0.00,1744.60,1244.80,0.00,0.00,0.00,4.00,200.40,0.00,31222.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,9634408,0,6024592,38.47,33064,736036,12413528,79.27,5383308,451872,263624,5084464,46724,5240,15688,31596,0,0,0.00,0,0.00,2,640,2.12,1.41,1.23,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-23 15:40:36,53.05,0.00,1.93,0.51,0.00,0.00,0.00,0.00,0.00,44.51,0.00,1733.80,1295.60,0.00,0.00,0.00,4999.20,88.40,0.00,11021.40,0.00,0.00,0.00,0.00,53.80,0.00,53.80,0.00,9998.40,9207332,0,6451668,41.20,33072,736060,12413528,79.27,5827684,451884,238908,5510440,46740,5216,16504,31596,0,0,0.00,0,0.00,1,638,2.03,1.40,1.23,0,53.80,0.00,9998.40,185.84,1.61,29.92,0.59,3.20,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-23 15:40:41,54.18,0.00,2.34,17.01,0.10,0.00,0.00,0.00,0.00,26.37,0.00,1757.00,1430.00,0.00,0.00,0.00,33600.00,85.40,0.00,8963.40,0.00,0.00,0.00,0.00,251.80,0.00,251.80,0.00,64460.80,8739348,0,6919652,44.19,33084,736080,12413528,79.27,6292580,451904,71112,5977364,46888,5200,17400,31596,0,0,0.00,0,0.00,2,636,2.03,1.41,1.23,3,251.80,0.00,64460.80,256.00,58.28,212.67,1.67,42.16,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-23 15:40:46,63.42,0.00,1.82,16.21,0.00,0.00,0.10,0.00,0.00,18.44,0.40,1852.20,1361.80,0.00,0.00,0.00,14393.60,1306.60,0.00,9313.40,0.00,0.00,0.00,0.00,125.00,0.00,125.00,0.00,31526.40,8358408,0,7300592,46.62,33104,736112,12413528,79.27,6674448,451936,356,6357164,46860,5200,18272,31596,0,0,0.00,0,0.00,7,636,2.03,1.42,1.24,0,125.00,0.00,31526.40,252.21,77.71,659.58,6.49,81.12,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 15:40:51,77.64,0.00,2.11,0.10,0.00,0.00,0.00,0.00,0.00,20.14,0.40,1877.80,1175.60,0.00,0.00,0.00,59.20,2585.60,0.00,9815.00,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,118.40,7930712,0,7728288,49.35,33160,736172,12444316,79.47,7084476,451936,392,6783408,46860,5200,19016,31596,0,0,0.00,0,0.00,1,635,1.95,1.42,1.23,0,4.40,0.00,118.40,26.91,0.01,3.27,3.27,1.44,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
