timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 14:28:36,78.15,0.00,5.34,0.00,0.00,0.00,0.30,0.00,0.00,16.21,18.80,3055.20,1901.80,0.00,0.00,0.00,168.80,12003.20,0.00,11170.00,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,337.60,12211880,0,3447120,22.01,211436,1424484,3882768,24.80,2647072,564604,117756,1575888,119840,4656,7996,31596,0,0,0.00,0,0.00,7,568,1.16,1.11,1.19,0,3.60,0.00,337.60,93.78,0.01,1.78,0.44,0.16,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-24 14:28:41,66.09,0.00,5.09,0.10,0.10,0.00,0.20,0.00,0.00,28.41,13.60,2643.20,2007.20,0.00,0.00,0.00,75.20,6630.40,0.00,3208.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,150.40,11913760,0,3745240,23.92,211436,1567732,4542836,29.01,2807452,697756,261044,1725956,123608,4832,8748,31596,0,0,0.00,0,0.00,3,598,1.31,1.14,1.20,0,2.60,0.00,150.40,57.85,0.00,1.23,1.23,0.32,2.40,2.40,0.24,0.19,0.00,0.00,0.00,0.00
2017-09-24 14:28:46,73.56,0.00,3.13,0.00,0.00,0.00,0.00,0.00,0.00,23.31,13.60,2139.60,1508.00,0.00,0.00,0.00,40.80,8448.80,0.00,2573.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,81.60,11567960,0,4091040,26.13,211444,1567860,12319024,78.67,3153692,694352,261252,2068868,124264,5248,9880,31596,0,0,0.00,0,0.00,3,644,1.29,1.13,1.20,0,0.80,0.00,81.60,102.00,0.00,3.00,1.00,0.08,2.00,2.00,0.19,0.22,0.00,0.00,0.00,0.00
2017-09-24 14:28:51,61.38,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,35.29,2.20,2074.60,1468.80,0.00,0.00,0.00,526.40,2846.80,0.00,2362.00,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1052.80,11029284,0,4629716,29.57,211448,1573364,12354548,78.90,3668636,687944,264320,2600436,124448,5288,10868,31596,0,0,0.00,0,0.00,1,647,1.26,1.13,1.20,0,4.60,0.00,1052.80,228.87,0.02,4.87,0.35,0.16,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 14:28:56,52.33,0.00,1.42,0.00,0.10,0.00,0.00,0.00,0.00,46.15,0.40,1822.60,1195.60,0.00,0.00,0.00,36.80,144.80,0.00,61.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,73.60,10400372,0,5258628,33.58,211452,1573400,12385272,79.09,4312312,687872,264360,3227616,124468,5280,12156,31596,0,0,0.00,0,0.00,2,646,1.24,1.13,1.20,0,1.60,0.00,73.60,46.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 14:29:01,58.04,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,40.24,0.40,1768.40,1153.00,0.00,0.00,0.00,40.00,2062.20,0.00,881.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,80.00,9900916,0,5758084,36.77,211452,1573428,12385272,79.09,4822696,687876,264428,3725688,124480,5296,13160,31596,0,0,0.00,0,0.00,2,648,1.22,1.13,1.20,0,1.80,0.00,80.00,44.44,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 14:29:06,52.28,0.00,0.91,1.62,0.10,0.00,0.00,0.00,0.00,45.10,0.00,1841.20,1366.20,0.00,0.00,0.00,14146.40,54.00,0.00,1126.00,0.00,0.00,0.00,0.00,136.00,0.00,136.00,0.00,28292.80,9745504,0,5913496,37.76,211452,1573460,12385272,79.09,4957144,687876,194036,3880584,124532,5288,13484,31596,0,0,0.00,0,0.00,1,647,1.20,1.13,1.19,0,136.00,0.00,28292.80,208.04,6.48,47.62,0.54,7.36,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-24 14:29:11,52.75,0.00,0.61,21.59,0.00,0.00,0.00,0.00,0.00,25.05,0.00,1777.60,1540.80,0.00,0.00,0.00,38802.40,19.80,0.00,49.60,0.00,0.00,0.00,0.00,311.20,0.00,311.20,0.00,77604.80,9745884,0,5913116,37.76,211464,1573496,12385272,79.09,4977200,687880,396,3880120,124568,5288,13484,31596,0,0,0.00,0,0.00,2,647,1.27,1.14,1.20,0,311.20,0.00,77604.80,249.37,78.36,251.80,1.86,57.76,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 14:29:16,52.17,0.00,0.40,0.00,0.00,0.00,0.10,0.00,0.00,47.32,0.60,1851.40,1322.60,0.00,0.00,0.00,16.80,82.20,0.00,530.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,33.60,9748816,0,5910184,37.74,211468,1573524,12385272,79.09,4969784,687900,508,3876792,124568,5296,13496,31596,0,0,0.00,0,0.00,1,648,1.33,1.15,1.20,0,0.40,0.00,33.60,84.00,0.00,0.00,0.00,0.00,1.40,1.40,0.12,0.17,0.00,0.00,0.00,0.00
2017-09-24 14:29:21,52.08,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.72,0.00,1793.00,1164.20,0.00,0.00,0.00,18.40,13.80,0.00,23.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,36.80,9746776,0,5912224,37.76,211472,1573548,12385272,79.09,4975908,687908,536,3878804,124572,5288,13496,31596,0,0,0.00,0,0.00,1,647,1.30,1.15,1.20,0,0.40,0.00,36.80,92.00,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-24 14:29:26,52.23,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,47.47,0.40,1786.80,1069.60,0.00,0.00,0.00,0.00,25.40,0.00,23.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9742672,0,5916328,37.78,211472,1573592,12385272,79.09,4980108,687924,644,3882988,124572,5296,13508,31596,0,0,0.00,0,0.00,2,648,1.28,1.15,1.20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 14:29:31,51.92,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.87,0.00,1787.20,1258.00,0.00,0.00,0.00,16.00,17.00,0.00,26.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,32.00,9740632,0,5918368,37.80,211476,1573620,12385272,79.09,4982256,687936,696,3885092,124564,5296,13512,31596,0,0,0.00,0,0.00,2,647,1.25,1.15,1.20,0,0.40,0.00,32.00,80.00,0.00,2.00,2.00,0.08,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 14:29:36,51.98,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,47.62,0.00,1806.00,1283.80,0.00,0.00,0.00,108.80,17.00,0.00,311.60,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,217.60,9746364,0,5912636,37.76,211476,1573656,12385272,79.09,4976492,687944,384,3879304,124564,5272,13504,31596,0,0,0.00,0,0.00,2,645,1.23,1.14,1.20,0,7.20,0.00,217.60,30.22,0.05,7.00,0.44,0.32,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-24 14:29:41,56.38,0.00,0.51,0.10,0.10,0.00,0.00,0.00,0.00,42.91,2.00,2418.80,1324.20,0.00,0.00,0.00,72.00,106.40,0.00,484.00,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,144.00,9741928,0,5917072,37.79,211480,1573696,12385272,79.09,4981160,687900,132,3883884,124568,5328,13516,31596,0,0,0.00,0,0.00,1,652,1.22,1.14,1.20,0,3.40,0.00,144.00,42.35,0.00,0.94,0.94,0.32,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-24 14:29:46,52.63,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,47.27,0.00,1809.00,1169.40,0.00,0.00,0.00,10.40,28.60,0.00,33.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,9741904,0,5917096,37.79,211480,1573728,12385272,79.09,4981232,687912,228,3883940,124576,5320,13516,31596,0,0,0.00,0,0.00,1,651,1.20,1.14,1.20,0,0.40,0.00,20.80,52.00,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 14:29:51,51.62,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,48.17,0.00,1751.20,1189.20,0.00,0.00,0.00,6.40,12.20,0.00,23.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,9741912,0,5917088,37.79,211480,1573760,12385272,79.09,4981220,687912,260,3883896,124580,5312,13516,31596,0,0,0.00,0,0.00,2,650,1.18,1.14,1.20,0,0.40,0.00,12.80,32.00,0.00,2.00,2.00,0.08,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
