timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 22:18:31,38.50,0.00,3.50,0.71,0.10,0.00,0.20,0.00,0.00,56.98,24.60,4822.00,4145.60,0.00,0.00,0.00,76.00,14846.40,0.00,14704.60,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,152.00,27489128,0,3910792,12.45,30036,1875516,4896564,15.59,2240872,1380072,251948,1715684,82148,4992,8308,58076,0,0,0.00,0,0.00,1,618,1.85,2.25,2.12,0,3.60,0.00,152.00,42.22,0.06,15.33,8.00,2.88,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-22 22:18:36,41.56,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,56.93,16.20,2112.80,2272.20,0.00,0.00,0.00,44.00,13155.20,0.00,4564.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,88.00,27093120,0,4306800,13.72,30052,1884088,18038160,57.45,2633516,1377156,260600,2100376,82824,5520,9680,58076,0,0,0.00,0,0.00,3,677,1.86,2.24,2.12,0,0.80,0.00,88.00,110.00,0.00,0.00,0.00,0.00,2.40,2.40,0.24,0.19,0.00,0.00,0.00,0.00
2017-09-22 22:18:41,50.10,0.00,2.89,0.00,0.05,0.00,0.00,0.00,0.00,46.96,22.20,3249.60,3091.40,0.00,0.00,0.00,1023.20,9497.40,0.00,4185.20,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,2046.40,26358408,0,5041512,16.06,30072,1894568,30483716,97.08,3369292,1376116,266196,2820968,83908,6016,11496,58076,0,0,0.00,0,0.00,3,748,1.87,2.24,2.12,0,9.40,0.00,2046.40,217.70,0.07,7.15,0.43,0.40,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-22 22:18:46,51.97,0.00,5.11,0.00,0.00,0.00,0.00,0.00,0.00,42.92,0.00,2283.80,1888.00,0.00,0.00,0.00,30.40,1026.80,0.00,14554.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,60.80,22298300,0,9101620,28.99,30080,1894940,30483716,97.08,7374460,1375536,266584,6872120,84328,6072,19328,58076,0,0,0.00,0,0.00,3,744,1.88,2.23,2.12,0,0.60,0.00,60.80,101.33,0.00,2.67,1.33,0.08,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:18:51,50.38,0.00,3.59,0.00,0.05,0.00,0.05,0.00,0.00,45.93,0.00,2116.00,1665.60,0.00,0.00,0.00,24.00,422.80,0.00,85189.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,48.00,19891004,0,11508916,36.65,30088,1894964,30483716,97.08,9787060,1375556,266580,9274424,84432,6056,24044,58076,0,0,0.00,0,0.00,2,741,1.89,2.23,2.12,0,2.00,0.00,48.00,24.00,0.00,0.00,0.00,0.00,1.40,1.20,0.12,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:18:56,52.52,0.00,3.38,0.05,0.00,0.00,0.00,0.00,0.00,44.05,0.00,2151.60,1672.00,0.00,0.00,0.00,78.40,397.80,0.00,114630.40,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,156.80,18555416,0,12844504,40.91,30096,1894992,30483716,97.08,11094056,1375564,266252,10608016,84456,6032,26776,58076,0,0,0.00,0,0.00,2,740,1.90,2.23,2.12,0,10.60,0.00,156.80,14.79,0.02,1.43,0.08,0.08,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:19:01,52.25,0.00,2.02,0.00,0.05,0.00,0.00,0.00,0.00,45.68,0.00,2114.00,1579.40,0.00,0.00,0.00,76.80,218.40,0.00,68468.20,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,153.60,17861892,0,13538028,43.11,30104,1895008,30483716,97.08,11825028,1375580,265984,11300068,84408,6016,28476,58076,0,0,0.00,0,0.00,2,738,1.91,2.22,2.12,0,3.40,0.00,153.60,45.18,0.00,0.00,0.00,0.00,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:19:06,52.45,0.00,1.77,20.57,0.00,0.00,0.00,0.00,0.00,25.21,0.00,2078.80,1595.60,0.00,0.00,0.00,12179.20,179.40,0.00,56965.20,0.00,0.00,0.00,0.00,70.40,0.00,70.40,0.00,17892.80,17276640,0,14123280,44.98,30104,1895040,30483716,97.08,12404648,1375600,205352,11883772,84656,6016,29616,58076,0,0,0.00,0,0.00,3,738,2.00,2.24,2.12,1,70.60,0.00,17944.00,254.16,130.78,995.12,12.73,89.84,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:19:11,52.30,0.00,1.62,35.86,0.00,0.00,0.00,0.00,0.00,10.22,0.00,2060.80,1569.80,0.00,0.00,0.00,5816.00,175.40,0.00,54723.60,0.00,0.00,0.00,0.00,46.40,0.00,46.40,0.00,11360.00,16708592,0,14691328,46.79,30120,1895072,30483716,97.08,12949476,1375612,176188,12451092,84400,6016,30724,58076,0,0,0.00,0,0.00,2,738,2.32,2.30,2.14,1,46.20,0.00,11308.80,244.78,103.90,2624.42,21.65,100.00,1.40,1.40,0.12,0.10,0.00,0.00,0.00,0.00
2017-09-22 22:19:16,34.58,0.00,0.15,34.02,0.05,0.00,0.00,0.00,0.00,31.19,0.20,1991.60,1533.40,0.00,0.00,0.00,5109.60,22.80,0.00,969.00,0.00,0.00,0.00,0.00,41.60,0.00,41.60,0.00,10352.00,16659076,0,14740844,46.95,30128,1895092,30483716,97.08,13019068,1375624,150832,12500216,84188,6016,30772,58076,0,0,0.00,0,0.00,3,735,2.69,2.38,2.17,1,41.60,0.00,10352.00,248.85,101.53,2899.94,24.04,100.00,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:19:21,53.31,0.00,1.82,21.96,0.00,0.00,0.00,0.00,0.00,22.92,0.00,2105.60,1570.40,0.00,0.00,0.00,6577.60,234.20,0.00,71736.80,0.00,0.00,0.00,0.00,49.20,0.00,49.20,0.00,12356.80,15864980,0,15534940,49.47,30136,1895128,30483716,97.08,13791096,1375648,118256,13292680,84248,5992,32368,58076,0,0,0.00,0,0.00,2,735,2.72,2.39,2.17,2,49.20,0.00,12356.80,251.15,111.55,2193.46,20.33,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:19:26,52.50,0.00,3.69,18.49,0.00,0.00,0.00,0.00,0.00,25.32,0.00,2105.60,1642.80,0.00,0.00,0.00,4915.20,364.00,0.00,113295.00,0.00,0.00,0.00,0.00,42.20,0.00,42.20,0.00,10270.40,14564020,0,16835900,53.62,30136,1895156,30483716,97.08,15108088,1375664,93684,14591224,84212,5992,34564,58076,0,0,0.00,0,0.00,3,734,2.82,2.41,2.18,1,42.20,0.00,10270.40,243.37,143.33,3080.28,23.70,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
